variant,params,market_filter,train_final_equity,train_total_contributions,train_money_multiple,train_twr_total_return,train_cagr,train_sharpe,train_max_drawdown,train_return_dd,train_profit_factor,train_closed_trades,test_final_equity,test_total_contributions,test_money_multiple,test_twr_total_return,test_cagr,test_sharpe,test_max_drawdown,test_return_dd,test_profit_factor,test_closed_trades,full_final_equity,full_total_contributions,full_money_multiple,full_twr_total_return,full_cagr,full_sharpe,full_max_drawdown,full_return_dd,full_profit_factor,full_closed_trades,full_total_fees,full_fee_to_contributions_ratio,full_mean_turnover_pct,test_excess_twr_vs_etf_dca,test_excess_cagr_vs_etf_dca,test_drawdown_saving_vs_etf_dca,score
pause20,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""portfolio_drawdown_pause_pct"": 0.2, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,1074645.8536360553,1150000.0,0.9344746553357002,0.4063404785323974,0.07303595442971744,0.45292660608471036,0.4686285696679402,0.15585040937958414,0.0,0.0,2832337.16703697,280000.0,10.115489882274893,1.2163380920048037,0.44483088884519817,2.5389987698185696,0.07800129598493477,5.702865359200097,0.0,0.0,2832337.16703697,1430000.0,1.9806553615643148,2.1169259728996193,0.17623038392953005,0.9677548846638303,0.46945345244882475,0.37539479795122177,1.4354220586762845,364.0,347646.7173730397,0.2431095925685592,0.08260365443845051,0.281145150676821,0.08783949220110432,0.19694566482601117,1.8838909555179557
pause15,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""portfolio_drawdown_pause_pct"": 0.15, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,1165974.690631225,1150000.0,1.0138910353315,0.5413858470678858,0.0935693267914608,0.5556356911258694,0.4176030522105263,0.22406284220425113,0.0,0.0,2368686.6920781084,280000.0,8.459595328850387,0.6776460932359214,0.27027614800678745,1.9082641215861358,0.07798318200750298,3.4658261056952435,0.0,0.0,2368686.6920781084,1430000.0,1.6564242601944814,1.5858999445025836,0.14527857051022175,0.8527794355644768,0.45108155890530777,0.3220671908263911,1.3200910729293602,339.0,299449.6140319,0.20940532449783217,0.07663380240398941,-0.2575468480920613,-0.0867152486373064,0.19696377880344296,0.9885390109261669
market100_10,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",True,1999150.8862613654,1150000.0,1.738392075009883,1.6951652118434946,0.22747753116428537,1.1649369203006739,0.3508152573693728,0.6484254216023867,0.0,0.0,4855703.986268954,280000.0,17.341799950960553,1.1549602538247306,0.42619011284911057,2.1399212489774273,0.2484856402214255,1.7151498672894443,0.0,0.0,4855703.986268954,1430000.0,3.395597193195073,4.9592345383355605,0.290264516266165,1.4610688599248816,0.3508152573693728,0.8273999210944979,1.8139287919537244,346.0,486253.9342410595,0.3400377162524892,0.07865794074871883,0.21976731249674786,0.06919871620501672,0.026461320589520443,0.8697606978849779
market80_5,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",True,1972018.1700575068,1150000.0,1.714798408745658,1.6576955275029737,0.22393010593959062,1.1419640922784524,0.35511849773244675,0.630578545948637,0.0,0.0,4769917.5830450645,280000.0,17.03541993944666,1.143119795774557,0.42256139272122617,2.130662806589765,0.24848858718497613,1.7005263602173786,0.0,0.0,4769917.5830450645,1430000.0,3.335606701430115,4.844112181400285,0.2866758902168973,1.4394446535515788,0.35511849773244675,0.8072682556595082,1.7873231991039813,352.0,486570.3581999499,0.3402589917482167,0.07998850040135178,0.20792685444657422,0.06556999607713232,0.02645837362596981,0.8583893795308865
market100_partial25_4atr,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""partial_exit_fraction"": 0.25, ""partial_target_atr"": 4.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",True,2042463.599122291,1150000.0,1.7760553035846007,1.7903810361347663,0.23631916880017556,1.1955471782597238,0.349070023467111,0.6769964560490004,0.0,0.0,4840254.647912098,280000.0,17.286623742543206,1.1048749748318722,0.4107663711426497,2.0809219955362015,0.24849115163520297,1.653042244923371,0.0,0.0,4840254.647912098,1430000.0,3.38479346007839,5.024760572723577,0.2922806542858596,1.4639228381705152,0.349070023467111,0.8373123861590995,1.7984644240551415,373.0,492514.9117916674,0.34441602223193524,0.07896001801263988,0.16968203350388955,0.05377497449855584,0.026455809175742973,0.8165653224478862
market120_10,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",True,2041743.5798859452,1150000.0,1.7754291999008218,1.740063508190262,0.2316770948000113,1.1820861714744844,0.35139156902109503,0.659313185701684,0.0,0.0,4745313.000989152,280000.0,16.947546432104115,1.060708652447036,0.39700082930917935,1.991355294276896,0.26847512284301944,1.4787248259918309,0.0,0.0,4745313.000989152,1430000.0,3.3184006999924143,4.793517264381196,0.2850795313134271,1.4335959776598997,0.35139156902109503,0.8112873399541154,1.7620440625886533,352.0,498972.2886008603,0.34893167035025197,0.08003740844950342,0.12551571111905324,0.0400094326650855,0.006471837967926497,0.7261745791849538
cap40,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.4, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,2043914.7786990576,1150000.0,1.7773171988687457,1.7827260944106844,0.23561726290140883,1.0685403947949026,0.35835476564716795,0.6574972219942372,0.0,0.0,4794938.446938285,280000.0,17.124780167636732,1.0798978586720525,0.4030009202822509,1.9394562563359374,0.3060394720671543,1.3168266091957586,0.0,0.0,4794938.446938285,1430000.0,3.3531038090477514,4.938508496815221,0.2896228506232337,1.315803280792058,0.35835476564716795,0.8082014762666587,1.6074397752619498,459.0,610934.2401167307,0.4272267413403711,0.1041189145289791,0.14470491734406976,0.046009523638157024,-0.031092511256208377,0.6721164918298704
cap35,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.35, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,2043914.7786990576,1150000.0,1.7773171988687457,1.7827260944106844,0.23561726290140883,1.0685403947949026,0.35835476564716795,0.6574972219942372,0.0,0.0,4794938.446938285,280000.0,17.124780167636732,1.0798978586720525,0.4030009202822509,1.9394562563359374,0.3060394720671543,1.3168266091957586,0.0,0.0,4794938.446938285,1430000.0,3.3531038090477514,4.938508496815221,0.2896228506232337,1.315803280792058,0.35835476564716795,0.8082014762666587,1.6074397752619498,459.0,610934.2401167307,0.4272267413403711,0.1041189145289791,0.14470491734406976,0.046009523638157024,-0.031092511256208377,0.6721164918298704
partial50_4.5atr_be,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 4.5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,2043914.7786990576,1150000.0,1.7773171988687457,1.7827260944106844,0.23561726290140883,1.0685403947949026,0.35835476564716795,0.6574972219942372,0.0,0.0,4794938.446938285,280000.0,17.124780167636732,1.0798978586720525,0.4030009202822509,1.9394562563359374,0.3060394720671543,1.3168266091957586,0.0,0.0,4794938.446938285,1430000.0,3.3531038090477514,4.938508496815221,0.2896228506232337,1.315803280792058,0.35835476564716795,0.8082014762666587,1.6074397752619498,459.0,610934.2401167307,0.4272267413403711,0.1041189145289791,0.14470491734406976,0.046009523638157024,-0.031092511256208377,0.6721164918298704
partial50_4.5atr,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 4.5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",False,2043914.7786990576,1150000.0,1.7773171988687457,1.7827260944106844,0.23561726290140883,1.0685403947949026,0.35835476564716795,0.6574972219942372,0.0,0.0,4794938.446938285,280000.0,17.124780167636732,1.0798978586720525,0.4030009202822509,1.9394562563359374,0.3060394720671543,1.3168266091957586,0.0,0.0,4794938.446938285,1430000.0,3.3531038090477514,4.938508496815221,0.2896228506232337,1.315803280792058,0.35835476564716795,0.8082014762666587,1.6074397752619498,459.0,610934.2401167307,0.4272267413403711,0.1041189145289791,0.14470491734406976,0.046009523638157024,-0.031092511256208377,0.6721164918298704
