date,strategy_equity,etf_dca_equity,market_regime_ok
2015-01-15,110000.0,107655.38877940002,False
2015-01-18,110000.0,105792.20877940001,False
2015-01-19,110000.0,105585.1887794,False
2015-01-20,110000.0,108793.9987794,False
2015-01-21,110000.0,109518.56877940001,False
2015-01-22,110000.0,110243.13877940002,False
2015-01-26,110000.0,109104.5287794,False
2015-01-27,110000.0,110553.6687794,False
2015-01-28,110000.0,109415.05877940002,False
2015-01-29,110000.0,108793.9987794,False
2015-02-01,120000.0,118279.42443465002,False
2015-02-02,120000.0,118618.30443465001,False
2015-02-03,120000.0,119296.06443465002,False
2015-02-04,120000.0,120651.58443465001,False
2015-02-05,120000.0,119973.82443465,False
2015-02-08,120000.0,119860.86443465001,False
2015-02-09,120000.0,120651.58443465001,False
2015-02-10,120000.0,120199.74443465001,False
2015-02-11,120000.0,117714.62443465,False
2015-02-12,120000.0,117827.58443465001,False
2015-02-15,120000.0,117827.58443465001,False
2015-02-16,120000.0,115794.30443465001,False
2015-02-17,120000.0,115003.58443465001,False
2015-02-18,120000.0,115455.42443465002,False
2015-02-19,120000.0,114438.78443465002,False
2015-02-22,120000.0,113196.22443465001,False
2015-02-23,120000.0,116359.10443465001,False
2015-02-24,120000.0,115229.50443465,False
2015-02-25,120000.0,115342.46443465001,False
2015-02-26,120000.0,113422.14443465,False
2015-03-01,130000.0,122723.70745585002,False
2015-03-02,130000.0,124320.62745585,False
2015-03-03,130000.0,124443.46745585003,False
2015-03-04,130000.0,124934.82745585001,False
2015-03-05,130000.0,125671.86745585002,False
2015-03-08,130000.0,125794.70745585002,False
2015-03-09,130000.0,127268.78745585,False
2015-03-10,130000.0,127268.78745585,False
2015-03-11,130000.0,124689.14745585002,False
2015-03-12,130000.0,126900.26745585001,False
2015-03-15,130000.0,128005.82745585001,True
2015-03-16,130000.0,125426.18745585003,False
2015-03-17,130000.0,125671.86745585002,False
2015-03-18,130000.0,124566.30745585002,False
2015-03-19,130000.0,125057.66745585001,False
2015-03-22,130000.0,122846.54745585001,False
2015-03-23,130000.0,122846.54745585001,False
2015-03-24,130000.0,123337.90745585,False
2015-03-25,130000.0,121863.82745585001,False
2015-03-26,130000.0,119652.70745585002,False
2015-03-30,130000.0,120389.74745585003,False
2015-03-31,130000.0,120635.42745585002,False
2015-04-01,140000.0,130119.11848025,False
2015-04-02,140000.0,129586.95848025002,False
2015-04-05,140000.0,126127.91848025002,False
2015-04-06,140000.0,126127.91848025002,False
2015-04-07,140000.0,125462.71848025001,False
2015-04-08,140000.0,125462.71848025001,False
2015-04-09,140000.0,127458.31848025002,False
2015-04-14,140000.0,127857.43848025,False
2015-04-15,140000.0,126793.11848025,False
2015-04-16,140000.0,126127.91848025002,False
2015-04-19,140000.0,124664.47848025,False
2015-04-20,140000.0,122934.95848025002,False
2015-04-22,140000.0,122934.95848025002,False
2015-04-23,140000.0,125063.59848025002,False
2015-04-26,140000.0,123201.03848025,False
2015-04-27,140000.0,123067.99848025001,False
2015-04-28,140000.0,119875.03848025,False
2015-04-29,140000.0,121870.63848025001,False
2015-04-30,140000.0,125196.63848025001,False
2015-05-03,150000.0,135366.26442762002,False
2015-05-04,150000.0,132345.41442762,False
2015-05-05,150000.0,135941.66442762,False
2015-05-07,150000.0,135078.56442762,False
2015-05-11,150000.0,135222.41442762,False
2015-05-12,150000.0,133927.76442762002,False
2015-05-13,150000.0,133352.36442762,False
2015-05-14,150000.0,133352.36442762,False
2015-05-17,150000.0,128317.61442762,False
2015-05-18,150000.0,138243.26442762002,False
2015-05-19,150000.0,139825.61442762002,False
2015-05-20,150000.0,136229.36442762002,False
2015-05-21,150000.0,136229.36442762002,False
2015-05-24,150000.0,143421.86442762002,True
2015-05-25,150000.0,140976.41442762,False
2015-05-27,150000.0,140832.56442762,False
2015-05-28,150000.0,140832.56442762,False
2015-06-01,160000.0,151005.02845322,False
2015-06-02,160000.0,148074.46845322,False
2015-06-03,160000.0,147611.74845322,False
2015-06-04,160000.0,147611.74845322,False
2015-06-08,160000.0,144372.70845322,False
2015-06-09,160000.0,145452.38845322002,False
2015-06-11,160000.0,145452.38845322002,False
2015-06-15,160000.0,142213.34845322,False
2015-06-16,160000.0,142213.34845322,False
2015-06-17,160000.0,142676.06845322,False
2015-06-21,160000.0,142676.06845322,False
2015-06-23,160000.0,140979.42845322003,False
2015-06-24,160000.0,140979.42845322003,False
2015-06-25,160000.0,141133.66845322002,False
2015-06-29,160000.0,141133.66845322002,False
2015-07-02,170000.0,148629.80848122,False
2015-07-05,170000.0,147472.56848122002,False
2015-07-06,170000.0,142347.64848122,False
2015-07-07,170000.0,137057.40848122002,False
2015-07-08,170000.0,136230.80848122,False
2015-07-09,170000.0,136726.76848122,False
2015-07-12,170000.0,136726.76848122,False
2015-07-14,170000.0,137222.72848122002,False
2015-07-15,170000.0,140033.16848122003,False
2015-07-16,170000.0,140033.16848122003,False
2015-07-22,170000.0,140033.16848122003,False
2015-07-28,170000.0,141190.40848122002,False
2015-07-30,170000.0,144662.12848122002,False
2015-08-03,180000.0,152322.69102723,False
