date,open,high,low,close,volume,symbol,holding_name,weight,atr,ret_21,ret_63,daily_value,median_daily_value_63,median_daily_volume_63,kama,trend_ma,trend_ok,signal_fail,entry_signal,rank_score,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days,raw_rebound_rank_score,rebound_rank_pct
2026-03-31,79.01,79.9,78.35,78.59,1004624,ETEL,Telecom Egypt,0.0536052766146507,3.0626444022871,-0.12463800400980174,0.2474603174603176,78953400.16,111440606.0,1262562.0,85.90545594816375,69.8057627118644,False,False,False,0.8506557219662059,2026-04-01,telecom,0.8369973544973546,0.9285714285714287,1.0,1.0,0.7138888888888889,0.20370370370370372,0.6666666666666666,True,2026-03-31,0.0,1.0760603522314196,0.8709677419354839
2026-03-31,168.5,171.32,167.0,167.33,79859,MCQE,Misr Cement - Qena,0.0095594736152338,7.09400542432989,-0.13233082706766908,0.18029202228962404,13362806.47,17565430.74,103815.0,166.3803341623091,144.4221186440678,True,False,False,0.8255726446492576,2026-04-01,materials,0.6889021164021165,0.9682539682539684,0.495,0.6925,0.8500000000000001,0.6481481481481483,0.1111111111111111,True,2025-08-10,233.0,1.116345357286878,0.9032258064516129
2026-03-31,296.14,303.85,294.3,302.0,417196,EGAL,Egypt Aluminum,0.0103499522067357,14.184289996702605,0.37447660659020565,0.325026325026325,125993192.0,90650364.0,351358.0,253.50976665482654,226.57872881355934,True,False,False,0.7016452892985151,2026-04-01,materials,0.6126931216931217,0.5476190476190476,0.5425,0.775,0.7194444444444446,0.5185185185185186,0.6111111111111112,True,2026-03-01,30.0,1.0508011768477123,0.8064516129032258
2026-03-31,80.95,83.0,79.5,81.7,3721316,ABUK,Abou Kir Fertilizers,0.0277044406054415,4.616438534617832,0.19619326500732082,0.5591603053435115,304031517.2,145733748.0,2032452.0,76.40000228758649,59.0557627118644,True,False,False,0.6872894265232974,2026-04-01,materials,0.48774074074074075,0.38888888888888895,0.5275,0.42833333333333334,0.44722222222222224,0.5740740740740741,0.7777777777777778,True,2026-03-01,30.0,1.50412566115652,0.967741935483871
2026-03-31,119.79,123.55,119.7,121.0,6237239,COMI,Commercial International Bank-Egypt (CIB),0.3479291987217656,4.598403678494364,-0.08368042408178733,0.16402116402116396,754705919.0,470906106.96,3791578.0,129.82104172742802,116.66322033898304,False,False,False,0.6254041858678955,2026-04-01,banks,0.6316798941798942,0.634920634920635,0.7,0.6,0.663888888888889,0.14814814814814817,1.0,True,2025-07-22,252.0,0.7697813109692089,0.6774193548387096
2026-03-31,8.3,8.4,8.2,8.28,11951880,AMOC,Alexandria Mineral Oils Company,0.0078246964812872,0.35017210390077175,0.16129032258064502,0.19308357348703153,98961566.39999999,47955452.52,6773369.0,7.92155952104563,7.281440677966102,True,False,False,0.6189976958525346,2026-04-01,energy,0.5721164021164021,0.14285714285714288,1.0,1.0,0.2555555555555556,0.7037037037037037,0.3333333333333333,True,2026-01-29,61.0,0.9023482529769814,0.7096774193548387
2026-03-31,16.81,17.25,16.81,17.1,7908434,FWRY,Fawry For Banking Technology And Electronic Payment,0.0586291794954942,0.6645446986659226,-0.060439560439560336,0.054904380012338105,135234221.4,179588742.66,9950072.0,17.699801634426432,16.404322033898307,False,False,False,0.5968237967229902,2026-04-01,technology,0.6232142857142858,0.7857142857142858,0.5,0.625,0.513888888888889,0.27777777777777785,0.8333333333333334,True,2025-11-18,133.0,0.6616995445518656,0.5483870967741935
2026-03-31,18.25,18.5,17.8,18.0,3423742,EFIH,E-finance For Digital and Financial Investments,0.050843864299576,0.7986981085733974,-0.1346153846153847,0.0,61627356.0,61627356.0,2886922.0,19.819276699505462,17.93720338983051,False,False,False,0.5964986559139785,2026-04-01,technology,0.633425925925926,0.6111111111111112,0.875,0.75,0.6583333333333334,0.20370370370370372,0.3888888888888889,True,2026-03-31,0.0,0.6897370091921078,0.5806451612903226
2026-03-31,75.0,76.0,74.2,74.51,3462547,TMGH,T M G Holding,0.1122385238536469,2.8454503418979638,-0.15184974388161632,-0.00653333333333328,257994376.97000003,216389186.23,2634503.0,82.47875394805146,75.25389830508473,False,True,False,0.5726350486431132,2026-04-01,real_estate,0.6166137566137567,0.7936507936507937,0.4666666666666667,0.49583333333333335,0.6194444444444445,0.3518518518518519,0.8888888888888888,True,2026-03-01,30.0,0.6496007258912945,0.5161290322580645
2026-03-31,25.25,25.65,25.01,25.41,613191,EFID,Edita Food Industries (EDITA),0.0224961242109381,1.13531841719289,-0.04401805869074482,-0.05009345794392528,15581183.31,21388592.5,777767.0,27.930916835271233,26.005169491525425,False,True,False,0.5701824116743472,2024-07-01,consumer,0.5554761904761906,0.642857142857143,0.36666666666666664,0.6833333333333333,0.47857142857142865,0.9761904761904763,0.07142857142857142,True,2024-05-21,37.0,0.6277749748745728,0.4838709677419355
2026-03-31,466.0,489.98,465.1,481.01,253824,ORAS,Orascom Construction PLC,0.0132529747426309,15.232961158637929,0.016891463363071457,0.13045828437132778,122091882.24,118654969.6,258241.0,453.2519376701499,455.54584745762713,True,False,True,0.5685135048643114,2026-04-01,industrials,0.6750132275132276,0.5793650793650794,0.7999999999999999,0.8,0.4972222222222223,0.5925925925925927,0.7222222222222222,True,2025-11-17,134.0,0.6250687140375357,0.45161290322580644
