year,strategy_final_equity,strategy_total_contributions,strategy_money_multiple,strategy_twr_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_return_dd,strategy_profit_factor,strategy_closed_trades,etf_final_equity,etf_total_contributions,etf_money_multiple,etf_twr_total_return,etf_cagr,etf_sharpe,etf_max_drawdown,etf_return_dd,etf_profit_factor,etf_closed_trades,excess_twr_vs_etf_dca
2015,220000.0,220000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.275545718792227
2016,403271.6554304501,120000.0,3.3605971285870844,0.1962780688798178,0.36837851508842534,2.6751505064200174,0.05080131069339,7.251358479936952,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,-0.5603872053655592
2017,692906.6334928004,120000.0,5.774221945773337,0.34927453021329247,1.4564106251003235,2.9107159851723012,0.06251399171476202,23.297354482587096,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,0.14845346380134972
2018,780932.1038269807,120000.0,6.507767531891505,-0.05652514713304613,-0.21680955183129436,-0.7423880366921275,0.15098596690583566,-1.4359582964853312,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,0.0755248676238458
2019,866663.6555696208,100000.0,8.666636555696208,-0.017623713797309426,-0.1306628693886156,-3.52035758515775,0.01970557748205204,-6.630755658271073,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.0656400084083284
2020,976663.6555696208,110000.0,8.87876050517837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.22538851528034032
2021,1033872.2714321413,120000.0,8.61560226193451,-0.059586135329607104,-0.07670127349130107,-0.5157904218285404,0.1480959449091076,-0.5179160951258707,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,-0.1408224032313411
2022,1184053.5779214422,120000.0,9.867113149345352,0.023843287933038804,0.026038848369194234,0.27004003138948207,0.11582931809055608,0.2248036058438754,0.0,0.0,287989.8108061,220000.0,1.309044594573182,0.21726507126416061,0.23921724275115652,1.0128644214549674,0.2787932434791939,0.8580453377056432,0.0,0.0,-0.1934217833311218
2023,1641366.824665505,120000.0,13.678056872212542,0.2679011575502308,0.2817122673629515,1.4005632969455228,0.1504079807733728,1.872987496504068,0.0,0.0,328926.55158541,220000.0,1.495120689024591,0.6911867258458764,0.7322355357979111,2.1260210590034228,0.168866982684025,4.336167580894316,0.0,0.0,-0.42328556829564556
2024,2294808.2224643575,120000.0,19.123401853869645,0.30275885169663597,0.31858092670325866,1.5539753238736231,0.22627271267322124,1.4079511530113098,0.0,0.0,245225.79917944001,220000.0,1.1146627235429092,0.20254795210961296,0.21271438562909029,0.7988801588541482,0.27494696081094594,0.773656071708147,0.0,0.0,0.100210899587023
2025,3424621.078757752,120000.0,28.538508989647934,0.4284240534497481,0.4496268042734155,2.7290391130610128,0.09511711741435724,4.727086107064338,0.0,0.0,293321.90360722,220000.0,1.333281380032818,0.4250922021171457,0.4461059431131993,2.3045641851489287,0.07559271633776188,5.901440836176829,0.0,0.0,0.003331851332602387
2026,3708387.468412624,40000.0,92.70968671031561,0.1006892033482778,0.49620729306102995,2.6224276343453368,0.04160980574338702,11.925248969466564,0.0,0.0,151792.28477877,140000.0,1.084230605562643,0.13119727154010885,0.6782670403714,2.0033742789921765,0.13599696523015958,4.987368940354729,0.0,0.0,-0.03050806819183105
