rebalance_date,selection_date,rank,symbol,holding_name,sector,score,ret_3m,ret_6m,median_daily_value,median_daily_volume,coverage_ratio,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_period_end,fundamental_filing_date,net_income_ttm,earnings_yield,pe_ratio,book_to_price,pb_ratio,roe,roa,cash_conversion,leverage_inverse,revenue_growth,net_income_growth,positive_earnings_count_4p,margin_stability_4p,fundamental_row_age_days,target_weight
2021-11-01,2021-10-31,1,MCQE,Misr Cement - Qena,materials,0.8255436507936509,-0.3403532608695652,0.5007727975270482,7864284.8,641424.0,1.0,0.9285714285714287,0.95,1.0,0.6808333333333334,0.13888888888888892,0.75,True,2021-06-30,2021-08-29,61415615.0,0.06588527184174389,15.177898975692095,1.955444216658084,0.5113927523378967,0.033693250505679936,0.01521299592343599,4.395304695719484,0.4515146415117003,,1.1215898371423632,3.0,,63.0,0.125
2021-11-01,2021-10-31,2,GBCO,GB Corp,industrials,0.7542420634920636,0.09473684210526323,0.10344827586206895,6630820.95,1642464.0,1.0,0.6190476190476191,1.0,1.0,0.5741666666666667,0.6111111111111112,0.5,True,2021-06-30,2021-08-29,673099000.0,0.14905817064096658,6.708790237394499,1.4319918594763137,0.6983279921477381,0.10409149301692111,0.022687671664040215,0.9297131625511255,0.2179589417585941,,1.2522971390329598,3.0,,63.0,0.125
2021-11-01,2021-10-31,3,ETEL,Telecom Egypt,telecom,0.7494603174603175,-0.04897090134847404,0.17543859649122817,7722471.9,540033.0,1.0,0.511904761904762,1.0,1.0,0.4033333333333333,0.8888888888888891,0.6666666666666666,True,2021-06-30,2021-08-29,3871659000.0,0.1692546323888248,5.908257788198806,1.7491890179195695,0.5716935046787388,0.09676177397347883,0.04474141012338138,2.1505241034915525,0.4623872453562542,,0.8226047372125156,2.0,,63.0,0.125
2021-11-01,2021-10-31,4,ADIB,Abu Dhabi Islamic Bank- Egypt,banks,0.7439484126984127,0.16880093131548302,0.4002789400278939,19188932.46,1786679.0,1.0,0.6904761904761906,0.9,0.925,0.5791666666666667,0.1388888888888889,1.0,True,2021-06-30,2021-08-29,677557000.0,0.05623813081009297,17.78152981963141,0.50315604249668,1.9874550150246846,0.1117707551141335,0.008730914875354994,-0.2155139715182634,0.07811448411920918,,1.0643253651491977,2.0,,63.0,0.125
2021-11-01,2021-10-31,5,AMOC,Alexandria Mineral Oils Company,energy,0.7015079365079365,0.16246498599439785,0.44599303135888513,10904577.299999999,2767699.0,1.0,0.4642857142857144,1.0,0.9,0.5166666666666667,0.3888888888888889,0.9166666666666666,True,2021-06-30,2021-09-28,-488281200.0,-0.09110191287799281,,0.35115396274995453,2.847753709423658,-0.25943581033389496,-0.17260406018274635,,0.6653054563308135,,,0.0,,33.0,0.125
2021-11-01,2021-10-31,6,ORWE,Oriental Weavers,consumer,0.6788809523809525,-0.00848484848484854,0.10840108401084003,3082992.5599999996,341039.0,1.0,0.7023809523809526,0.95,0.6,0.49833333333333335,1.0000000000000002,0.08333333333333333,True,2021-06-30,2021-08-29,599009408.0,0.11010033645479586,9.082624378814431,1.4169334554415853,0.7057494451553841,0.07770325136439328,0.04542540876992091,0.3949504729648587,0.5846011328006879,,0.9985488561149967,2.0,,63.0,0.125
2021-11-01,2021-10-31,7,HRHO,EFG Holding,financials,0.653186507936508,0.06718346253229979,0.06169665809768632,9660860.02,1218893.0,1.0,0.28571428571428575,0.9,0.925,0.5525000000000001,0.638888888888889,0.8333333333333334,True,2021-06-30,2021-08-29,698056702.0,0.05789653520832139,17.27219075203435,1.2021217460887532,0.8318624991633498,0.0481619564712931,0.015365588403021102,-1.2262201860501585,0.31903995453714074,,1.3929872397053162,3.0,,63.0,0.125
2021-11-01,2021-10-31,8,EGAL,Egypt Aluminum,materials,0.6080555555555556,0.13266696955929125,1.1271331058020477,4104020.1,168076.0,1.0,0.9166666666666669,0.55,0.5,0.675,0.22222222222222224,0.3333333333333333,False,,,,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,1,AMOC,Alexandria Mineral Oils Company,energy,0.8623469387755104,-0.05434782608695654,0.17966101694915237,9218569.0,2477097.0,1.0,0.9387755102040817,1.0,0.9,0.65,0.42857142857142866,0.9285714285714286,True,2021-06-30,2021-09-28,-488281200.0,-0.10864164897806614,,0.41876119121043426,2.387995881637188,-0.25943581033389496,-0.17260406018274635,,0.6653054563308135,,,0.0,,63.0,0.125
2021-12-01,2021-11-30,2,MCQE,Misr Cement - Qena,materials,0.7558673469387756,-0.258493353028065,0.34045393858477957,4277920.26,386287.0,1.0,0.7755102040816328,0.95,1.0,0.7130952380952382,0.11904761904761904,0.5,True,2021-09-30,2021-11-16,107409183.0,0.11143881038346615,8.973534413719541,1.9461204619023906,0.5138428065354548,0.05726203108441263,0.026249165446879694,2.09163490239005,0.4584043728414834,,0.7488904572558623,4.0,,14.0,0.125
