family,parameter,importance
hierarchy_combo,trend_indicator,0.3833404186392296
hierarchy_combo,atr_stop,0.22173718047593707
hierarchy_combo,atr_trail,0.20214247624763426
hierarchy_combo,hierarchy,0.19277992463719912
