date,regime,core_weight,satellite_weight,guard_active,sleeve_drawdown,portfolio_drawdown,turnover_value,turnover_pct,fees
2019-02-05,bull,0.2,0.8,False,0.0,0.0,109745.675415,0.9976879583181819,244.49135083000002
2019-07-09,bull,0.2,0.8,False,0.0,0.0,45626.810025,0.3357223818133766,111.25362005000001
2020-01-02,bull,0.2,0.8,False,-0.07556084313179556,-0.002741442929057314,60714.09071999999,0.32996521147248514,141.42818144
2020-07-06,stress,0.9,0.09999999999999998,False,-0.2052361275030371,0.0,202253.41212000002,1.0469453369990998,414.50682424
2021-01-04,stress,0.9,0.09999999999999998,False,-0.8402872564681488,0.0,31041.67518,0.12342456494656098,82.08335036000001
2021-07-04,stress,0.9,0.09999999999999998,False,-0.786305521348189,0.0,59113.839125000006,0.2022893157689552,138.22767825
2022-01-02,stress,0.9,0.09999999999999998,False,-0.7341760523593039,0.0,68684.328545,0.1765493653966256,157.36865709
2022-07-03,stress,0.9,0.09999999999999998,False,-0.768445897117538,-0.12389701026263833,62667.99800500001,0.165878219373964,145.33599601
2023-01-02,stress,0.9,0.09999999999999998,False,-0.5266915540803565,-0.026705100192764286,115016.74945999999,0.17232715696424405,250.03349892
2023-07-04,stress,0.9,0.09999999999999998,False,-0.459236136794989,-0.006174433603350904,165100.48039500002,0.195898309878169,355.20096079
2024-01-02,bull,0.2,0.8,False,-0.020238715874778768,-0.018371485557136746,212386.0511,0.16636004923929,429.77210220000006
2024-07-01,bull,0.2,0.8,False,-0.2843687857586673,-0.16216573273555568,633812.18213,0.39346211987618956,1282.62436426
2025-01-02,bull,0.2,0.8,False,-0.016384080582185545,-0.04197112891491517,837791.6766899999,0.4579656530227542,1685.5833533799998
2025-07-01,bull,0.2,0.8,False,-0.026328905899522304,-0.009672240045341951,541142.1965,0.21866523888298886,1087.2843930000001
2026-01-04,bull,0.2,0.8,False,-0.032210273873035766,-0.019787887752378053,1553703.479105,0.48420909943878143,3122.4069582099996
