family,number,value,holdout_excess_vs_etf_dca,holdout_max_drawdown,closed_trades,params
breakout,10,-0.05694205399090846,-0.05694205399090846,0.13237355196523581,161.0,"{""atr_len"": 15, ""lookback"": 38, ""max_hold_bars"": 24, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.3563929227974674, ""target_atr"": 5.000997223447622, ""top_n"": 7, ""trail_atr"": 4.485104608675307, ""trend_len"": 114, ""volume_long"": 90, ""volume_ratio"": 1.0921472331443545, ""volume_short"": 19}"
breakout,11,0.06472078841479134,0.06472078841479134,0.12177953199693958,180.0,"{""atr_len"": 15, ""lookback"": 36, ""max_hold_bars"": 24, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.265963917321445, ""target_atr"": 4.759966555035342, ""top_n"": 7, ""trail_atr"": 4.659735208783627, ""trend_len"": 119, ""volume_long"": 90, ""volume_ratio"": 1.05742956219772, ""volume_short"": 20}"
breakout,12,-0.2858095114195165,-0.2858095114195165,0.13411026808202775,134.0,"{""atr_len"": 16, ""lookback"": 34, ""max_hold_bars"": 22, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.316340540955338, ""target_atr"": 4.935576562787161, ""top_n"": 7, ""trail_atr"": 4.980276143733269, ""trend_len"": 112, ""volume_long"": 90, ""volume_ratio"": 1.2789443999922976, ""volume_short"": 19}"
breakout,13,-0.3432744432716657,-0.3432744432716657,0.09719031997677041,222.0,"{""atr_len"": 16, ""lookback"": 20, ""max_hold_bars"": 20, ""max_positions"": 4, ""scan_mode"": ""monthly"", ""stop_atr"": 1.942023017089665, ""target_atr"": 4.72123013499198, ""top_n"": 7, ""trail_atr"": 4.335081218948553, ""trend_len"": 97, ""volume_long"": 88, ""volume_ratio"": 1.0652135055822711, ""volume_short"": 19}"
breakout,14,-0.5375574977077651,-0.5375574977077651,0.14491504573691205,134.0,"{""atr_len"": 16, ""lookback"": 36, ""max_hold_bars"": 38, ""max_positions"": 4, ""scan_mode"": ""monthly"", ""stop_atr"": 3.4569226874623094, ""target_atr"": 4.890233128750506, ""top_n"": 8, ""trail_atr"": 4.38774970253937, ""trend_len"": 121, ""volume_long"": 79, ""volume_ratio"": 1.311527200265358, ""volume_short"": 21}"
breakout,15,0.0978133411951514,0.0978133411951514,0.08933541997111472,135.0,"{""atr_len"": 14, ""lookback"": 60, ""max_hold_bars"": 37, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.6225322129215, ""target_atr"": 4.394318949353327, ""top_n"": 6, ""trail_atr"": 4.6188536098413895, ""trend_len"": 102, ""volume_long"": 40, ""volume_ratio"": 1.1594571356054943, ""volume_short"": 16}"
breakout,16,-0.47533163571983383,-0.47533163571983383,0.06251013671405037,86.0,"{""atr_len"": 13, ""lookback"": 61, ""max_hold_bars"": 38, ""max_positions"": 5, ""scan_mode"": ""monthly"", ""stop_atr"": 2.683775648079843, ""target_atr"": 4.277264311061103, ""top_n"": 6, ""trail_atr"": 3.9716807882769407, ""trend_len"": 50, ""volume_long"": 40, ""volume_ratio"": 1.3879403955528635, ""volume_short"": 16}"
breakout,17,-0.378446406856759,-0.378446406856759,0.10994685268170112,157.0,"{""atr_len"": 18, ""lookback"": 67, ""max_hold_bars"": 53, ""max_positions"": 4, ""scan_mode"": ""monthly"", ""stop_atr"": 1.9076446284661186, ""target_atr"": 4.3165387825547405, ""top_n"": 6, ""trail_atr"": 4.672983724341993, ""trend_len"": 100, ""volume_long"": 41, ""volume_ratio"": 1.1880828922401063, ""volume_short"": 17}"
breakout,18,-0.34644033596392965,-0.34644033596392965,0.035190701198959506,62.0,"{""atr_len"": 11, ""lookback"": 50, ""max_hold_bars"": 32, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.6263344784869767, ""target_atr"": 5.349958764151047, ""top_n"": 8, ""trail_atr"": 1.506474414289362, ""trend_len"": 83, ""volume_long"": 51, ""volume_ratio"": 1.9409623917891374, ""volume_short"": 12}"
breakout,19,-0.5584860602009634,-0.5584860602009634,0.02743699027035551,16.0,"{""atr_len"": 14, ""lookback"": 76, ""max_hold_bars"": 51, ""max_positions"": 5, ""scan_mode"": ""monthly"", ""stop_atr"": 3.3910208841604565, ""target_atr"": 4.356577813848239, ""top_n"": 5, ""trail_atr"": 4.080569213927625, ""trend_len"": 133, ""volume_long"": 50, ""volume_ratio"": 1.7632431987394144, ""volume_short"": 22}"
breakout,20,-0.34649623062848756,-0.34649623062848756,0.06357790136363994,131.0,"{""atr_len"": 18, ""lookback"": 60, ""max_hold_bars"": 70, ""max_positions"": 5, ""scan_mode"": ""monthly"", ""stop_atr"": 3.148395392323801, ""target_atr"": 3.117269093487254, ""top_n"": 7, ""trail_atr"": 4.702210258330036, ""trend_len"": 160, ""volume_long"": 55, ""volume_ratio"": 1.4163929808155582, ""volume_short"": 17}"
breakout,21,-0.06776566603905554,-0.06776566603905554,0.1192741242613633,139.0,"{""atr_len"": 14, ""lookback"": 42, ""max_hold_bars"": 28, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.4709539878431768, ""target_atr"": 5.369915135601578, ""top_n"": 7, ""trail_atr"": 4.535643855984374, ""trend_len"": 111, ""volume_long"": 86, ""volume_ratio"": 1.1410326436198939, ""volume_short"": 19}"
breakout,22,-0.3771834671574381,-0.3771834671574381,0.13937709630669615,157.0,"{""atr_len"": 15, ""lookback"": 29, ""max_hold_bars"": 30, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 2.05615374510641, ""target_atr"": 5.216448360172894, ""top_n"": 6, ""trail_atr"": 4.709519606019089, ""trend_len"": 121, ""volume_long"": 74, ""volume_ratio"": 1.0544407870837287, ""volume_short"": 18}"
breakout,23,-0.22574546593387845,-0.22574546593387845,0.09447819654133827,130.0,"{""atr_len"": 12, ""lookback"": 38, ""max_hold_bars"": 42, ""max_positions"": 4, ""scan_mode"": ""monthly"", ""stop_atr"": 2.4758683272419626, ""target_atr"": 4.560013579806732, ""top_n"": 8, ""trail_atr"": 4.336725302343041, ""trend_len"": 106, ""volume_long"": 45, ""volume_ratio"": 1.281699615235738, ""volume_short"": 21}"
breakout,24,-0.34599577545898574,-0.34599577545898574,0.13501736000860887,171.0,"{""atr_len"": 17, ""lookback"": 47, ""max_hold_bars"": 61, ""max_positions"": 3, ""scan_mode"": ""monthly"", ""stop_atr"": 1.7354672222802985, ""target_atr"": 4.05069060438029, ""top_n"": 7, ""trail_atr"": 4.973640752868106, ""trend_len"": 122, ""volume_long"": 79, ""volume_ratio"": 1.1342128251951862, ""volume_short"": 16}"
