symbol,date,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days
ABUK,2017-04-04,2017-04-05,materials,0.3673452380952381,0.07142857142857145,0.5333333333333333,0.5,0.3425,0.75,0.3,False,,
ABUK,2017-04-30,2017-05-02,materials,0.3713756613756614,0.08730158730158731,0.5333333333333333,0.5,0.3666666666666667,0.6851851851851852,0.3333333333333333,False,,
ABUK,2017-05-31,2017-06-01,materials,0.5257706766917294,0.518796992481203,0.5333333333333333,0.5,0.5644736842105263,0.6491228070175439,0.42105263157894735,False,,
ABUK,2017-07-06,2017-07-09,materials,0.5751190476190475,0.6587301587301587,0.5333333333333333,0.5,0.5972222222222223,0.6666666666666667,0.4444444444444444,False,,
ABUK,2017-08-13,2017-08-14,materials,0.5839455782312926,0.6734693877551021,0.5333333333333333,0.5,0.5857142857142857,0.6666666666666667,0.5,False,,
ABUK,2017-09-06,2017-09-07,materials,0.5826515151515153,0.6363636363636365,0.55,0.5,0.5750000000000001,0.696969696969697,0.5454545454545454,False,,
ABUK,2017-10-01,2017-10-02,materials,0.6205827067669174,0.7593984962406015,0.55,0.5,0.6171052631578948,0.6842105263157895,0.5263157894736842,False,,
ABUK,2017-11-08,2017-11-09,materials,0.618063909774436,0.7518796992481203,0.55,0.5,0.6144736842105264,0.6842105263157895,0.5263157894736842,False,,
ABUK,2017-11-29,2017-12-03,materials,0.5452380952380953,0.5285714285714286,0.55,0.5,0.5,0.8166666666666668,0.45,False,,
ABUK,2017-12-31,2018-01-02,materials,0.5221428571428572,0.5793650793650795,0.55,0.5,0.49444444444444446,0.7222222222222223,0.16666666666666666,False,,
ABUK,2018-02-05,2018-02-06,materials,0.5384259259259259,0.6111111111111112,0.55,0.5,0.525,0.6481481481481481,0.2777777777777778,False,,
ABUK,2018-03-01,2018-03-04,materials,0.617640056022409,0.7815126050420169,0.55,0.5,0.6338235294117648,0.5686274509803922,0.5294117647058824,False,,
ABUK,2018-04-10,2018-04-11,materials,0.6744668737060042,0.9316770186335405,0.5333333333333333,0.5,0.6510869565217393,0.6231884057971016,0.6086956521739131,False,,
ABUK,2018-04-30,2018-05-02,materials,0.664125258799172,0.9254658385093169,0.5333333333333333,0.5,0.6532608695652175,0.6231884057971016,0.5217391304347826,False,,
ABUK,2018-06-13,2018-06-14,materials,0.5712301587301588,0.6587301587301588,0.6,0.5,0.5916666666666668,0.6111111111111112,0.3333333333333333,False,,
ABUK,2018-07-08,2018-07-09,materials,0.5632142857142857,0.6190476190476191,0.6,0.5,0.5750000000000001,0.6,0.4,False,,
ABUK,2018-08-06,2018-08-07,materials,0.5165793650793652,0.5428571428571429,0.6,0.5,0.4483333333333333,0.5555555555555557,0.3333333333333333,False,,
ABUK,2018-09-03,2018-09-04,materials,0.47504578754578763,0.42857142857142866,0.6,0.5,0.44423076923076926,0.5128205128205129,0.3076923076923077,False,,
ABUK,2018-10-02,2018-10-03,materials,0.5739285714285713,0.5714285714285714,0.6,0.5,0.49166666666666664,0.6666666666666667,0.6666666666666666,False,,
ABUK,2020-09-02,2020-09-03,materials,0.5103095238095239,0.45714285714285724,0.6,0.5,0.465,0.46666666666666673,0.6,False,,
ABUK,2020-10-01,2020-10-04,materials,0.47067460317460313,0.380952380952381,0.6,0.5,0.475,0.3888888888888889,0.5,False,,
ABUK,2020-11-15,2020-11-16,materials,0.48535714285714293,0.42857142857142866,0.6,0.5,0.5107142857142858,0.28571428571428575,0.5714285714285714,False,,
ABUK,2020-12-15,2020-12-16,materials,0.5320502645502645,0.634920634920635,0.6,0.5,0.5861111111111112,0.29629629629629634,0.3333333333333333,False,,
ABUK,2021-01-03,2021-01-04,materials,0.5262755102040817,0.5102040816326531,0.6,0.5,0.5321428571428573,0.42857142857142866,0.5714285714285714,False,,
ABUK,2021-02-01,2021-02-02,materials,0.5946428571428573,0.7460317460317462,0.6,0.5,0.6194444444444446,0.33333333333333337,0.5555555555555556,False,,
