year,strategy_final_equity,strategy_total_contributions,strategy_money_multiple,strategy_twr_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_return_dd,strategy_profit_factor,strategy_closed_trades,etf_final_equity,etf_total_contributions,etf_money_multiple,etf_twr_total_return,etf_cagr,etf_sharpe,etf_max_drawdown,etf_return_dd,etf_profit_factor,etf_closed_trades,excess_twr_vs_etf_dca
2015,220000.0,220000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.275545718792227
2016,433626.73972922016,120000.0,3.613556164410168,0.2888350149039072,0.5589971499732009,3.130843456750862,0.06384964808813487,8.754897900166798,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,-0.4678302593414698
2017,754017.5543561706,120000.0,6.283479619634755,0.39311004597836985,1.7036861234355585,2.8493300321314274,0.10008187738872332,17.022923309265586,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,0.1922889795664271
2018,878119.730809761,120000.0,7.317664423414675,-0.03878973931695384,-0.15308997793164558,-0.44910503487367015,0.1634751004119962,-0.9364727566817355,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,0.09326027543993809
2019,962291.742640541,100000.0,9.62291742640541,-0.01779600764227285,-0.13186283518088815,-0.9636414518725092,0.04452282551599818,-2.961690630652057,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.06581230225329182
2020,1072291.742640541,110000.0,9.748106751277644,-1.1102230246251565e-16,-4.440892098500626e-16,-2.0844250013389534,1.1102230246251565e-16,-4.0,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.2253885152803402
2021,1096637.878090281,120000.0,9.138648984085675,-0.0834074398274165,-0.10696553570931988,-0.7700854133848579,0.1632199479206301,-0.6553459737735894,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,-0.1646437077291505
2022,1215257.5292290517,120000.0,10.127146076908764,-0.006203610595137188,-0.0067656632601702515,0.008777484338435691,0.15333697565779214,-0.04412284272039795,0.0,0.0,287989.8108061,220000.0,1.309044594573182,0.21726507126416061,0.23921724275115652,1.0128644214549674,0.2787932434791939,0.8580453377056432,0.0,0.0,-0.2234686818592978
2023,1593448.5599899646,120000.0,13.278737999916371,0.19771239678053898,0.2076158427711352,0.9655741276629352,0.1633663277586469,1.2708606823669402,0.0,0.0,328926.55158541,220000.0,1.495120689024591,0.6911867258458764,0.7322355357979111,2.1260210590034228,0.168866982684025,4.336167580894316,0.0,0.0,-0.4934743290653374
2024,2460652.185889205,120000.0,20.505434882410043,0.38917287032229075,0.41017217351966084,1.8715138816563677,0.24107948690162273,1.7013980691233168,0.0,0.0,245225.79917944001,220000.0,1.1146627235429092,0.20254795210961296,0.21271438562909029,0.7988801588541482,0.27494696081094594,0.773656071708147,0.0,0.0,0.1866249182126778
2025,4090020.986197618,120000.0,34.08350821831348,0.5972970574838896,0.6285086099648696,3.4846489050068694,0.08500183908930081,7.394058960354659,0.0,0.0,293321.90360722,220000.0,1.333281380032818,0.4250922021171457,0.4461059431131993,2.3045641851489287,0.07559271633776188,5.901440836176829,0.0,0.0,0.1722048553667439
2026,4451697.0249205185,40000.0,111.29242562301296,0.10384839307523919,0.5143267880974396,2.6828675041628234,0.03846887201131566,13.369947212025085,0.0,0.0,151792.28477877,140000.0,1.084230605562643,0.13119727154010885,0.6782670403714,2.0033742789921765,0.13599696523015958,4.987368940354729,0.0,0.0,-0.027348878464869664
