date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2015-02-01,0.0,0.0,0.0,110000.0
2015-03-01,0.0,0.0,0.0,120000.0
2015-04-01,0.0,0.0,0.0,130000.0
2015-05-03,0.0,0.0,0.0,140000.0
2015-06-01,0.0,0.0,0.0,150000.0
2015-07-02,0.0,0.0,0.0,160000.0
2015-08-03,0.0,0.0,0.0,170000.0
2015-09-01,0.0,0.0,0.0,180000.0
2015-10-04,0.0,0.0,0.0,190000.0
2015-11-01,0.0,0.0,0.0,200000.0
2015-12-02,0.0,0.0,0.0,210000.0
2016-01-03,0.0,0.0,0.0,220000.0
2016-02-01,0.0,0.0,0.0,230000.0
2016-03-02,217018.41651,0.9554677904421184,434.0368330200001,226590.55757190008
2016-04-04,0.0,0.0,0.0,236590.55757190008
2016-05-03,223104.68185500003,0.9566331109810638,446.20936371000005,232660.83162021014
2016-06-01,215680.54578000001,0.9552284399835451,431.36109156000003,225250.2383342902
2016-07-10,0.0,0.0,0.0,235250.2383342902
2016-08-02,0.0,0.0,0.0,245250.2383342902
2016-09-01,0.0,0.0,0.0,255250.2383342902
2016-10-03,0.0,0.0,0.0,265250.2383342902
2016-11-02,0.0,0.0,0.0,275250.2383342902
2016-12-01,0.0,0.0,0.0,285250.2383342902
2017-01-02,0.0,0.0,0.0,295250.2383342902
2017-02-07,0.0,0.0,0.0,305250.2383342902
2017-03-01,0.0,0.0,0.0,315250.2383342902
2017-04-05,0.0,0.0,0.0,325250.2383342902
2017-05-02,0.0,0.0,0.0,335250.2383342902
2017-06-01,0.0,0.0,0.0,345250.2383342902
2017-07-09,0.0,0.0,0.0,355250.2383342902
2017-08-14,0.0,0.0,0.0,365250.2383342902
2017-09-07,0.0,0.0,0.0,375250.2383342902
2017-10-02,0.0,0.0,0.0,385250.2383342902
2017-11-09,0.0,0.0,0.0,395250.2383342902
2017-12-03,0.0,0.0,0.0,405250.2383342902
2018-01-02,0.0,0.0,0.0,415250.2383342902
2018-02-06,0.0,0.0,0.0,425250.2383342902
