rebalance_date,selection_date,rank,symbol,holding_name,score,ret_3m,ret_6m,median_daily_value,median_daily_volume,coverage_ratio,score_momentum,score_value,score_quality,score_low_risk,score_liquidity,has_fundamentals,fundamental_period_end,fundamental_filing_date,earnings_yield,book_to_price,roe,roa,cash_conversion,leverage_inverse,revenue_growth,net_income_growth,positive_earnings_count_4p,margin_stability_4p,fundamental_row_age_days,target_weight
2021-12-01,2021-11-30,2,COMI,Commercial International Bank-Egypt (CIB),0.609,0.09836065573770503,0.23849220732149345,79827573.96000001,2548080.0,1.0,0.5942857142857144,0.5,0.505,0.6666666666666667,1.0,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,3,PHDC,Palm Hills Development Company,0.602,-0.08205128205128198,0.09815950920245409,3299573.23,1658077.0,1.0,0.7542857142857143,0.5,0.5,0.6533333333333334,0.4,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,4,ETEL,Telecom Egypt,0.594,-0.02511880515953846,0.2775800711743772,8188602.24,568478.0,1.0,0.5257142857142857,0.5,0.5,0.9200000000000002,0.72,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,5,EGAL,Egypt Aluminum,0.5810000000000001,-0.1668648434403488,0.30477963997517077,1948485.0,77523.0,1.0,0.9714285714285715,0.5,0.505,0.10666666666666667,0.24,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,6,GBCO,GB Corp,0.577,-0.027431421446383997,0.09859154929577474,6630820.95,1642464.0,1.0,0.7485714285714287,0.5,0.505,0.33333333333333337,0.64,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,7,HRHO,EFG Holding,0.571,0.15523465703971118,0.2276214833759589,11008738.680000002,1309281.0,1.0,0.5371428571428571,0.5,0.505,0.6,0.92,False,,,,,,,,,,,,,,0.125
2021-12-01,2021-11-30,8,ADIB,Abu Dhabi Islamic Bank- Egypt,0.561,-0.03280224929709463,0.38152610441767076,8763031.08,874554.0,1.0,0.7485714285714288,0.5,0.505,0.09333333333333334,0.84,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,1,HRHO,EFG Holding,0.6449999999999999,0.22625000000000006,0.30974632843791716,12570488.040000001,1470689.0,1.0,0.7600000000000001,0.5,0.505,0.6000000000000001,0.88,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,2,COMI,Commercial International Bank-Egypt (CIB),0.625,0.2510683760683763,0.36004645760743337,106700188.8,3159799.0,1.0,0.6514285714285715,0.5,0.505,0.64,1.0,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,3,ETEL,Telecom Egypt,0.6200000000000001,0.1911869225302063,0.26299924642049755,10169398.16,693718.0,1.0,0.56,0.5,0.5,0.9600000000000002,0.8,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,4,TMGH,T M G Holding,0.6140000000000001,0.2358620689655173,0.3763440860215055,9460008.08,1179245.0,1.0,0.7828571428571429,0.5,0.5,0.4266666666666667,0.76,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,5,ORWE,Oriental Weavers,0.602,0.010477299185098987,0.005793742757821407,3288739.04,387823.0,1.0,0.64,0.5,0.5,0.9466666666666668,0.36,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,6,JUFO,Juhayna Food Industries,0.5930000000000001,0.39560439560439553,0.3160621761658031,4748714.2,677420.0,1.0,0.6171428571428572,0.5,0.505,0.8266666666666668,0.52,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,7,MCQE,Misr Cement - Qena,0.5810000000000001,-0.18471872376154486,0.25290322580645164,3247516.8,338283.0,1.0,0.9314285714285715,0.5,0.505,0.14666666666666667,0.32,False,,,,,,,,,,,,,,0.125
2022-01-02,2021-12-29,8,PHDC,Palm Hills Development Company,0.5800000000000001,0.03684210526315801,0.1005586592178771,3810939.8600000003,2093923.0,1.0,0.6971428571428573,0.5,0.5,0.64,0.4,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,1,ETEL,Telecom Egypt,0.6875,0.23228634039444862,0.20500000000000007,10104162.600000001,629092.0,1.0,0.7916666666666667,0.5,0.5,0.9305555555555556,0.7083333333333334,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,2,GBCO,GB Corp,0.6176666666666667,0.16183574879227058,0.2526041666666665,7192748.85,1483041.0,1.0,0.8690476190476192,0.5,0.505,0.33333333333333337,0.625,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,3,PHDC,Palm Hills Development Company,0.6166666666666667,-0.0842105263157894,-0.06451612903225812,5401319.5600000005,2967758.0,1.0,0.773809523809524,0.5,0.5,0.6111111111111112,0.5416666666666666,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,4,HRHO,EFG Holding,0.6155833333333335,0.14519906323185006,0.27012987012987,13761696.0,1413450.0,1.0,0.630952380952381,0.5,0.505,0.7361111111111112,0.8333333333333334,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,5,COMI,Commercial International Bank-Egypt (CIB),0.6030833333333333,-0.01981619758759323,0.1777087646652864,97013791.0,2806300.0,1.0,0.5773809523809524,0.5,0.505,0.6666666666666667,1.0,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,6,TMGH,T M G Holding,0.6020833333333333,0.22516556291390732,0.2991573033707864,13887485.15,1531145.0,1.0,0.7202380952380952,0.5,0.5,0.4166666666666667,0.875,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,7,ORWE,Oriental Weavers,0.5895833333333332,0.02666666666666684,0.03041362530413627,3950671.25,456725.0,1.0,0.6071428571428572,0.5,0.5,0.9027777777777779,0.4166666666666667,False,,,,,,,,,,,,,,0.125
2022-02-01,2022-01-31,8,HELI,Heliopolis Housing,0.5889166666666668,0.4144144144144144,0.28425357873210655,30123296.67,5094904.0,1.0,0.6071428571428572,0.7499999999999999,0.58,0.125,0.9166666666666666,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,1,ETEL,Telecom Egypt,0.6875,0.2142857142857142,0.19945725915875157,9220879.74,559611.0,1.0,0.8154761904761907,0.5,0.5,0.8750000000000001,0.7083333333333334,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,2,COMI,Commercial International Bank-Egypt (CIB),0.6426666666666667,-0.060597103162873145,0.012424338961452674,89584011.0,2623828.0,1.0,0.6785714285714287,0.5,0.505,0.6944444444444446,1.0,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,3,ORWE,Oriental Weavers,0.625,-0.02619047619047632,-0.04662004662004671,3950671.25,456725.0,1.0,0.6845238095238095,0.5,0.5,0.9305555555555556,0.4583333333333333,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,4,JUFO,Juhayna Food Industries,0.6239166666666668,-0.07863501483679525,0.11891891891891904,1663344.93,224473.0,1.0,0.8154761904761907,0.5,0.505,0.7777777777777778,0.20833333333333334,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,5,HELI,Heliopolis Housing,0.6180833333333333,0.06437768240343344,-0.1578947368421052,35995655.42,7071838.0,1.0,0.6309523809523809,0.7499999999999999,0.58,0.26388888888888895,0.9166666666666666,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,6,HRHO,EFG Holding,0.6051666666666667,0.26725082146768897,0.38562874251497026,19861625.85,1890753.0,1.0,0.6130952380952382,0.5,0.505,0.6805555555555556,0.875,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,7,TMGH,T M G Holding,0.6000000000000001,0.15698393077873907,0.2999999999999998,17207529.599999998,1891413.0,1.0,0.7321428571428573,0.5,0.5,0.4027777777777778,0.8333333333333334,False,,,,,,,,,,,,,,0.125
2022-03-01,2022-02-28,8,GBCO,GB Corp,0.5739166666666667,0.476923076923077,0.41871921182266014,8331229.4399999995,1564026.0,1.0,0.7321428571428573,0.5,0.505,0.36111111111111116,0.625,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,1,ETEL,Telecom Egypt,0.7104166666666667,0.04293381037567068,0.23691654879773671,9220879.74,559611.0,1.0,0.9285714285714288,0.5,0.5,0.8194444444444445,0.625,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,2,HRHO,EFG Holding,0.7030833333333333,0.19452887537993924,0.4555555555555555,22841219.94,1997616.0,1.0,0.8154761904761905,0.5,0.505,0.8611111111111113,0.875,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,3,TMGH,T M G Holding,0.6312500000000001,-0.06835722160970237,0.1449864498644986,18459164.23,2069670.0,1.0,0.8333333333333335,0.5,0.5,0.40277777777777785,0.7916666666666666,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,4,GBCO,GB Corp,0.61975,-0.2176470588235293,-0.07638888888888895,8154184.38,1445459.0,1.0,0.9285714285714287,0.5,0.505,0.2361111111111111,0.5833333333333334,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,5,CCAP,QALA For Financial Investments,0.59375,0.11570247933884303,0.1842105263157896,20703393.130000003,15529329.0,1.0,0.6845238095238096,0.5,0.5,0.4722222222222222,0.8333333333333334,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,6,ABUK,Abou Kir Fertilizers,0.575,0.15674418604651175,0.2510060362173039,14030629.5,656009.0,1.0,0.46428571428571436,0.5,0.5,0.9166666666666667,0.75,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,7,ARCC,Arabian Cement Company,0.5655833333333334,-0.04646017699115046,0.03855421686746974,229748.86,53306.0,1.0,0.7261904761904764,0.5,0.505,0.7083333333333335,0.041666666666666664,False,,,,,,,,,,,,,,0.125
2022-04-03,2022-03-31,8,ORWE,Oriental Weavers,0.5458333333333334,0.024165707710011697,0.020642201834862428,3533541.9000000004,419571.0,1.0,0.48809523809523814,0.5,0.5,0.8611111111111113,0.4583333333333333,False,,,,,,,,,,,,,,0.125
2022-05-08,2022-04-28,1,HRHO,EFG Holding,0.7030833333333333,0.16427104722792607,0.36956521739130443,38736698.82,3645734.0,1.0,0.8690476190476192,0.5,0.505,0.6805555555555557,0.9583333333333334,False,,,,,,,,,,,,,,0.125
2022-05-08,2022-04-28,2,ETEL,Telecom Egypt,0.6767500000000001,0.005545286506469571,0.2026529108327193,9997109.1,590298.0,1.0,0.8750000000000001,0.4666666666666666,0.49,0.7222222222222223,0.7083333333333334,False,,,,,,,,,,,,,,0.125
