date,regime,core_weight,satellite_weight,guard_active,sleeve_drawdown,portfolio_drawdown,turnover_value,turnover_pct,fees
2019-02-05,fixed,0.5,0.5,False,0.0,0.0,109722.783975,0.9974798543181818,269.44556795
2019-07-09,fixed,0.5,0.5,False,0.0,0.0,30223.913769999996,0.2233568485806976,105.44782753999999
2020-01-02,fixed_guard,0.5,0.5,True,-0.6467799359572948,-0.43994542982557894,74040.00250500001,0.39799457247204556,148.08000501
2020-07-06,fixed_guard,0.5,0.5,True,-0.8393786246305188,-0.3879956629736956,44419.42992,0.2239362814318987,88.83885984000001
2021-01-04,fixed_guard,0.5,0.5,True,-0.9102452048327154,-0.239981271837038,38879.96804,0.1503952535541888,77.75993607999999
2021-07-04,fixed_guard,0.5,0.5,True,-0.9672217563196358,-0.11328093313683729,25663.847115,0.086366909943075,51.32769423
2022-01-02,fixed_guard,0.5,0.5,True,-1.0,0.0,10014.8049,0.025338925922477436,20.0296098
2022-07-03,fixed_guard,0.5,0.5,True,-1.0,-0.11921541745105779,10011.50325,0.02592801529189381,20.0230065
2023-01-02,fixed_guard,0.5,0.5,True,-1.0,-0.036649597669661915,10021.42821,0.014735770950470418,20.04285642
2023-07-04,fixed_guard,0.5,0.5,True,-1.0,-0.00877549361668084,10021.70835,0.01160184939714922,20.0434167
2024-01-02,fixed_guard,0.5,0.5,True,-1.0,-0.03068398120765925,10033.594290000001,0.0076326330054350125,20.067188580000003
2024-07-01,fixed_guard,0.5,0.5,True,-1.0,-0.15179446598372504,10062.12855,0.006615165411200699,20.124257099999998
2025-01-02,fixed_guard,0.5,0.5,True,-1.0,-0.05062949204158762,10067.671320000001,0.005916192631632961,20.135342640000005
2025-07-01,fixed_guard,0.5,0.5,True,-1.0,-0.00475573292915743,10033.214100000001,0.005045733861846443,20.066428200000004
2026-01-04,fixed_guard,0.5,0.5,True,-1.0,-0.019364263124247216,10085.04,0.003880834307152089,20.170080000000002
