date,regime,core_weight,satellite_weight,guard_active,sleeve_drawdown,portfolio_drawdown,turnover_value,turnover_pct,fees
2019-02-05,bull,0.3,0.7,False,0.0,0.0,109728.17666999997,0.9975288788181815,269.45635333999996
2019-07-09,bull,0.3,0.7,False,0.0,0.0,38754.435505,0.29240743316098916,122.50887101000001
2020-01-02,stress,0.8,0.19999999999999996,False,-0.6563407606533866,-0.5303453920095591,171925.320915,0.9485194703885291,348.85064183000003
2020-07-06,stress,0.8,0.19999999999999996,False,-0.888737211973678,-0.4812265808295966,39186.92323,0.20030753336021262,103.37384646
2021-01-04,stress,0.8,0.19999999999999996,False,-0.8582168738473754,-0.3583615621956846,52556.617885,0.2074802314906533,125.11323577000002
2021-07-04,stress,0.8,0.19999999999999996,False,-0.8108901781956698,-0.23699303347775003,121002.833535,0.4079031228311906,287.00566707
2022-01-02,stress,0.8,0.19999999999999996,False,-0.7621001561068236,0.0,71662.852965,0.18138873466381786,173.32570592999997
2022-07-03,stress,0.8,0.19999999999999996,False,-0.7996523949587266,-0.13153900959630405,100434.32586,0.26569844276315674,245.86865172
2023-01-02,stress,0.8,0.19999999999999996,False,-0.57955722288346,-0.016826278490200464,189688.43318,0.28353689102663493,409.37686636
2023-07-04,stress,0.8,0.19999999999999996,False,-0.49124350741026546,-0.00137877507122397,307798.47059499996,0.3626301029995338,660.59694119
2024-01-02,bull,0.3,0.7,False,-0.2319908659427845,-0.01801419964617801,227803.27565999998,0.1785376698721953,465.60655132
2024-07-01,bull,0.3,0.7,False,-0.2448587793236916,-0.1592140786258942,351656.39089499996,0.21817376144659528,708.3127817899999
2025-01-02,bull,0.3,0.7,False,-0.08398953426210998,-0.05347325306650941,597628.949685,0.3304471613163053,1215.25789937
2025-07-01,bull,0.3,0.7,False,-0.027808950639142682,-0.009012170863556879,555530.1171050001,0.2404046556860389,1121.06023421
2026-01-04,bull,0.3,0.7,False,-0.013264879548297581,-0.00862549467552265,1074808.312045,0.3582819800258209,2164.61662409
