symbol,variant,base_family,score_family,bars,window_scheme,gate_on_ratio,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,wf_excess_return_vs_dca,holdout_pass
ABUK,pullback_base,dca_pullback_only,none,5805,primary,1.0,-0.40743933226537354,0.35448411028348614,0.9724491032925758,0.5719652924970564,-0.12193007369135209,0.0
ABUK,overlay_base,dca_tactical_overlay,none,5805,primary,1.0,-0.21797049800992863,0.3680314176828492,1.018392412050528,0.5469402861780706,0.37218789993842616,0.0
ABUK,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,5805,primary,0.619931955211025,-0.4286672230982669,0.3529355091969666,0.9731963013623518,0.5713118721266579,-0.12118482408415418,0.0
ABUK,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5805,primary,0.5614599483204135,-0.2740881622709548,0.36406927128256017,1.0320832000784135,0.524300856775711,0.37814136829777933,0.0
ABUK,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,5805,primary,0.6675986218776916,-0.40955656531363527,0.3543299417115908,0.9757419241558312,0.570801828238596,-0.12483851456133356,0.0
ABUK,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5805,primary,0.6164599483204135,-0.34965578741055836,0.35866747792227005,1.0221103851628401,0.5349683293549865,0.3955798061340904,0.0
ABUK,pullback_soft_combo,dca_pullback_only,combo,5805,primary,0.6437652885443583,-0.4179158960256597,0.3537206296533677,0.9745486118847758,0.5711019531418638,-0.12303483419719784,0.0
ABUK,overlay_soft_combo,dca_tactical_overlay,combo,5805,primary,0.5889599483204133,-0.17593839891708996,0.3709722070223487,1.047998999053116,0.5155861050024032,0.38675652218145745,0.0
ADIB,pullback_base,dca_pullback_only,none,5936,primary,1.0,-0.605492053711262,0.4342448527916243,1.0218354407631285,0.5731344455750031,-0.15587008416164105,0.0
ADIB,overlay_base,dca_tactical_overlay,none,5936,primary,1.0,-1.1426214605348273,0.4030257208783763,0.9877331916967482,0.5612252593883703,-0.024896959267510642,0.0
ADIB,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,5936,primary,0.6206052055256064,-0.661495996726293,0.43110582351574633,1.0196799734912747,0.5732123379996938,-0.14871557190381718,0.0
ADIB,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5936,primary,0.562236775606469,-1.3855070986453173,0.3880202066266363,0.9775356111934225,0.5611266560617338,-0.03600408900837039,0.0
ADIB,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,5936,primary,0.6554923349056603,-0.723067809676671,0.4276250033686608,1.0154226613863628,0.57322276247266,-0.1464380744386356,0.0
ADIB,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5936,primary,0.6024911556603774,-1.1330445685104076,0.4036053248785074,1.0046408632985864,0.5536542910043756,-0.02102748022264989,0.0
ADIB,pullback_soft_combo,dca_pullback_only,combo,5936,primary,0.6380487702156333,-0.6903072067927534,0.42948095844726497,1.0176704697764958,0.5732302152881485,-0.14739492079646496,0.0
ADIB,overlay_soft_combo,dca_tactical_overlay,combo,5936,primary,0.5823639656334232,-1.2611161791401617,0.39577977162739253,0.9911015669254776,0.5573210886504664,-0.027712162208218698,0.0
AMOC,pullback_base,dca_pullback_only,none,4958,primary,1.0,-0.013852022743144676,0.22719780642026177,0.7061368610069839,0.45521913869563735,0.012046622345552788,0.0
AMOC,overlay_base,dca_tactical_overlay,none,4958,primary,1.0,-0.19477048486345216,0.2011123672356665,0.6679727367426266,0.4514291292668402,0.36372061500851105,0.0
AMOC,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,4958,primary,0.6065389269866881,-0.045833973484756374,0.22270407588872754,0.7012816848909318,0.45184945164833357,0.029935969790300623,0.0
