variant,symbols_evaluated,stock_pass_rate,stock_median_holdout_excess_return_vs_dca,stock_mean_holdout_excess_return_vs_dca,stock_median_holdout_cagr,stock_median_holdout_max_drawdown,stock_median_gate_on_ratio
overlay_base,31,0.0967741935483871,-0.30864625420022396,-0.49925705472874926,0.3680314176828492,0.40305904698794515,1.0
overlay_soft_combo,31,0.0967741935483871,-0.4094932108749676,-0.6270405933441034,0.3568842042396978,0.3890129456594327,0.5847113228699552
overlay_soft_ichimoku,31,0.16129032258064516,-0.4489257731764047,-0.6549363875645852,0.35905886792651986,0.3884017328049024,0.5671843936381711
overlay_soft_zlema_band,31,0.0967741935483871,-0.3927045422935467,-0.6186987673390891,0.34985556802108064,0.38953089990802936,0.6024911556603774
pullback_base,31,0.3870967741935484,-0.04669129328092447,-0.15142296910556782,0.41496858474930653,0.41739281677615747,1.0
pullback_soft_combo,31,0.3870967741935484,-0.11268240275406516,-0.26649759588388366,0.3838010600831243,0.41492191843052517,0.6400831464872945
pullback_soft_ichimoku,31,0.3870967741935484,-0.1201382025511748,-0.2331948670743818,0.384199640443208,0.41550434948876347,0.6248931411530815
pullback_soft_zlema_band,31,0.3870967741935484,-0.11593430904004265,-0.3043986147976902,0.383471402217632,0.413952413551385,0.6554923349056603
