date,stock_close,stock_volume,benchmark_close,symbol,stock_ret,benchmark_ret,excess_ret,ratio,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_sma50,ratio_sma200,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_ret_126b,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,stock_fwd_21,benchmark_fwd_21,excess_fwd_21,outperform_fwd_21,stock_fwd_63,benchmark_fwd_63,excess_fwd_63,outperform_fwd_63,stock_fwd_126,benchmark_fwd_126,excess_fwd_126,outperform_fwd_126,future_63d_excess,target_end_date_63,open,close,median_daily_value,median_daily_volume,coverage_ratio,ret_6_1,ret_12_1,vol_63,max_drawdown_252,rank_rel_mom_126,rank_ratio_sma50,rank_ratio_sma200,rank_sma50_sma200,rank_resid_63,rank_resid_126,rank_liquidity,rank_drawdown,rank_vol,rank_beta,score,rebalance_date,selection_date,rank
2019-01-08,3.77,19494745,14.1,CCAP,0.013440860215053752,0.005706134094151327,0.007734726120902424,0.2673758865248227,0.44519594139876784,2.2393617021276597,2.5735815602836882,0.44872294071292806,0.18060781576857163,0.10685242082382064,0.4804225685749639,1.5022913328812155,0.6902547867058588,-0.024822695035461084,-0.024822695035461084,-0.024822695035461084,32.41950692760583,0.6951168691015231,1.5566180951688364,0.0260358845256846,0.024903857928278206,0.6120720456688649,0.26261639023998423,0.009250826058151973,0.376604455087631,1.2987364522524034,1.5243480717291231,-0.31564986737400524,0.08439716312056733,-0.4000470304945726,False,-0.6286472148541115,-0.17517730496453898,-0.4534699098895725,False,-0.6445623342175066,-0.1574468085106382,-0.48711552570686845,False,-0.4534699098895725,2020-06-22,3.72,3.77,74562820.66,21406783.0,1.0,0.05373134328358198,1.6148148148148147,0.3493470044714253,0.276595744680851,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,1.0,0.48148148148148145,0.46153846153846156,0.9051994301994302,2019-02-05,2019-01-08,1
2019-01-08,7.38,10604733,14.1,ORHD,0.013736263736263687,0.005706134094151327,0.00803012964211236,0.5234042553191489,0.6319193729003358,0.8117839607201309,4.914893617021277,2.839841837695349,0.38810407603082125,0.21165854059476744,0.3486182898980499,1.4728709451003765,0.8336329587279403,0.007984568622866561,0.007984568622866561,0.007984568622866561,14.2194887549835,1.6382110309598303,1.32987343920798,0.013048902723782759,0.02360277703496188,0.633193033217193,0.24897948377298382,0.008983510297440213,0.5159753156975265,0.6440070751454403,1.996360055341549,-0.046070460704607075,0.08439716312056733,-0.1304676238251744,False,-0.4932249322493225,-0.17517730496453898,-0.31804762728478353,False,-0.20189701897018975,-0.1574468085106382,-0.044450210459551553,False,-0.31804762728478353,2020-06-22,7.28,7.38,19100056.05,3297615.0,1.0,-0.10486322188449859,0.3990498812351544,0.5394236103554797,0.4832214765100671,1.0,0.9629629629629629,0.9615384615384616,1.0,0.9615384615384616,1.0,0.8518518518518519,0.3333333333333333,0.18518518518518517,0.38461538461538464,0.7973884140550808,2019-02-05,2019-01-08,2
2019-01-08,23.83,340098,14.1,ABUK,0.021869639794168005,0.005706134094151327,0.016163505700016678,1.6900709219858154,-0.20362868741298357,0.202829508417379,1.6336306968164611,0.3724040287870074,1.8968559778737686,1.1630729720420387,-0.10901463173801074,0.45310824222706514,0.6309002302266615,-0.2359505125194813,-0.2359505125194813,-0.2359505125194813,4.612587404133623,0.3849297240436902,0.07807510670301904,0.027374885574468998,0.028926650561354583,0.27104489402131987,0.1506673395166182,0.02016747261937493,-0.23875239523470662,0.15956382355806584,1.115895502054897,-0.08938313050776325,0.08439716312056733,-0.17378029362833058,False,-0.3982375157364666,-0.17517730496453898,-0.22306021077192761,False,-0.11833822912295411,-0.1574468085106382,0.039108579387684084,True,-0.22306021077192761,2020-06-22,23.32,23.83,2365349.56,86044.0,1.0,-0.13252173913043475,0.16162086632510486,0.30760671153134017,0.35997764114030195,0.9230769230769231,0.3333333333333333,0.9230769230769231,0.9230769230769231,0.7307692307692307,0.8846153846153846,0.4074074074074074,0.8148148148148148,0.8888888888888888,0.8846153846153846,0.7929487179487179,2019-02-05,2019-01-08,3
2019-01-08,5.11,579195,14.1,GBCO,0.007889546351084853,0.005706134094151327,0.0021834122569335257,0.3624113475177305,-0.0550506942363399,0.36228609150459556,0.8385101206191439,0.15110730686666107,0.3405805785221526,0.25554904564167424,0.06409869021394576,0.41816748564929673,0.33274056127647555,-0.0561762957432983,-0.0561762957432983,-0.0561762957432983,7.4096724220804004,0.41716255857730933,0.1511321928690303,0.014308883096688482,0.017461640969989527,0.5997060011567948,0.3289819984372916,0.004956848539230615,-0.06675358617155872,0.32255218816473236,0.7178890274152655,-0.2798434442270059,0.08439716312056733,-0.36424060734757324,False,-0.6438356164383562,-0.17517730496453898,-0.4686583114738172,False,-0.20156555772994134,-0.1574468085106382,-0.044118749219303144,False,-0.4686583114738172,2020-06-22,5.07,5.11,1555582.6800000002,308635.0,1.0,-0.1336898395721925,0.21500000000000008,0.3644943567613968,0.31610044313146235,0.8461538461538461,0.6666666666666666,0.8461538461538461,0.8076923076923077,0.8846153846153846,0.8076923076923077,0.25925925925925924,0.9259259259259259,0.4074074074074074,0.5,0.7197293447293447,2019-02-05,2019-01-08,4
2019-01-08,12.5,1358412,14.1,EAST,-0.002394253790901746,0.005706134094151327,-0.008100387885053073,0.8865248226950355,0.015424023519990504,-0.03705062362435796,0.8240147637900881,0.970055161544523,0.9758366078495687,0.6633736998113368,-0.09152329850726526,0.33638825739875267,0.4710209466053543,-0.10105336931734976,-0.29195323707249055,-0.29195323707249055,-0.8370984283306532,0.4733962705645375,-0.017539627045861404,0.006898139425282025,0.020603738218498265,0.3105130211812056,0.20905796027396392,-0.004977419276005906,0.004626833334290471,-0.05263502234250822,0.7442724128020665,-0.043199999999999905,0.08439716312056733,-0.12759716312056724,False,-0.23120000000000007,-0.17517730496453898,-0.05602269503546109,False,-0.1976,-0.1574468085106382,-0.040153191489361806,False,-0.05602269503546109,2020-06-22,12.53,12.5,12454546.0,1054065.0,1.0,-0.25660160734787607,-0.07894736842105277,0.3172192603063166,0.4617202268431002,0.8076923076923077,0.37037037037037035,0.8076923076923077,0.8846153846153846,0.5,0.8461538461538461,0.7407407407407407,0.37037037037037035,0.8148148148148148,0.7692307692307693,0.7051044634377966,2019-02-05,2019-01-08,5
2019-01-08,11.12,114370,14.1,JUFO,-0.011555555555555652,0.030701754385964897,-0.04225730994152055,0.7886524822695035,0.12437608303410319,0.09911748660184183,0.43371877890841803,-0.11023822513184223,0.7136855494148345,0.5969441898034807,0.10504196549325662,0.32114944033400294,0.1955649482907038,-0.050630240009209015,-0.050630240009209015,-0.050630240009209015,2.8189044402111025,0.6442738135311783,0.06385880108059411,0.0026069322914510948,0.01415625806743093,0.6402468573445911,0.3627413459989957,-0.03512538914614398,0.07275054333623622,0.14124334211125178,0.5190402557363467,-0.24640287769784164,0.08439716312056733,-0.33080004081840897,False,-0.3264388489208633,-0.17375886524822692,-0.15267998367263635,False,-0.5242805755395683,-0.20638297872340428,-0.31789759681616403,False,-0.15267998367263635,2020-06-29,11.24,11.12,5460524.0,574792.0,1.0,-0.08166666666666667,0.02607076350093096,0.33720413715843256,0.3840579710144928,0.6923076923076923,0.7407407407407407,0.7692307692307693,0.6538461538461539,0.6923076923076923,0.6538461538461539,0.5185185185185185,0.7407407407407407,0.5555555555555556,0.34615384615384615,0.6507359924026592,2019-02-05,2019-01-08,6
2019-01-08,1.67,175024,14.1,VLMR,0.0,0.005706134094151327,-0.005706134094151327,0.11843971631205674,0.008098964702046185,0.446066303809995,0.5679162445119892,0.32684493003641935,0.10633215701438706,0.08252785984561697,0.11386545366545597,0.435148282454183,0.2884395307633114,-0.04635607728050872,-0.04635607728050872,-0.04635607728050872,5.1358875400728845,0.5593072479384882,0.24948811678206187,0.02533801965604318,0.02823848202862648,0.24146883944643427,0.10519297559795636,-0.0012987951140562295,0.1701047596583428,0.5097072185437281,0.7126655282127706,0.2694610778443114,0.08439716312056733,0.18506391472374406,True,0.0239520958083832,-0.17517730496453898,0.19912940077292218,True,0.07185628742514982,-0.1574468085106382,0.22930309593578801,True,0.19912940077292218,2020-06-22,1.67,1.67,280315.89999999997,168865.0,1.0,-0.0625,0.2790697674418603,1.298394895599057,0.4308510638297872,0.7692307692307693,0.7777777777777778,0.8846153846153846,0.7307692307692307,0.9230769230769231,0.7692307692307693,0.14814814814814814,0.5185185185185185,0.07407407407407407,0.9615384615384616,0.6432336182336184,2019-02-05,2019-01-08,7
2019-01-08,25.35,869066,14.1,EGAL,0.05713094245204342,0.005706134094151327,0.05142480835789209,1.7978723404255321,0.17868478803462295,-0.3332590213868112,1.3620440011261716,2.1742096405818008,2.0522527244744855,1.4095019615995457,-0.12395178284589281,0.2755373099199181,0.4560126770916493,-0.001657095150150445,-0.38828063595372364,-0.48454352566747205,-7.154691513658908,0.9871177460248959,-0.3289658940338116,0.012763932553417033,0.037394964149057935,0.30613718103797416,0.08638657704606102,0.05480583074046301,0.14207917782772245,-0.43717583232629353,1.2896367691358201,-0.47731755424063116,0.08439716312056733,-0.5617147173611985,False,-0.6516765285996056,-0.17517730496453898,-0.4764992236350666,False,-0.4978303747534517,-0.1574468085106382,-0.3403835662428135,False,-0.4764992236350666,2020-06-22,23.98,25.35,4223840.4,186368.0,1.0,-0.37675959149875793,-0.4609692050608738,0.33527707421505426,0.5745580322828594,0.8846153846153846,0.25925925925925924,0.7307692307692307,0.8461538461538461,0.15384615384615385,0.9230769230769231,0.4444444444444444,0.18518518518518517,0.6296296296296297,0.8076923076923077,0.6175688509021843,2019-02-05,2019-01-08,8
2019-01-08,10.47,3039385,14.1,TMGH,0.01650485436893212,0.005706134094151327,0.010798720274780793,0.7425531914893617,0.008918602381417173,0.22207029947308743,0.12190101757631844,-0.05441383142138123,0.6926083726422475,0.6519121933198321,0.07211119706303659,0.1390386605716709,0.062425860015245416,-0.016691857535945487,-0.016691857535945487,-0.016691857535945487,6.339214872239216,0.3131719262936608,0.06954618345859692,0.00788816721004242,0.011283559704227616,0.7351703653108123,0.48916462935417293,0.012517318298420375,0.005848749379962975,0.1999976072580563,0.1749592314563354,-0.05062082139446045,0.08439716312056733,-0.13501798451502778,False,-0.48328557784145176,-0.17517730496453898,-0.3081082728769128,False,-0.3791786055396371,-0.1574468085106382,-0.22173179702899892,False,-0.3081082728769128,2020-06-22,10.3,10.47,9864140.0,999593.0,1.0,-0.22098976109215018,-0.05681818181818166,0.3036333735719846,0.363314447592068,0.5,0.7037037037037037,0.5769230769230769,0.5384615384615384,0.8076923076923077,0.46153846153846156,0.6666666666666666,0.7777777777777778,0.9259259259259259,0.11538461538461539,0.6160018993352325,2019-02-05,2019-01-08,9
2019-01-08,5.9,5229455,14.1,EGCH,0.03327495621716303,0.005706134094151327,0.027568822123011705,0.4184397163120568,0.5728660402491272,0.036230429546366905,0.18458494027242156,0.07636379856371844,0.3349655961436128,0.33175738052367537,0.24920207068864286,0.26128231315172035,0.009670366985877754,0.014938886373925042,-0.04564255729695876,-0.06598277608915892,0.6535866190060453,1.234327776984727,0.04472022556116883,0.00909111234890534,0.019506498067477226,0.5097302066080242,0.23226039123866793,0.02945698016591573,0.4744818426054832,0.09977643841359923,0.37754070261657946,-0.20677966101694922,0.08439716312056733,-0.29117682413751655,False,-0.4152542372881356,-0.17517730496453898,-0.24007693232359661,False,-0.452542372881356,-0.1574468085106382,-0.2950955643707178,False,-0.24007693232359661,2020-06-22,5.71,5.9,9935361.959999999,2020836.0,1.0,-0.003868471953578201,-0.19656786271450855,0.41523650257781236,0.4544159544159544,0.5769230769230769,0.9259259259259259,0.6923076923076923,0.46153846153846156,0.6538461538461539,0.6153846153846154,0.7037037037037037,0.4074074074074074,0.25925925925925924,0.6153846153846154,0.5776115859449192,2019-02-05,2019-01-08,10
