date,symbol,holding_name,shares,close,value,weight,rank,score
2019-02-05,ABUK,Abou Kir Fertilizers,531.0,23.26,12351.060000000001,0.11091169451268404,3.0,0.7929487179487179
2019-02-05,CCAP,QALA For Financial Investments,3758.0,3.82,14355.56,0.128911970735994,1.0,0.9051994301994302
2019-02-05,EAST,Eastern Company,901.0,12.35,11127.35,0.09992286038086728,5.0,0.7051044634377966
2019-02-05,EGAL,Egypt Aluminum,403.0,23.97,9659.91,0.08674534711514814,8.0,0.6175688509021843
2019-02-05,EGCH,Egyptian Chemical Industries (KIMA),1497.0,6.06,9071.82,0.08146433816320682,10.0,0.5776115859449192
2019-02-05,GBCO,GB Corp,2211.0,5.41,11961.51,0.10741356151054364,4.0,0.7197293447293447
2019-02-05,JUFO,Juhayna Food Industries,847.0,11.99,10155.53,0.09119598163836934,6.0,0.6507359924026592
2019-02-05,ORHD,Orascom Development Egypt,1668.0,7.44,12409.92,0.11144025338447451,2.0,0.7973884140550808
2019-02-05,TMGH,T M G Holding,868.0,11.73,10181.640000000001,0.09143044769583536,9.0,0.6160018993352325
2019-02-05,VLMR,Egyptian Kuwaiti Holding,5149.0,1.95,10040.55,0.09016346891192574,7.0,0.6432336182336184
2019-04-17,ABUK,Abou Kir Fertilizers,686.0,26.76,18357.36,0.15470267113842429,4.0,0.732383665716999
2019-04-17,CCAP,QALA For Financial Investments,5196.0,3.64,18913.440000000002,0.1593889147685898,1.0,0.9325973409306744
2019-04-17,EAST,Eastern Company,279.0,13.75,3836.25,0.03232916509535032,7.0,0.6745251661918329
2019-04-17,EGAL,Egypt Aluminum,183.0,17.59,3218.97,0.027127171734631424,9.0,0.5807217473884141
2019-04-17,EGCH,Egyptian Chemical Industries (KIMA),1497.0,5.01,7499.969999999999,0.06320437102383174,12.0,0.5338556505223172
2019-04-17,GBCO,GB Corp,2211.0,4.58,10126.380000000001,0.0853378718379286,6.0,0.6810303893637227
2019-04-17,JUFO,Juhayna Food Industries,1176.0,12.9,15170.4,0.1278452567383519,3.0,0.7510683760683761
2019-04-17,ORHD,Orascom Development Egypt,2327.0,6.99,16265.730000000001,0.13707591282278073,2.0,0.8115622032288698
2019-04-17,TMGH,T M G Holding,868.0,11.7,10155.599999999999,0.08558411705241828,8.0,0.6372981956315289
2019-04-17,VLMR,Egyptian Kuwaiti Holding,7012.0,2.15,15075.8,0.12704803574962067,5.0,0.6960113960113959
2019-05-21,ABUK,Abou Kir Fertilizers,861.0,24.55,21137.55,0.18211380174987024,5.0,0.7253561253561254
2019-05-21,CCAP,QALA For Financial Investments,6839.0,3.34,22842.26,0.1968009920335607,1.0,0.9264245014245015
2019-05-21,EAST,Eastern Company,368.0,11.95,4397.599999999999,0.03788819681444771,4.0,0.7427113010446343
2019-05-21,GBCO,GB Corp,947.0,4.0,3788.0,0.03263609458184645,8.0,0.6287037037037038
2019-05-21,JUFO,Juhayna Food Industries,1554.0,11.5,17871.0,0.1539703395649889,3.0,0.7469610636277305
2019-05-21,ORHD,Orascom Development Egypt,3137.0,6.04,18947.48,0.16324491799568214,2.0,0.8239078822412156
2019-05-21,RAYA,Raya Holding For Financial Investments,11915.0,0.24,2859.6,0.024637322087182712,9.0,0.5517094017094017
2019-05-21,TMGH,T M G Holding,868.0,10.5,9114.0,0.07852306389095791,7.0,0.668281101614435
2019-05-21,VLMR,Egyptian Kuwaiti Holding,7012.0,2.15,15075.8,0.12988786554831064,6.0,0.722079772079772
2019-07-09,ABUK,Abou Kir Fertilizers,974.0,23.75,23132.5,0.17924667791520985,3.0,0.7426400759734092
2019-07-09,ADIB,Abu Dhabi Islamic Bank- Egypt,239.0,7.99,1909.6100000000001,0.014796984701768675,10.0,0.5257122507122507
2019-07-09,CCAP,QALA For Financial Investments,7652.0,3.92,29995.84,0.2324286035351202,1.0,0.8911680911680911
2019-07-09,EAST,Eastern Company,223.0,11.74,2618.02,0.020286237445826333,4.0,0.731054131054131
2019-07-09,GBCO,GB Corp,555.0,4.19,2325.4500000000003,0.01801920186568355,8.0,0.6345441595441597
2019-07-09,JUFO,Juhayna Food Industries,1554.0,10.0,15540.0,0.12041471413821943,6.0,0.7127967711301045
2019-07-09,ORHD,Orascom Development Egypt,3559.0,6.81,24236.789999999997,0.18780348387889673,2.0,0.7742402659069326
2019-07-09,RAYA,Raya Holding For Financial Investments,11915.0,0.24,2859.6,0.022158167088137212,9.0,0.5316239316239317
2019-07-09,TMGH,T M G Holding,868.0,10.69,9278.92,0.07189951733020637,7.0,0.6893637226970561
2019-07-09,VLMR,Egyptian Kuwaiti Holding,8359.0,2.05,17135.949999999997,0.1327812432906577,5.0,0.7284900284900285
2019-08-21,ABUK,Abou Kir Fertilizers,332.0,22.43,7446.76,0.057333834147489784,4.0,0.7189444444444444
2019-08-21,ADIB,Abu Dhabi Islamic Bank- Egypt,610.0,8.17,4983.7,0.038370328739054944,9.0,0.4950555555555556
