date,holdings,cash,turnover_value,turnover_pct,fees
2019-02-05,10,44.55221874000381,109686.07563,0.9849736389078927,269.37215126
2019-04-17,10,42.30450437001036,49148.15772999999,0.4141854429157348,133.29631546000002
2019-05-21,9,34.51923190001344,50127.093735,0.43187765898852765,135.25418747
2019-07-09,10,21.315694930015297,26494.405985,0.2052970606786168,87.98881197
2019-08-21,9,1113.8842816300312,101653.42664999998,0.7826465072159056,243.3068533
2019-09-02,9,2296.5057610800386,61662.56319,0.4313547664116513,163.32512638000003
2019-10-24,8,3128.2662775000413,39633.95698,0.2817208176629895,114.26791396
2019-11-03,7,12165.399883100039,56317.108205,0.36257022340471345,147.63421641
2019-12-03,7,3546.9587011100366,42510.260485000006,0.2824972205788879,115.02052097
2020-01-02,7,2441.718961660035,26820.784994999998,0.15802031649964732,83.64156999
2020-02-05,8,11996.26790337004,100471.03054,0.5912778484162712,235.94206108000003
2020-03-03,6,9316.86795313004,51752.45171,0.33614210803036415,123.50490342
2020-04-02,6,8122.685434060043,62797.83021,0.5205502388255943,150.59566042
2020-05-07,7,4440.577178170046,18453.719985,0.1342689888206258,66.90743997
2020-06-04,4,29037.815529640044,52021.6179,0.33791603503022904,124.04323580000002
2020-07-06,5,23734.985554880055,64272.42108000001,0.38473710666096034,153.54484216000003
2020-09-03,4,38978.582657190076,175867.92392,0.9905794498540593,371.73584784
2020-10-04,4,19388.078900960092,86953.217195,0.4971801735510327,188.90643439000002
2020-11-16,5,28117.547469470097,84316.983225,0.4448912388844343,193.63396645
2020-12-16,6,23397.975680800115,78420.24286500001,0.4114076589783824,181.84048573
2021-01-04,4,42926.49192789013,140094.69288000002,0.6886712170452318,300.18938576000005
2021-02-02,6,18689.52523068014,207081.04431000003,0.9351218845811988,439.16208861999996
2021-03-01,10,1145.516815460136,66922.63953,0.2887357233087705,173.84527906000002
2021-04-01,11,94.4267700101368,19185.22455,0.0824312540259241,68.3704491
2021-05-05,10,6904.9838737001355,107206.45216999999,0.45396940562194,244.41290433999998
2021-06-01,11,27.71867538015067,114742.75238,0.4640936592257785,259.48550476
2021-07-04,12,21.747064960154603,46219.94937,0.16886727735757787,117.43989874
2021-08-01,10,26.900663360149338,149299.5208,0.49112808791347723,318.5990416
2021-09-01,10,24.597205960149495,9962.3787,0.030627982223581988,39.9247574
2021-10-03,10,6490.5830779701555,78409.98149500001,0.25300355307378464,191.81996299000002
2021-11-01,10,43.64045981018535,211101.274005,0.6884868848391364,462.20254801
2021-12-01,10,52.45296019021771,278620.451075,0.9055915896876375,592.24090215
2022-01-02,10,43.32256517024325,271645.08751,0.8187086352067687,578.29017502
2022-02-01,10,4357.78156612024,92596.942025,0.2793581019345964,215.19388405
2022-03-01,8,13292.041982950248,174743.44793500003,0.49091189527793916,384.48689587
2022-04-03,8,24275.44082540027,262444.85185,0.7522360256242331,554.8897036999999
2022-05-08,8,20745.475816670285,200348.35443,0.5840040428891932,425.69670886
2022-06-01,10,29548.292628290317,304898.23781,0.9387160363638402,654.7964756200001
2022-07-03,10,18915.97856033031,172276.90798000002,0.5835233159652238,389.55381596000007
2022-08-01,10,16753.41224573033,250352.91463,0.7897145719160072,540.70582926
2022-09-01,10,36.191324680323305,309784.78411,0.9098357871463506,654.56956822
2022-10-02,11,4883.933051620329,75676.07967,0.21953146575733157,181.35215934000001
2022-11-01,9,4409.394203530319,341782.01350500004,0.9220021211193548,718.56402701
2022-12-01,7,51.107207560336974,214569.82739999998,0.4715440377953677,449.1396548
2023-01-02,6,29.18759344033242,111111.46238499999,0.21790454582669805,242.22292476999996
2023-02-01,9,4588.575497070347,213697.325685,0.3914255869727427,462.39465137
2023-03-01,8,18902.953903060377,540122.45483,0.9633368642386568,1105.24490966
2023-04-02,5,49401.560083740405,250009.58045,0.45140661381078157,520.0191609000001
2023-05-01,7,94.29977425039965,9894.024539999999,0.016329558361119795,39.78804908
2023-06-01,8,4056.1862255704327,299738.316535,0.5045702351676197,629.4766330699999
2023-07-04,11,126.97812626044106,297968.257005,0.4865243588883092,625.9365140099999
2023-08-01,12,29.7342843104434,172034.48648999998,0.2768430463217299,374.06897298
2023-09-03,10,69.45650114049204,370844.01408500003,0.5838240427921172,766.6880281699999
2023-10-01,7,195.98613565054984,657177.02728,0.9565952040570519,1339.35405456
2023-11-01,8,235.1534545305508,9770.492805,0.011833352177476268,49.540985609999986
2023-12-03,6,27415.44791252056,312925.86827,0.36178273112168674,650.85173654
2024-01-02,8,171.04916085056607,9857.246159999999,0.010587480699848911,49.71449232
2024-02-01,5,184544.59410986057,926119.75371,0.8782271933553772,1877.23950742
2024-03-03,8,265.8581214507576,1120088.227065,0.9003798731082122,2275.17645413
2024-04-01,5,27980.163404360806,553237.930075,0.5161485370644385,1126.47586015
2024-05-01,5,64314.2640493308,686525.7874,0.7169227723526143,1393.0515748
2024-06-02,6,35343.972077950806,161483.59419000003,0.1657034033433545,337.96718838000004
2024-07-01,6,204.6784330708615,1162527.4751499998,1.0199333579873515,2350.0549502999997
2024-08-01,9,20375.458945420894,458496.03104499995,0.3905748102664359,956.99206209
2024-09-01,10,3175.707060780902,75785.15624,0.05885877799720812,181.57031247999998
2024-10-01,10,148.4863946309024,65334.398774999994,0.04913350882143502,155.66879755000002
2024-11-03,11,89.26769860091736,529190.3125199999,0.42385496312767523,1093.3806250399998
2024-12-01,10,51.73907167099969,576214.6431400001,0.46125008850796984,1182.4292862800003
2025-01-02,10,92.19170747102544,246139.87709999998,0.18165676319695187,522.2797542000001
2025-02-02,12,44.59867634104194,138563.52674499998,0.09356040126886311,307.12705349
2025-03-02,11,30634.2699429011,338753.34672000003,0.22182561544387788,707.5066934399999
2025-04-03,10,42.07908665110699,77914.500305,0.04668716773537614,175.82900061
2025-05-04,10,54.83009464108909,518096.463505,0.3008777469714727,1061.19292701
2025-06-01,10,33.67961844108913,9981.1881,0.0056255642907262786,39.9623762
2025-07-01,10,13074.068303281121,1619779.8125800001,0.9262105823533945,3284.559625160001
2025-08-03,11,156.4753033911402,324078.103045,0.1661715804240072,678.15620609
2025-09-01,10,347.99916569125344,1062222.75967,0.5490883713613559,2164.445519340001
2025-10-01,10,215.4738292813563,1840197.5161849998,0.9569247318559144,3715.39503237
2025-11-02,9,318.3491154413605,211200.27967999998,0.10331881549586239,447.40055936
2025-12-01,7,536.9004273214014,535137.2966,0.23005427901000997,1095.2745932
2026-01-04,6,144640.0936742314,1125056.1257099998,0.45834076243938315,2270.1122514199997
2026-02-01,3,613907.6995260816,1493440.4071550001,0.5794498346903963,2996.88081431
2026-03-01,5,246799.56657353172,667515.9500800001,0.2435931366482708,1350.03190016
2026-04-01,4,374775.1993454119,2086257.7412049999,0.8275711521800964,4187.51548241
