date,symbol,shares,close,market_value,entry_date,bars_held
2025-08-27,ORAS,4465.0,388.0,1732420.0,2025-07-27,23
2025-08-27,EGCH,153363.0,10.87,1667055.8099999998,2025-08-06,15
2025-08-27,COMI,17043.0,97.99,1670043.5699999998,2025-08-06,15
2025-08-28,EGCH,153363.0,11.2,1717665.5999999999,2025-08-06,16
2025-08-28,COMI,17043.0,97.13,1655386.5899999999,2025-08-06,16
2025-08-31,EGCH,153363.0,11.01,1688526.63,2025-08-06,17
2025-08-31,COMI,17043.0,96.51,1644819.9300000002,2025-08-06,17
2025-09-01,EGCH,153363.0,11.05,1694661.1500000001,2025-08-06,18
2025-09-01,COMI,17043.0,95.01,1619255.4300000002,2025-08-06,18
2025-09-02,EGCH,153363.0,11.06,1696194.78,2025-08-06,19
2025-09-02,COMI,17043.0,96.0,1636128.0,2025-08-06,19
2025-09-03,EGCH,153363.0,11.0,1686993.0,2025-08-06,20
2025-09-03,COMI,17043.0,96.0,1636128.0,2025-08-06,20
2025-09-07,EGCH,153363.0,11.24,1723800.12,2025-08-06,21
2025-09-07,COMI,17043.0,94.1,1603746.2999999998,2025-08-06,21
2025-09-08,EGCH,153363.0,11.21,1719199.2300000002,2025-08-06,22
2025-09-08,COMI,17043.0,95.88,1634082.8399999999,2025-08-06,22
2025-09-09,EGCH,153363.0,11.2,1717665.5999999999,2025-08-06,23
2025-09-09,COMI,17043.0,94.0,1602042.0,2025-08-06,23
2025-10-13,EFID,72315.0,22.76,1645889.4000000001,2025-10-13,0
2025-10-14,EFID,72315.0,22.2,1605393.0,2025-10-13,1
2025-10-15,EFID,72315.0,22.0,1590930.0,2025-10-13,2
2025-10-16,EFID,72315.0,22.0,1590930.0,2025-10-13,3
2025-10-19,EFID,72315.0,22.0,1590930.0,2025-10-13,3
2025-10-20,EFID,72315.0,23.3,1684939.5,2025-10-13,3
2025-10-21,EFID,72315.0,23.4,1692171.0,2025-10-13,4
2025-10-22,EFID,72315.0,23.53,1701571.9500000002,2025-10-13,5
2025-10-23,EFID,72315.0,23.53,1701571.9500000002,2025-10-13,6
2025-10-26,EFID,72315.0,23.91,1729051.65,2025-10-13,6
2025-10-27,EFID,72315.0,24.39,1763762.85,2025-10-13,7
2025-10-28,EFID,72315.0,23.59,1705910.85,2025-10-13,8
2025-10-29,EFID,72315.0,24.0,1735560.0,2025-10-13,9
2025-10-30,EFID,72315.0,23.69,1713142.35,2025-10-13,10
2025-11-02,EFID,72315.0,23.46,1696509.9000000001,2025-10-13,11
2025-11-03,EFID,72315.0,23.0,1663245.0,2025-10-13,12
2025-11-03,EFIH,116145.0,14.76,1714300.2,2025-11-03,0
2025-11-04,EFID,72315.0,23.15,1674092.25,2025-10-13,13
2025-11-04,EFIH,116145.0,14.81,1720107.45,2025-11-03,1
2025-11-05,EFID,72315.0,22.95,1659629.25,2025-10-13,14
2025-11-05,EFIH,116145.0,14.5,1684102.5,2025-11-03,2
2025-11-05,ETEL,31696.0,53.8,1705244.7999999998,2025-11-05,0
2025-11-06,EFID,72315.0,23.04,1666137.5999999999,2025-10-13,15
2025-11-06,EFIH,116145.0,14.75,1713138.75,2025-11-03,3
2025-11-06,ETEL,31696.0,52.86,1675450.56,2025-11-05,1
2025-11-09,EFID,72315.0,23.0,1663245.0,2025-10-13,16
2025-11-09,EFIH,116145.0,15.4,1788633.0,2025-11-03,4
2025-11-09,ETEL,31696.0,52.48,1663406.0799999998,2025-11-05,2
2025-11-10,EFID,72315.0,22.79,1648058.8499999999,2025-10-13,17
2025-11-10,EFIH,116145.0,15.5,1800247.5,2025-11-03,5
2025-11-10,ETEL,31696.0,52.49,1663723.04,2025-11-05,3
2025-11-11,EFID,72315.0,23.0,1663245.0,2025-10-13,18
2025-11-11,EFIH,116145.0,15.42,1790955.9,2025-11-03,6
2025-11-11,ETEL,31696.0,53.43,1693517.28,2025-11-05,4
2025-11-12,EFID,72315.0,23.99,1734836.8499999999,2025-10-13,19
2025-11-12,EFIH,116145.0,15.58,1809539.1,2025-11-03,7
2025-11-12,ETEL,31696.0,52.64,1668477.44,2025-11-05,5
2025-11-13,EFID,72315.0,23.95,1731944.25,2025-10-13,20
2025-11-13,EFIH,116145.0,16.11,1871095.95,2025-11-03,8
2025-11-13,ETEL,31696.0,56.0,1774976.0,2025-11-05,6
2025-11-16,EFID,72315.0,24.0,1735560.0,2025-10-13,21
2025-11-16,EFIH,116145.0,16.59,1926845.55,2025-11-03,9
2025-11-16,ETEL,31696.0,62.68,1986705.28,2025-11-05,7
2025-11-17,EFID,72315.0,23.5,1699402.5,2025-10-13,22
2025-11-17,EFIH,117948.0,16.26,1917834.4800000002,2025-11-17,0
2025-11-17,ETEL,31218.0,61.1,1907419.8,2025-11-17,0
2025-11-18,EFIH,117948.0,16.3,1922552.4000000001,2025-11-17,1
2025-11-18,ETEL,31218.0,60.66,1893683.88,2025-11-17,1
2025-11-19,EFIH,117948.0,16.68,1967372.64,2025-11-17,2
2025-11-19,ETEL,31218.0,60.0,1873080.0,2025-11-17,2
2025-11-20,EFIH,117948.0,16.29,1921372.92,2025-11-17,3
2025-11-20,ETEL,31218.0,62.9,1963612.2,2025-11-17,3
2025-11-23,EFIH,117948.0,16.05,1893065.4000000001,2025-11-17,4
2025-11-23,ETEL,31218.0,65.27,2037598.8599999999,2025-11-17,4
2025-11-23,MCQE,11719.0,148.27,1737576.1300000001,2025-11-23,0
2025-11-24,EFIH,117948.0,15.8,1863578.4000000001,2025-11-17,5
2025-11-24,ETEL,31218.0,65.8,2054144.4,2025-11-17,5
2025-11-24,MCQE,11719.0,148.0,1734412.0,2025-11-23,1
2025-11-25,EFIH,117948.0,15.8,1863578.4000000001,2025-11-17,6
2025-11-25,ETEL,31218.0,65.8,2054144.4,2025-11-17,6
2025-11-25,MCQE,11719.0,148.0,1734412.0,2025-11-23,2
2025-11-26,EFIH,117948.0,15.1,1781014.8,2025-11-17,6
2025-11-26,ETEL,31218.0,63.99,1997639.82,2025-11-17,6
2025-11-26,MCQE,11719.0,135.26,1585111.94,2025-11-23,2
2025-11-27,ETEL,31218.0,63.5,1982343.0,2025-11-17,7
2025-11-27,MCQE,11719.0,140.59,1647574.21,2025-11-23,3
2025-11-30,ETEL,31218.0,65.0,2029170.0,2025-11-17,8
2025-11-30,MCQE,11719.0,137.8,1614878.2000000002,2025-11-23,4
2025-12-01,ETEL,31218.0,63.62,1986089.16,2025-11-17,9
2025-12-01,MCQE,11719.0,136.21,1596244.99,2025-11-23,5
2025-12-01,CCAP,485381.0,4.08,1980354.48,2025-12-01,0
2025-12-02,ETEL,31218.0,63.62,1986089.16,2025-11-17,10
2025-12-02,MCQE,11719.0,136.21,1596244.99,2025-11-23,6
2025-12-02,CCAP,485381.0,4.08,1980354.48,2025-12-01,1
2025-12-03,ETEL,31218.0,61.95,1933955.1,2025-11-17,10
2025-12-03,MCQE,11719.0,137.15,1607260.85,2025-11-23,6
2025-12-03,CCAP,485381.0,3.85,1868716.85,2025-12-01,1
2025-12-04,ETEL,31218.0,61.95,1933955.1,2025-11-17,11
2025-12-04,MCQE,11719.0,137.15,1607260.85,2025-11-23,7
2025-12-04,CCAP,485381.0,3.85,1868716.85,2025-12-01,2
2025-12-07,ETEL,31218.0,62.01,1935828.18,2025-11-17,11
2025-12-07,MCQE,11719.0,132.24,1549720.56,2025-11-23,7
2025-12-07,CCAP,485381.0,3.9,1892985.9,2025-12-01,2
2025-12-08,ETEL,31218.0,62.01,1935828.18,2025-11-17,12
2025-12-08,MCQE,11719.0,132.24,1549720.56,2025-11-23,8
2025-12-08,CCAP,485381.0,3.9,1892985.9,2025-12-01,3
2025-12-09,ETEL,31218.0,64.01,1998264.1800000002,2025-11-17,12
2025-12-09,MCQE,11719.0,134.5,1576205.5,2025-11-23,8
2025-12-09,CCAP,485381.0,3.91,1897839.71,2025-12-01,3
2025-12-10,ETEL,31218.0,63.65,1987025.7,2025-11-17,13
2025-12-10,MCQE,11719.0,132.32,1550658.0799999998,2025-11-23,9
2025-12-10,CCAP,485381.0,3.98,1931816.38,2025-12-01,4
2025-12-11,ETEL,31218.0,64.65,2018243.7000000002,2025-11-17,14
2025-12-11,MCQE,11719.0,131.68,1543157.9200000002,2025-11-23,10
2025-12-11,CCAP,485381.0,3.95,1917254.9500000002,2025-12-01,5
2025-12-14,ETEL,31218.0,66.0,2060388.0,2025-11-17,15
2025-12-14,MCQE,11719.0,130.79,1532728.01,2025-11-23,11
2025-12-14,CCAP,485381.0,3.87,1878424.47,2025-12-01,6
2025-12-15,ETEL,31218.0,66.15,2065070.7000000002,2025-11-17,16
2025-12-15,MCQE,11719.0,126.9,1487141.1,2025-11-23,12
2025-12-15,CCAP,485381.0,3.92,1902693.52,2025-12-01,7
2025-12-16,ETEL,31218.0,64.01,1998264.1800000002,2025-11-17,17
2025-12-16,CCAP,485381.0,3.88,1883278.28,2025-12-01,8
