year,strategy_twr,strategy_cagr_ann,strategy_max_drawdown,strategy_sharpe,etf_dca_twr,excess_vs_etf_dca,year_end_strategy_equity,year_end_etf_dca_equity,closed_trades,win_rate,pnl_egp,avg_return_pct,median_return_pct,avg_hold_days
2015,-0.06398873636221203,-0.09551244508876344,0.08646664439042206,-1.6171834441394373,-0.274054058169825,0.21006532180761295,205991.13999999996,173258.29,12,0.3333333333333333,-9297.860000000066,-0.011360746523393361,-0.00016749194913561366,13.916666666666666
2016,1.0072661701555221,2.38500012526277,0.07375075603486048,4.023858638945607,0.7585227351967467,0.24874343495877538,588614.0099999998,500489.44,29,0.5172413793103449,207951.2200000001,0.06619085147025291,0.05287854417944079,21.620689655172413
2017,1.0329787864125484,7.4023069068098,0.11518562084410544,3.1635688484708866,0.1934113246950806,0.8395674617174678,1373250.17,732838.3,23,0.391304347826087,638357.68,0.10297066623668609,-0.004337597631251606,35.04347826086956
2018,-0.10422492849204024,-0.37015210288636224,0.2657559106450721,-0.9161799777025414,-0.13119259254635307,0.026967664054312834,1358583.1,739485.14,20,0.3,-58427.93999999971,-0.004372249685228523,-0.02705005462835893,34.9
2019,-0.1857767446866867,-0.8017993473327184,0.2531703359763344,-3.2846957351734565,0.052304639412089404,-0.2380813840987761,1196197.1499999997,896327.59,12,0.25,-262385.95000000007,-0.04930394082457281,-0.03714828136817869,54.416666666666664
2020,0.0005034333653877177,0.002152028987421284,0.18799673642907078,0.169459329145985,-0.22008466800091653,0.22058810136630425,1302748.4799999995,805448.3899999999,16,0.25,-3448.6699999998673,0.003931860784882469,-0.03642470536468824,16.0625
2021,0.5578848746209826,0.7786785961497111,0.15807314654088422,2.2422938248384527,0.09008656662822667,0.4677983079927559,2145141.2299999995,1017836.71,37,0.35135135135135137,687941.17,0.03880356454709047,-0.019290089979086395,19.10810810810811
2022,-0.08846952707540667,-0.0961132346123601,0.2747110155261,-0.41966490440063986,0.24618019378187217,-0.33464972085727884,2080594.2399999993,1437463.08,41,0.17073170731707318,-178802.5699999996,-0.005073169693200902,-0.03122847492173297,12.78048780487805
2023,-0.12177627473737551,-0.12696606062148696,0.3213889526389,-0.37701113987784046,0.7089534718906654,-0.8307297466280409,1939785.7099999995,2624441.5400000005,48,0.20833333333333334,-267571.6800000005,-0.006211447090400867,-0.04346876023631092,14.666666666666666
2024,0.4844454023291753,0.5114540943305628,0.24866002503405904,1.693383129964786,0.20515126348425694,0.2792941388449184,3033366.56,3313810.51,45,0.37777777777777777,862056.6000000007,0.02863000870673286,-0.027723659368001877,14.28888888888889
2025,1.4100749110846378,1.4992915896611656,0.06542709696436433,3.847136773614128,0.42724240091439203,0.9828325101702458,7575054.370000003,4919151.779999999,45,0.4666666666666667,4176182.97,0.06358392589720847,-0.006414410927516775,17.622222222222224
2026,0.13723744771685387,0.7162274279076777,0.05708684879254611,2.414269680276911,0.13257323794117748,0.004664209775676387,8558796.970000003,5550357.28,9,0.4444444444444444,1327450.8000000003,0.060604002992021226,-0.00859438835591913,28.444444444444443
