family,number,value,holdout_excess_vs_etf_dca,holdout_max_drawdown,closed_trades,params
rebound,10,0.3373789327618797,0.3373789327618797,0.0835877404387505,225.0,"{""atr_len"": 15, ""bb_len"": 40, ""bb_std"": 1.8396242334838944, ""cci_len"": 28, ""cci_reclaim"": -119.27679155093625, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 47, ""max_positions"": 3, ""rsi_entry"": 43.526167685415004, ""rsi_len"": 5, ""rsi_reclaim"": 54.43031979519723, ""scan_mode"": ""monthly"", ""stop_atr"": 1.3645944157642416, ""target_atr"": 4.590840578005052, ""top_n"": 4, ""trail_atr"": 4.770551620524956, ""trend_len"": 92}"
rebound,11,0.37342517572860845,0.37342517572860845,0.07733736791191403,227.0,"{""atr_len"": 15, ""bb_len"": 39, ""bb_std"": 1.8072340687504023, ""cci_len"": 27, ""cci_reclaim"": -119.32853092746481, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 42, ""max_positions"": 3, ""rsi_entry"": 44.40783172290313, ""rsi_len"": 5, ""rsi_reclaim"": 54.307916969422, ""scan_mode"": ""monthly"", ""stop_atr"": 1.3778687198731383, ""target_atr"": 4.62807620470849, ""top_n"": 4, ""trail_atr"": 4.734625187849593, ""trend_len"": 99}"
rebound,12,1.126690013368946,1.126690013368946,0.07476142564447541,337.0,"{""atr_len"": 15, ""bb_len"": 40, ""bb_std"": 1.8495062824542354, ""cci_len"": 27, ""cci_reclaim"": -118.02475902638353, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 38, ""max_positions"": 3, ""rsi_entry"": 44.80609886093903, ""rsi_len"": 5, ""rsi_reclaim"": 54.98431843581888, ""scan_mode"": ""monthly"", ""stop_atr"": 1.056478065634162, ""target_atr"": 4.482664295015792, ""top_n"": 6, ""trail_atr"": 4.811367627216187, ""trend_len"": 100}"
rebound,13,0.5664825970077749,0.5664825970077749,0.08267949712979838,320.0,"{""atr_len"": 15, ""bb_len"": 26, ""bb_std"": 1.7663127852258373, ""cci_len"": 21, ""cci_reclaim"": -116.02434402861262, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 47, ""max_positions"": 3, ""rsi_entry"": 41.5762095950543, ""rsi_len"": 5, ""rsi_reclaim"": 50.44443477725819, ""scan_mode"": ""monthly"", ""stop_atr"": 1.0342988391810046, ""target_atr"": 4.5468486885204475, ""top_n"": 6, ""trail_atr"": 4.848762028818917, ""trend_len"": 103}"
rebound,14,0.1544707645168646,0.1544707645168646,0.061442583512886007,234.0,"{""atr_len"": 16, ""bb_len"": 25, ""bb_std"": 1.5015054595443487, ""cci_len"": 22, ""cci_reclaim"": -104.72833585464312, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 48, ""max_positions"": 4, ""rsi_entry"": 41.123456573455535, ""rsi_len"": 8, ""rsi_reclaim"": 50.11571679296566, ""scan_mode"": ""monthly"", ""stop_atr"": 1.054203021521802, ""target_atr"": 4.350915377670038, ""top_n"": 6, ""trail_atr"": 3.50966420411986, ""trend_len"": 140}"
rebound,15,-0.2039860284825974,-0.2039860284825974,0.038551255295181885,86.0,"{""atr_len"": 10, ""bb_len"": 15, ""bb_std"": 1.7501124525005074, ""cci_len"": 19, ""cci_reclaim"": -106.0223204566471, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 22, ""max_positions"": 4, ""rsi_entry"": 36.57408057258064, ""rsi_len"": 21, ""rsi_reclaim"": 49.608061451645355, ""scan_mode"": ""monthly"", ""stop_atr"": 1.595937828585429, ""target_atr"": 5.083583704806951, ""top_n"": 6, ""trail_atr"": 4.389851738595963, ""trend_len"": 109}"
rebound,16,1.029804301524989,1.029804301524989,0.10872937735183674,282.0,"{""atr_len"": 14, ""bb_len"": 27, ""bb_std"": 1.9278854127837932, ""cci_len"": 31, ""cci_reclaim"": -109.58155917298141, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 58, ""max_positions"": 3, ""rsi_entry"": 42.1534325764003, ""rsi_len"": 5, ""rsi_reclaim"": 54.9013480386804, ""scan_mode"": ""monthly"", ""stop_atr"": 1.0103803277524022, ""target_atr"": 5.999094552532954, ""top_n"": 6, ""trail_atr"": 4.978230189356346, ""trend_len"": 75}"
rebound,17,0.05182057977999821,0.05182057977999821,0.09091801309405367,279.0,"{""atr_len"": 9, ""bb_len"": 29, ""bb_std"": 1.8936148312159011, ""cci_len"": 31, ""cci_reclaim"": -61.50971304047193, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 62, ""max_positions"": 4, ""rsi_entry"": 38.222270123930286, ""rsi_len"": 7, ""rsi_reclaim"": 36.21640068714328, ""scan_mode"": ""monthly"", ""stop_atr"": 1.6908321966554363, ""target_atr"": 5.982607783021323, ""top_n"": 10, ""trail_atr"": 3.722143356609081, ""trend_len"": 68}"
rebound,18,-0.416140715452731,-0.416140715452731,0.02615885049748612,37.0,"{""atr_len"": 14, ""bb_len"": 32, ""bb_std"": 2.2802608327447853, ""cci_len"": 31, ""cci_reclaim"": -107.44256360990504, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 34, ""max_positions"": 3, ""rsi_entry"": 31.47636859986887, ""rsi_len"": 9, ""rsi_reclaim"": 54.93309897696326, ""scan_mode"": ""weekly"", ""stop_atr"": 2.238430576984433, ""target_atr"": 2.3808239002556073, ""top_n"": 8, ""trail_atr"": 4.3662453634135066, ""trend_len"": 76}"
rebound,19,0.04194343528051836,0.04194343528051836,0.12718837255122295,284.0,"{""atr_len"": 21, ""bb_len"": 25, ""bb_std"": 2.0006931058962674, ""cci_len"": 31, ""cci_reclaim"": -96.95735614020887, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 62, ""max_positions"": 4, ""rsi_entry"": 42.641278609685514, ""rsi_len"": 6, ""rsi_reclaim"": 52.66630595396559, ""scan_mode"": ""monthly"", ""stop_atr"": 3.4576364802246267, ""target_atr"": 5.419330900882702, ""top_n"": 6, ""trail_atr"": 4.933219893204863, ""trend_len"": 50}"
rebound,20,-0.36459350048198225,-0.36459350048198225,0.06975989139514494,115.0,"{""atr_len"": 19, ""bb_len"": 29, ""bb_std"": 1.681783836431128, ""cci_len"": 17, ""cci_reclaim"": -61.247699947883675, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 62, ""max_positions"": 3, ""rsi_entry"": 39.23847553107698, ""rsi_len"": 12, ""rsi_reclaim"": 48.11821218861668, ""scan_mode"": ""monthly"", ""stop_atr"": 1.6078867389800306, ""target_atr"": 3.266176138645452, ""top_n"": 8, ""trail_atr"": 2.839220472429487, ""trend_len"": 90}"
rebound,21,0.6370893168989618,0.6370893168989618,0.1109262933623425,336.0,"{""atr_len"": 14, ""bb_len"": 24, ""bb_std"": 1.8954172304338872, ""cci_len"": 24, ""cci_reclaim"": -112.2004160373427, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 53, ""max_positions"": 3, ""rsi_entry"": 42.17390900211852, ""rsi_len"": 5, ""rsi_reclaim"": 51.315685217958844, ""scan_mode"": ""monthly"", ""stop_atr"": 1.0187588819954874, ""target_atr"": 4.309975670605339, ""top_n"": 6, ""trail_atr"": 4.9860696057985265, ""trend_len"": 103}"
rebound,22,-0.014051748276943998,-0.014051748276943998,0.07796719749489311,346.0,"{""atr_len"": 14, ""bb_len"": 23, ""bb_std"": 1.9296905670544948, ""cci_len"": 26, ""cci_reclaim"": -111.06345968558654, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 54, ""max_positions"": 4, ""rsi_entry"": 43.107083503361366, ""rsi_len"": 7, ""rsi_reclaim"": 52.63194508645253, ""scan_mode"": ""monthly"", ""stop_atr"": 1.1482453290221397, ""target_atr"": 4.127418136569721, ""top_n"": 7, ""trail_atr"": 4.99876912709213, ""trend_len"": 116}"
rebound,23,0.4728570921457278,0.4728570921457278,0.0705686446313224,272.0,"{""atr_len"": 13, ""bb_len"": 18, ""bb_std"": 2.0470121504990826, ""cci_len"": 23, ""cci_reclaim"": -98.52499058261535, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 34, ""max_positions"": 3, ""rsi_entry"": 41.952740603749234, ""rsi_len"": 5, ""rsi_reclaim"": 54.85853160976482, ""scan_mode"": ""monthly"", ""stop_atr"": 1.2656371319273254, ""target_atr"": 4.878465770424448, ""top_n"": 5, ""trail_atr"": 4.519855497290907, ""trend_len"": 97}"
rebound,24,-0.09756492076281953,-0.09756492076281953,0.06416722148956344,121.0,"{""atr_len"": 10, ""bb_len"": 27, ""bb_std"": 1.8725592427490656, ""cci_len"": 10, ""cci_reclaim"": -111.55634762845392, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 91, ""max_positions"": 3, ""rsi_entry"": 37.56934974163257, ""rsi_len"": 9, ""rsi_reclaim"": 51.57736364460477, ""scan_mode"": ""monthly"", ""stop_atr"": 1.0091987084805276, ""target_atr"": 3.5740725389197108, ""top_n"": 6, ""trail_atr"": 4.08908867682892, ""trend_len"": 65}"
