entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2016-07-17,2016-08-10,2016,AMOC,58750.0,2.27,2.53,133362.5,148637.5,10.0,15265.0,0.11445817009391343,24,target
2016-07-28,2016-08-14,2016,MCQE,4389.0,30.38,29.64,133337.82,130089.96,10.0,-3257.8600000000006,-0.024432211648141237,17,stop
2016-08-18,2016-09-01,2016,MCQE,4751.0,30.38,28.63,144335.38,136021.13,10.0,-8324.25,-0.05767097190682192,14,stop
2016-08-21,2016-09-20,2016,ETEL,15103.0,9.56,9.29,144384.68,140306.87,10.0,-4087.8099999999977,-0.02831095684954768,30,stop
2016-09-01,2016-10-09,2016,AMOC,57715.0,2.53,2.73,146018.94999999998,157561.95,10.0,11533.00000000003,0.07898019468724159,38,target
2016-07-17,2016-10-16,2016,HRHO,24974.0,5.34,6.32,133361.16,157835.68,10.0,24464.51999999999,0.18343873738285627,91,target
2016-10-04,2016-11-06,2016,COMI,7610.0,19.75,22.0,150297.5,167420.0,10.0,17112.5,0.11385372831456562,33,target
2016-11-03,2016-11-06,2016,ORWE,24612.0,6.61,6.13,162685.32,150871.56,10.0,-11823.76000000001,-0.07267648130509552,3,stop
2016-11-06,2016-11-07,2016,EGAL,43923.0,3.65,3.47,160318.94999999998,152412.81,10.0,-7916.139999999985,-0.04937590422391655,1,stop
2016-11-08,2016-11-10,2016,EAST,43800.0,3.6,4.31,157680.0,188777.99999999997,10.0,31087.99999999997,0.19715255097187412,2,target
2016-11-10,2016-12-28,2016,ORAS,1864.0,90.13,103.28,168002.31999999998,192513.92,10.0,24501.600000000035,0.14583650283809085,48,target
2016-12-28,2017-01-08,2017,HRHO,19323.0,10.48,12.89,202505.04,249073.47,10.0,46558.42999999999,0.22990677400488385,11,target
2016-11-10,2017-01-18,2017,EAST,38994.0,4.31,5.16,168064.13999999998,201209.04,10.0,33134.90000000002,0.1971504108368736,69,target
2016-11-13,2017-02-07,2017,EGAL,45795.0,3.67,5.33,168067.65,244087.35,10.0,76009.70000000001,0.45224312224505303,86,target
2017-01-08,2017-02-07,2017,TMGH,27530.0,9.41,7.87,259057.3,216661.1,10.0,-42406.19999999998,-0.1636911275781925,30,stop
2017-02-21,2017-03-01,2017,ADIB,42331.0,5.56,4.8,235360.36,203188.8,10.0,-32181.559999999998,-0.1367302308207121,8,stop
2017-02-23,2017-03-01,2017,AMOC,33011.0,7.13,6.42,235368.43,211930.62,10.0,-23447.809999999998,-0.09961961296990914,6,stop
2017-03-06,2017-03-07,2017,RAYA,1180855.0,0.18,0.19,212553.9,224362.45,10.0,11798.550000000017,0.05550720294468977,1,stop
2017-03-07,2017-03-09,2017,RAYA,1180802.0,0.19,0.18,224352.38,212544.36,10.0,-11818.020000000019,-0.05267497775201341,2,stop
2017-03-09,2017-04-05,2017,RAYA,1180747.0,0.18,0.34,212534.46,401453.98,10.0,188909.52,0.8888209276526815,27,target
2017-04-05,2017-04-06,2017,EAST,57868.0,7.11,7.08,411441.48,409705.44,10.0,-1746.039999999979,-0.004243662505023689,1,stop
2017-03-01,2017-05-24,2017,AMOC,33107.0,6.42,6.18,212546.94,204601.26,10.0,-7955.679999999993,-0.03742934550491514,84,stop
2017-01-29,2017-06-22,2017,ORWE,17790.0,11.31,12.26,201204.9,218105.4,10.0,16890.5,0.08394467667843382,144,signal_fail
2017-06-21,2017-07-09,2017,ADIB,29888.0,7.18,7.11,214595.84,212503.68,10.0,-2102.1600000000035,-0.009795674611525302,18,stop
2017-05-07,2017-07-10,2017,EGAL,36400.0,11.53,20.11,419692.0,732004.0,10.0,312302.0,0.7441130148654863,64,target
2017-06-22,2017-07-30,2017,ORHD,93603.0,2.33,2.32,218094.99,217158.96,10.0,-946.0299999999988,-0.004337597631251606,38,stop
2017-08-14,2017-08-21,2017,BFTH,48954.0,4.64,4.14,227146.56,202669.56,10.0,-24487.0,-0.10780027220592278,7,stop
2017-07-10,2017-08-21,2017,EAST,49764.0,9.59,9.58,477236.76,476739.12,10.0,-507.64000000001397,-0.0010636956832948022,42,stop
2017-07-19,2017-08-23,2017,RAYA,1539524.0,0.31,0.27,477252.44,415671.48,10.0,-61590.96000000002,-0.1290518593067926,35,stop
2017-08-30,2017-09-26,2017,EGAL,11547.0,31.61,45.07,365000.67,520423.29,10.0,155412.62,0.4257813858069657,27,target
2017-10-11,2017-10-23,2017,CCAP,303685.0,1.4,1.3,425159.0,394790.5,10.0,-30378.5,-0.07145125175226501,12,stop
2017-10-11,2017-11-14,2017,BFTH,97290.0,4.37,4.08,425157.3,396943.2,10.0,-28224.099999999977,-0.06638429606764282,34,stop
2017-10-23,2017-12-14,2017,ORHD,108456.0,3.64,4.43,394779.84,480460.08,10.0,85670.23999999999,0.21700488802964163,52,target
2017-12-17,2017-12-25,2017,EGCH,73311.0,6.69,6.41,490450.59,469923.51,10.0,-20537.080000000016,-0.041873475231467984,8,stop
2017-11-22,2018-01-04,2018,VLMR,330841.0,1.23,1.35,406934.43,446635.35,10.0,39690.919999999984,0.09753520321193743,43,target
2017-12-26,2018-01-22,2018,ORHD,107286.0,4.38,5.37,469912.68,576125.8200000001,10.0,106203.14000000007,0.22600371196929656,27,target
2017-09-28,2018-02-15,2018,ETEL,33187.0,12.66,12.08,420147.42,400898.96,10.0,-19258.459999999963,-0.045836841782322627,140,signal_fail
2018-02-21,2018-02-22,2018,ABUK,12417.0,33.1,31.95,411002.7,396723.15,10.0,-14289.549999999988,-0.03476711020255822,1,stop
