year,strategy_final_equity,strategy_total_contributions,strategy_money_multiple,strategy_twr_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_return_dd,strategy_profit_factor,strategy_closed_trades,etf_final_equity,etf_total_contributions,etf_money_multiple,etf_twr_total_return,etf_cagr,etf_sharpe,etf_max_drawdown,etf_return_dd,etf_profit_factor,etf_closed_trades,excess_twr_vs_etf_dca
2015,220000.0,220000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.275545718792227
2016,372981.01790966035,120000.0,3.1081751492471694,0.10609166011635773,0.1929835523771164,2.0324277688128354,0.034551119923475926,5.5854499884385165,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,-0.6505736141290193
2017,616141.9528210006,120000.0,5.134516273508338,0.2833420405855387,1.1136217250775347,4.011051649073563,0.05353817339016165,20.800517734551203,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,0.08252097417359594
2018,740011.5857871758,120000.0,6.166763214893131,-0.022576617026850987,-0.09145290772650605,-0.607042111469318,0.06178866176709541,-1.4800920607606989,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,0.10947339773004094
2019,828376.792074056,100000.0,8.28376792074056,-0.01421347791466887,-0.10661192924560037,-0.8238417957358369,0.030850283929553246,-3.4557843775133206,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.06222977252568784
2020,938376.792074056,110000.0,8.530698109764145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.22538851528034032
2021,1062323.4835136812,120000.0,8.852695695947343,0.004160891395787569,0.005408227741651839,0.10971013914097895,0.06116526073651474,0.08841992458675499,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,-0.07707537650594642
2022,1197318.835392332,120000.0,9.977656961602767,0.006574107477649305,0.007173892441381335,0.12668875047716813,0.105336355501776,0.06810461978875262,0.0,0.0,287989.8108061,220000.0,1.309044594573182,0.21726507126416061,0.23921724275115652,1.0128644214549674,0.2787932434791939,0.8580453377056432,0.0,0.0,-0.2106909637865113
2023,1506447.3486805374,120000.0,12.553727905671145,0.1398778362470141,0.14670974134511394,1.1100608435946564,0.12297569436532119,1.1929978692316756,0.0,0.0,328926.55158541,220000.0,1.495120689024591,0.6911867258458764,0.7322355357979111,2.1260210590034228,0.168866982684025,4.336167580894316,0.0,0.0,-0.5513088895988623
2024,1866801.1721355785,120000.0,15.556676434463155,0.13478118188671373,0.1413490661778367,1.32371314120036,0.09021903194180259,1.5667322419178304,0.0,0.0,245225.79917944001,220000.0,1.1146627235429092,0.20254795210961296,0.21271438562909029,0.7988801588541482,0.27494696081094594,0.773656071708147,0.0,0.0,-0.06776677022289923
2025,2314880.97521011,120000.0,19.290674793417583,0.1596606940450338,0.16678071002787465,1.5996105396394347,0.0730865492848759,2.2819617516459663,0.0,0.0,293321.90360722,220000.0,1.333281380032818,0.4250922021171457,0.4461059431131993,2.3045641851489287,0.07559271633776188,5.901440836176829,0.0,0.0,-0.2654315080721119
2026,2418796.7886045356,40000.0,60.46991971511339,0.04320872681611809,0.19442555877731826,2.134097703396401,0.030623500206587106,6.348900598093532,0.0,0.0,151792.28477877,140000.0,1.084230605562643,0.13119727154010885,0.6782670403714,2.0033742789921765,0.13599696523015958,4.987368940354729,0.0,0.0,-0.08798854472399076
