symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
AMOC,month_end,rel_mom_63_gt_0,21,131,56,0.42748091603053434,0.02795136948591168,0.5892857142857143,-0.03445774658178588,0.32,0.062409116067697556,0.2692857142857143
AMOC,month_end,rel_mom_126_gt_0,21,131,51,0.3893129770992366,0.01506532254052377,0.5686274509803921,-0.02234232189986998,0.35,0.03740764444039375,0.21862745098039216
AMOC,month_end,ratio_gt_sma50,21,131,56,0.42748091603053434,0.018937307189799763,0.5714285714285714,-0.027727246734022312,0.3333333333333333,0.04666455392382207,0.23809523809523808
AMOC,month_end,ratio_gt_sma200,21,131,51,0.3893129770992366,0.007967746659644758,0.5686274509803921,-0.017817617275809616,0.35,0.025785363935454372,0.21862745098039216
AMOC,month_end,sma50_gt_sma200,21,131,58,0.44274809160305345,-0.021808758023297327,0.4827586206896552,0.003367858396278881,0.3972602739726027,-0.025176616419576206,0.08549834671705248
AMOC,month_end,rel_mom_63_volume_1_1,21,131,20,0.15267175572519084,0.03596108548376667,0.6,-0.01566014425313712,0.40540540540540543,0.05162122973690379,0.19459459459459455
AMOC,month_end,residual_strength_63_gt_0,21,131,68,0.5190839694656488,0.028007076538590064,0.5441176470588235,-0.04640532550868271,0.31746031746031744,0.07441240204727277,0.22665732959850604
AMOC,month_end,relative_breakout_63,21,131,7,0.05343511450381679,-0.05070717997363013,0.2857142857142857,-0.005355677762963513,0.4435483870967742,-0.04535150221066662,-0.1578341013824885
AMOC,month_end,rel_mom_63_gt_0,63,128,56,0.4375,0.06657176610419994,0.5535714285714286,-0.03889878687602211,0.4166666666666667,0.10547055298022205,0.13690476190476192
AMOC,month_end,rel_mom_126_gt_0,63,128,51,0.3984375,0.033930464993653306,0.5294117647058824,-0.01043048659629498,0.44155844155844154,0.04436095158994829,0.08785332314744082
AMOC,month_end,ratio_gt_sma50,63,128,56,0.4375,0.06794193105088782,0.5714285714285714,-0.039964470723446006,0.4027777777777778,0.10790640177433383,0.1686507936507936
AMOC,month_end,ratio_gt_sma200,63,128,51,0.3984375,0.039295122480944335,0.5490196078431373,-0.013983701295669549,0.42857142857142855,0.05327882377661389,0.12044817927170876
AMOC,month_end,sma50_gt_sma200,63,128,58,0.453125,-0.02807893240433349,0.46551724137931033,0.036512633231613544,0.4857142857142857,-0.06459156563594703,-0.020197044334975378
AMOC,month_end,rel_mom_63_volume_1_1,63,128,20,0.15625,0.1703185717293139,0.65,-0.022954307294672887,0.4444444444444444,0.19327287902398677,0.2055555555555556
AMOC,month_end,residual_strength_63_gt_0,63,128,67,0.5234375,0.05126735741726004,0.5223880597014925,-0.04110830656057077,0.4262295081967213,0.09237566397783081,0.0961585515047712
AMOC,month_end,relative_breakout_63,63,128,7,0.0546875,0.2241399510063224,0.7142857142857143,-0.005303086035393809,0.4628099173553719,0.2294430370417162,0.2514757969303424
AMOC,month_end,rel_mom_63_gt_0,126,125,56,0.448,0.07192726855437999,0.42857142857142855,0.0603522357299481,0.391304347826087,0.01157503282443189,0.037267080745341574
AMOC,month_end,rel_mom_126_gt_0,126,125,51,0.408,-0.040943961650758406,0.37254901960784315,0.13892396417027536,0.43243243243243246,-0.17986792582103378,-0.05988341282458931
AMOC,month_end,ratio_gt_sma50,126,125,56,0.448,0.06094674359503579,0.44642857142857145,0.06926396613173469,0.37681159420289856,-0.0083172225366989,0.0696169772256729
AMOC,month_end,ratio_gt_sma200,126,125,51,0.408,-0.0160854584060997,0.37254901960784315,0.12179175247463218,0.43243243243243246,-0.13787721088073188,-0.05988341282458931
AMOC,month_end,sma50_gt_sma200,126,125,58,0.464,-0.08141006078547788,0.3275862068965517,0.1927464899995435,0.47761194029850745,-0.2741565507850214,-0.15002573340195574
AMOC,month_end,rel_mom_63_volume_1_1,126,125,20,0.16,0.07136120549252303,0.5,0.06442863994820226,0.3904761904761905,0.006932565544320771,0.10952380952380952
AMOC,month_end,residual_strength_63_gt_0,126,125,67,0.536,0.0761962011695183,0.417910447761194,0.05322561769058572,0.39655172413793105,0.02297058347893257,0.021358723623262965
AMOC,month_end,relative_breakout_63,126,125,7,0.056,0.5887621978313767,0.7142857142857143,0.03449911796264458,0.3898305084745763,0.5542630798687321,0.324455205811138
