rank_composite,symbol,name,as_of_date,start_date,bars,close,ret_1m_pct,ret_3m_pct,ret_6m_pct,ret_12m_pct,vs_egx30_3m_pct,vs_egx30_6m_pct,close_vs_kama_pct,kama_slope_20_pct,adx14,atr14_pct,vol21_ann_pct,drawdown_252_pct,cci26,median_daily_value_63_egp,above_kama,kama_rising,vs_egx30_3m_pct_rank,vs_egx30_6m_pct_rank,ret_12m_pct_rank,median_daily_value_63_egp_rank,adx_norm,inv_atr_rank,inv_vol_rank,inv_dd_rank,trend_score_100,stability_score_100,composite_score_100,trend_state,regime_state,fundamentals_status,fundamental_score_100
21,COMI,Commercial International Bank-Egypt (CIB),2026-04-09,2001-05-15,6039,129.4,6.143876630301048,28.730600875447678,31.0379746835443,66.96774193548387,15.998337361934167,2.4493426989585565,-0.14287246210766824,-1.5174769409361688,18.666445740864116,3.486601769344009,51.70941945461275,-9.504161130148958,132.25313577088409,528508057.41999996,False,False,0.7575757575757576,0.6060606060606061,0.7575757575757576,0.9696969696969697,0.46666114352160293,0.42424242424242425,0.09090909090909091,0.6666666666666666,42.605977758884656,48.18181818181819,44.27872988576471,weak_ranging,neutral_down,not_available_in_local_price_dataset,
22,EGX30_INDEX,EGX30 Index,2018-06-27,1998-01-04,4999,16176.41,-2.8354557505885003,-5.204757456673425,10.177467317434651,19.897286443930383,-17.937020970186936,-18.41116466715109,-2.888870721111214,-4.038196285609452,20.708765160991273,1.2435606294084083,19.293545439068318,-11.908977095063033,-44.51381261070374,3287131185800.0,False,False,0.12121212121212122,0.36363636363636365,0.3939393939393939,1.0,0.5177191290247818,0.9696969696969697,0.9393939393939394,0.45454545454545453,21.553665723250518,86.36363636363637,40.99665691536627,downtrend,neutral_down,not_available_in_local_price_dataset,
23,HRHO,EFG Holding,2026-04-09,2001-05-15,5955,26.37,1.384083044982698,6.330645161290316,0.6488549618320683,-2.3333333333333317,-6.401618352223193,-27.939777022753674,-1.5188035569275615,-4.095662733415328,25.37187311895422,2.8743326544965853,33.768604287500395,-16.944881889763774,114.64723926380339,170143909.62,False,False,0.42424242424242425,0.21212121212121213,0.15151515151515152,0.8484848484848485,0.6342968279738554,0.7878787878787878,0.6666666666666666,0.21212121212121213,23.453846359001773,64.84848484848484,35.87223790584669,downtrend,neutral_down,not_available_in_local_price_dataset,
24,GBCO,GB Corp,2026-04-09,2007-07-05,4398,25.65,-0.15570260801869296,-1.3461538461538525,19.30232558139535,49.9123319696084,-14.07841735966736,-9.286306403190391,-0.815829676407398,-5.91011531333685,33.54514052415591,3.459478954965347,41.97745713168981,-19.314249764076752,34.008717616978956,72803799.25,False,False,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.8386285131038977,0.48484848484848486,0.36363636363636365,0.15151515151515152,32.57942769655847,37.57575757575758,34.0783266603182,downtrend,neutral_down,not_available_in_local_price_dataset,
25,ORWE,Oriental Weavers,2026-04-09,2001-05-15,5881,22.69,-1.3478260869565162,-0.9170305676855728,6.028037383177587,-7.614006514657968,-13.64929408119908,-22.560594601408155,-0.9970748144370267,-0.6468531002475908,16.152292810400567,2.143504341920949,16.09643245607986,-8.94863563402889,64.66603010048524,19319683.41,False,False,0.21212121212121213,0.2727272727272727,0.12121212121212122,0.15151515151515152,0.4038073202600142,0.9393939393939394,0.9696969696969697,0.696969696969697,16.208624955415363,74.24242424242425,33.61876474151803,weak_ranging,neutral_down,not_available_in_local_price_dataset,
26,PHDC,Palm Hills Development Company,2026-04-09,2008-03-16,4326,8.43,-3.657142857142859,-0.5896226415094463,15.479452054794528,28.899082568807334,-13.321886155022955,-13.109179929791214,-0.24882103822509993,-0.09884230284832318,22.007616091931855,3.6292200231299816,33.73515520617374,-13.44969199178645,-36.368122378485175,93111042.0,False,False,0.24242424242424243,0.42424242424242425,0.5151515151515151,0.6060606060606061,0.5501904022982964,0.2727272727272727,0.696969696969697,0.3333333333333333,27.192249973868385,47.878787878787875,33.39821134534423,downtrend,neutral_down,not_available_in_local_price_dataset,
27,EMFD,Emaar Misr for Development,2026-04-09,2015-07-05,2607,9.27,1.7563117453347932,-2.008456659619462,14.162561576354694,10.752688172043023,-14.74072017313297,-14.426070408231052,-1.3664459104001048,-0.4377417041261378,11.693359344585309,2.373425507554552,22.714991794911594,-10.521235521235518,88.90322580645167,19017587.84,False,False,0.15151515151515152,0.3939393939393939,0.3333333333333333,0.12121212121212122,0.2923339836146327,0.9090909090909091,0.9090909090909091,0.5151515151515151,18.32440369361343,67.27272727272727,33.00890076734758,weak_ranging,neutral_down,not_available_in_local_price_dataset,
28,ISPH,Ibnsina Pharma,2026-04-09,2017-12-12,2012,10.44,-3.512014787430695,-8.017621145374454,-4.83135824977211,56.287425149700596,-20.749884658887964,-33.419990234357854,-2.085473855373554,-3.7361888737562743,30.691961046185057,3.2822319935411874,37.97956445856986,-18.309859154929576,-12.931923922988544,63141930.879999995,False,False,0.06060606060606061,0.12121212121212122,0.696969696969697,0.36363636363636365,0.7672990261546264,0.6363636363636364,0.5454545454545454,0.18181818181818182,24.994333877167882,46.36363636363637,31.405124623108428,downtrend,neutral_down,not_available_in_local_price_dataset,
29,EAST,Eastern Company,2026-04-09,2001-05-15,5592,38.2,0.8181578252837163,6.111111111111112,-13.063268092853885,21.30835185773263,-6.621152402402397,-41.65190007743963,-0.06802383496729014,-2.097406301794691,32.89521175362356,3.226664391653756,45.345308434862694,-22.812689432208522,50.922617224457,41639658.480000004,False,False,0.3939393939393939,0.06060606060606061,0.42424242424242425,0.2727272727272727,0.8223802938405891,0.7272727272727273,0.24242424242424243,0.12121212121212122,27.48721955912399,36.969696969696976,30.331962782295882,downtrend,risk_off,not_available_in_local_price_dataset,
30,BFTH,Beltone Holding,2026-04-09,2008-09-10,3304,2.87,-2.3809523809523725,-15.339233038348087,-9.463722397476337,26.991150442477885,-28.071496551861596,-38.052354382062084,-6.049348915912045,-3.591942126668035,13.127049144055384,2.5653075846882243,23.253157026000466,-22.8494623655914,-50.637228504756116,123926325.4,False,False,0.030303030303030304,0.09090909090909091,0.45454545454545453,0.7272727272727273,0.3281762286013846,0.8787878787878788,0.8787878787878788,0.09090909090909091,13.710522216899559,69.0909090909091,30.324638279102416,weak_ranging,risk_off,not_available_in_local_price_dataset,
31,JUFO,Juhayna Food Industries,2026-04-09,2010-06-09,3746,26.6,0.37735849056603765,5.681366706396496,-4.693658187029737,-24.645892351274778,-7.050896807117013,-33.28229017161548,-0.8490554633567404,-4.337825410546237,25.674969931098754,2.872489014012719,32.327540145133604,-25.698324022346362,57.14883818296036,29811194.400000002,False,False,0.36363636363636365,0.15151515151515152,0.06060606060606061,0.24242424242424243,0.6418742482774689,0.8181818181818182,0.7272727272727273,0.06060606060606061,20.082659178707488,52.42424242424243,29.785134152367966,downtrend,risk_off,not_available_in_local_price_dataset,
32,EGCH,Egyptian Chemical Industries (KIMA),2026-04-09,2001-05-31,5354,11.3,-12.130637636080866,-5.833333333333323,0.9830205540661385,31.855309218203033,-18.565596846846834,-27.605611430519605,-4.73766247892653,-1.242793360916361,14.967711766414666,3.482501939902742,24.73478795810046,-14.909638554216853,-93.26286116983773,46884156.0,False,False,0.09090909090909091,0.24242424242424243,0.5454545454545454,0.30303030303030304,0.37419279416036666,0.45454545454545453,0.7575757575757576,0.2727272727272727,19.249255548769135,47.878787878787875,27.838115247774756,weak_ranging,neutral_down,not_available_in_local_price_dataset,
33,EFID,Edita Food Industries (EDITA),2026-04-09,2015-04-02,2459,27.7,0.727272727272732,-0.25207057976233127,54.7486033519553,1.0580080262677871,-12.98433409327584,26.15997136736956,-0.02434803642945571,-1.4130827517533473,16.155688432959394,4.035654434608783,41.6404576218932,-13.975155279503115,13.594054066727656,23789999.04,False,False,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.40389221082398485,0.15151515151515152,0.3939393939393939,0.30303030303030304,25.14929225326886,26.06060606060606,25.422686395470016,weak_ranging,neutral_down,not_available_in_local_price_dataset,
