watchlist_rank,rank_combined,rank_composite,symbol,name,as_of_date,start_date,bars,close,ret_1m_pct,ret_3m_pct,ret_6m_pct,ret_12m_pct,vs_egx30_3m_pct,vs_egx30_6m_pct,close_vs_kama_pct,kama_slope_20_pct,adx14,atr14_pct,vol21_ann_pct,drawdown_252_pct,cci26,median_daily_value_63_egp,above_kama,kama_rising,vs_egx30_3m_pct_rank,vs_egx30_6m_pct_rank,ret_12m_pct_rank,median_daily_value_63_egp_rank,adx_norm,inv_atr_rank,inv_vol_rank,inv_dd_rank,trend_score_100,stability_score_100,composite_score_100,trend_state,regime_state,fundamentals_status,fundamental_score_100,fundamental_score_100_template,fundamental_score_used_100,fundamentals_source,combined_score_100
1,7,7,MCQE,Misr Cement - Qena,2026-04-09,2004-04-08,5189,183.0,-1.187904967602582,0.5605011539729698,160.23890784982936,645.4175152749491,-12.17176235954054,131.65027586524363,9.211791793284196,1.4622080996220532,13.34317091496655,3.268104984712695,23.263924692683673,-9.843334318652076,15.64355933250359,16090915.88,True,True,0.3333333333333333,1.0,1.0,0.0909090909090909,0.3335792728741637,0.6666666666666666,0.8484848484848485,0.6363636363636364,76.67035575977911,60.0,71.66924903184537,uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,65.16847432229176
2,8,8,CCAP,QALA For Financial Investments,2026-04-09,2009-12-06,3930,3.95,6.182795698924726,6.756756756756754,54.90196078431375,39.08450704225353,-5.975506756756754,26.31332879972801,10.567963309000206,4.425109760117163,30.849353595068692,3.6277439178309887,39.751107321063714,-3.658536585365846,96.79679679679676,263352918.64,True,True,0.4545454545454545,0.7575757575757576,0.6060606060606061,0.9393939393939394,0.7712338398767173,0.303030303030303,0.4848484848484848,0.8787878787878788,76.1139621436053,60.00000000000001,71.2797735005237,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,64.89584145036659
3,14,14,TMGH,T M G Holding,2026-04-09,2007-11-28,4431,84.99,9.115419180896131,10.376623376623373,53.13513513513512,60.570564897033805,-2.355640136890136,24.54650315054938,3.58304527427864,-3.2609388632104386,25.557595463180533,3.6595705282253697,48.0801539784133,-11.808654145480968,239.24638302773252,241188749.65,True,True,0.4848484848484848,0.696969696969697,0.7272727272727273,0.9090909090909092,0.6389398865795133,0.2424242424242424,0.1818181818181818,0.4848484848484848,75.64470435929876,40.60606060606061,65.13311123332731,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,60.59317786332912
4,16,16,VLMR,Egyptian Kuwaiti Holding,2026-04-09,2001-05-16,6013,0.7,0.0,0.0,-4.109589041095896,-7.8947368421052655,-12.732263513513509,-32.69822102568164,2.0320231878494077,0.3789872842485442,34.61704752641001,0.7472209260065951,6.9494147389522585,-7.8947368421052655,-54.40956651719164,120288.7,True,True,0.303030303030303,0.1818181818181818,0.0909090909090909,0.0303030303030303,0.8654261881602503,1.0,1.0,0.7575757575757576,58.13290797391891,75.75757575757576,63.420308309015965,strong_uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,59.394215816311174
5,18,18,HELI,Heliopolis Housing,2026-04-09,2001-05-15,5569,5.5,5.769230769230771,55.36723163841808,-45.32803180914513,-48.113207547169814,42.634968124904574,-73.91666379373088,2.6260413591093323,15.472888768918349,35.205190787566565,3.605071993307795,40.13826757782663,-53.310696095076395,-7.072036500833685,149950141.6,True,True,0.9696969696969696,0.0303030303030303,0.0303030303030303,0.7878787878787878,0.8801297696891641,0.3333333333333333,0.4242424242424242,0.0303030303030303,68.50497684836776,39.09090909090909,59.68075652113016,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,56.776529564791105
6,19,19,AMOC,Alexandria Mineral Oils Company,2026-04-09,2005-09-29,4958,8.23,-6.583427922814988,18.417266187050352,10.026737967914446,6.056701030927836,5.685002673536843,-18.5618940166713,2.983220553348076,7.939656316813748,26.816173283599905,3.842338474814578,47.27828522633556,-12.260127931769729,-37.434981512815824,60041844.9,True,True,0.6666666666666666,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.6704043320899975,0.1818181818181818,0.2121212121212121,0.3939393939393939,67.48030740559238,26.363636363636367,55.14530609300557,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,53.6017142651039
