shortlist_rank,rank_combined,rank_composite,symbol,name,as_of_date,start_date,bars,close,ret_1m_pct,ret_3m_pct,ret_6m_pct,ret_12m_pct,vs_egx30_3m_pct,vs_egx30_6m_pct,close_vs_kama_pct,kama_slope_20_pct,adx14,atr14_pct,vol21_ann_pct,drawdown_252_pct,cci26,median_daily_value_63_egp,above_kama,kama_rising,vs_egx30_3m_pct_rank,vs_egx30_6m_pct_rank,ret_12m_pct_rank,median_daily_value_63_egp_rank,adx_norm,inv_atr_rank,inv_vol_rank,inv_dd_rank,trend_score_100,stability_score_100,composite_score_100,trend_state,regime_state,fundamentals_status,fundamental_score_100,fundamental_score_100_template,fundamental_score_used_100,fundamentals_source,combined_score_100
1,1,1,OIH,Orascom Investment Holding,2026-04-09,2001-05-15,5945,1.43,20.168067226890752,23.275862068965523,26.54867256637168,169.81132075471697,10.543598555452016,-2.0399594182140657,13.0804651383702,8.479336622220046,45.01406303825739,2.756482802231077,23.735081947722055,-2.0547945205479423,107.43319110711886,97929497.96,True,True,0.7272727272727273,0.4848484848484848,0.9696969696969696,0.6363636363636364,1.0,0.8484848484848485,0.8181818181818182,0.9393939393939394,86.36363636363637,81.5151515151515,84.9090909090909,strong_uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,74.43636363636364
2,2,2,ARCC,Arabian Cement Company,2026-04-09,2014-05-18,2871,57.95,18.168841761827093,15.530303030303047,57.25915875169607,156.4159292035398,2.798039516789541,28.670526767110328,17.821190438976096,3.0701947150501674,35.65786623749161,3.261644788824157,37.03289109724152,0.0,170.44150217436956,25883567.38,True,True,0.5757575757575758,0.7878787878787878,0.9393939393939394,0.2121212121212121,0.8914466559372902,0.696969696969697,0.6060606060606061,1.0,85.79594226330178,63.333333333333336,79.05715958431125,strong_uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,70.34001170901787
3,3,3,ETEL,Telecom Egypt,2026-04-09,2005-12-08,4909,93.9,9.18604651162791,43.77583830960037,100.04260758414998,148.41269841269846,31.043574796086855,71.45397559956423,9.230708886553218,-1.826302702618976,21.42453313104148,3.40909774821669,44.77430881246308,-16.887944768985662,186.9164826292421,119206914.66,True,True,0.8787878787878788,0.9393939393939394,0.9090909090909092,0.696969696969697,0.535613328276037,0.5454545454545454,0.2727272727272727,0.2424242424242424,88.33723022717086,43.333333333333336,74.83606115901961,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,67.38524281131373
4,4,4,ORAS,Orascom Construction PLC,2026-04-09,2015-03-11,2676,565.1,21.78879310344828,34.54441560915218,30.354547761297333,106.99633699633702,21.81215209563867,1.7659157767115907,21.53442046533989,2.942902345011289,22.546076139597332,3.4491518362232,42.347855621342816,-0.3350970017636623,246.8871316610444,141702120.0,True,True,0.8181818181818182,0.5757575757575758,0.8181818181818182,0.7575757575757576,0.5636519034899333,0.5151515151515151,0.3333333333333333,0.9696969696969696,80.72750582507628,60.0,74.5092540775534,strong_uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,67.15647785428737
5,5,5,RAYA,Raya Holding For Financial Investments,2026-04-09,2005-05-17,4991,5.22,-2.7932960893854775,44.99999999999999,83.80281690140845,120.253164556962,32.267736486486484,55.2141849168227,4.9289847139534215,1.9385785265520592,29.982080846709096,4.262782545109356,43.72382620178331,-10.463121783876506,-43.31788472964927,77463739.44000001,True,True,0.9090909090909092,0.8787878787878788,0.8484848484848485,0.4848484848484848,0.7495520211677273,0.1212121212121212,0.303030303030303,0.5454545454545454,90.334189408425,33.333333333333336,73.23393258589749,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,66.26375281012824
6,6,6,FWRY,Fawry For Banking Technology And Electronic Payment,2026-04-09,2019-08-08,1610,18.5,5.83524027459954,19.27788523533205,34.54545454545455,124.51456310679607,6.54562172181854,5.956822560868802,4.4648474678737005,-0.7377653169769682,14.69176186198804,3.306215512661004,40.06019382690769,-10.15055852355512,209.47947524333472,191155097.32,True,True,0.696969696969697,0.6363636363636364,0.8787878787878788,0.8787878787878788,0.367294046549701,0.6060606060606061,0.4545454545454545,0.5757575757575758,77.17607736491219,60.90909090909091,72.2959814281658,uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,65.60718699971605
7,9,9,EGAL,Egypt Aluminum,2026-04-09,2001-06-10,5411,295.51,-2.4236420670298964,16.80237154150197,91.72776227859596,83.54658385093168,4.070108027988462,63.13913029401024,11.550395820136217,12.549797097726568,35.65810815493658,4.97321552679479,58.09470041245909,-8.736874613959245,20.965737447898697,100759041.18,True,True,0.6363636363636364,0.9090909090909092,0.7878787878787878,0.6666666666666666,0.8914527038734145,0.0606060606060606,0.0303030303030303,0.7272727272727273,86.55360873991938,30.60606060606061,69.76934429976174,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,63.838541009833214
8,10,10,EFIH,E-finance For Digital and Financial Investments,2026-04-09,2021-10-20,1076,20.47,3.5407182599898723,15.977337110481592,65.0806451612903,27.142857142857135,3.2450735969680844,36.49201317670456,4.242336186110629,-4.717510629386757,29.43257352625577,3.539634703213521,39.72974494977059,-12.0704467353952,185.5406917053587,70814117.2,True,True,0.6060606060606061,0.8484848484848485,0.4848484848484848,0.4242424242424242,0.7358143381563942,0.3636363636363636,0.5151515151515151,0.4242424242424242,78.15842719355804,43.33333333333333,67.71089903549063,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,62.397629324843436
9,11,11,ADIB,Abu Dhabi Islamic Bank- Egypt,2026-04-09,2001-05-16,5936,43.55,15.54789068718494,50.01722356183258,111.51044196211753,4.939759036144564,37.28496004831907,82.92180997753178,12.661055476984618,0.3066019356581684,17.158178048403638,3.5024280366588263,50.459561832058256,-4.285714285714293,243.44498189893835,82172990.39999999,True,True,0.9393939393939394,0.9696969696969696,0.2121212121212121,0.5454545454545454,0.4289544512100909,0.3939393939393939,0.1212121212121212,0.8484848484848485,77.94946828330289,43.33333333333333,67.56462779831202,uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,62.29523945881841
10,12,12,ABUK,Abou Kir Fertilizers,2026-04-09,2001-05-15,5805,82.11,-5.620689655172417,64.21999999999998,59.498834498834505,33.51219512195123,51.48773648648648,30.910202514248763,6.44483784937151,9.345208447985057,23.291498891329443,5.057711446788363,56.070896876430375,-12.648936170212766,-20.759784490429976,163338656.25,True,True,1.0,0.8181818181818182,0.5757575757575758,0.8181818181818182,0.5822874722832361,0.0303030303030303,0.0606060606060606,0.3636363636363636,84.64340299333946,26.363636363636363,67.15947300442853,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,62.01163110309997
11,13,13,VLMRA,Egyptian Kuwaiti Holding (EGP),2026-04-09,2021-09-19,1098,32.64,7.016393442622948,35.43568464730289,34.98759305210919,8.402524078379269,22.70342113378938,6.398961067523445,9.590537497628617,10.269863160044125,36.658302098946216,4.4390610780038635,49.446899472364,-5.391304347826087,47.45055128560068,83945434.32000001,True,True,0.8484848484848485,0.6666666666666666,0.303030303030303,0.5757575757575758,0.9164575524736552,0.0909090909090909,0.1515151515151515,0.8181818181818182,80.26201480225635,35.151515151515156,66.728864907034,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,61.71020543492379
12,15,15,ORHD,Orascom Development Egypt,2026-04-09,2001-05-16,4488,27.15,12.190082644628086,12.842892768079794,29.904306220095695,17.025862068965523,0.1106292545662857,1.315674235509956,7.911176967421763,-0.1476297558562711,13.07017518034384,3.3744146582551453,36.4056345348904,-2.931712549159815,229.88179669030723,79036698.0,True,True,0.5454545454545454,0.5454545454545454,0.3636363636363636,0.5151515151515151,0.326754379508596,0.5757575757575758,0.6363636363636364,0.9090909090909092,64.44677023808347,64.84848484848484,64.56728462120388,uptrend,risk_on,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,60.19709923484272
13,17,17,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,2026-04-09,2019-12-11,1526,4.43,0.6818181818181612,34.24242424242425,8.312958435207829,5.2256532066508266,21.510160728910744,-20.275673549377913,3.258750459819537,2.2097755627493054,22.981913267834592,3.7947161859864535,37.16557600810603,-6.736842105263163,9.791666666666556,63577765.2,True,True,0.7878787878787878,0.303030303030303,0.2424242424242424,0.3939393939393939,0.5745478316958648,0.2121212121212121,0.5757575757575758,0.7878787878787878,67.55761141483191,47.272727272727266,61.47214617220052,strong_uptrend,neutral_up,not_available_in_local_price_dataset,,,50.0,imputed_neutral_50,58.03050232054036
