rebalance_date,selection_date,rank,symbol,holding_name,score,ret_3m,ret_6m,median_daily_value,median_daily_volume,coverage_ratio,score_momentum,score_value,score_quality,score_low_risk,score_liquidity,has_fundamentals,fundamental_period_end,fundamental_filing_date,net_income_ttm,earnings_yield,pe_ratio,book_to_price,pb_ratio,roe,roa,cash_conversion,leverage_inverse,revenue_growth,net_income_growth,positive_earnings_count_4p,margin_stability_4p,fundamental_row_age_days,target_weight
2016-01-03,2015-12-31,5,GBCO,GB Corp,0.45555555555555555,0.14193548387096766,-0.2236842105263157,3965275.02,1227342.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-01-03,2015-12-31,6,EFID,Edita Food Industries (EDITA),0.45555555555555555,-0.0024405125076265577,0.18822674418604657,1725975.36,102084.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-01-03,2015-12-31,7,HRHO,EFG Holding,0.34444444444444444,0.0921787709497206,-0.28649635036496357,19191944.08,5295188.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-01-03,2015-12-31,8,OIH,Orascom Investment Holding,0.3333333333333333,0.014981273408239737,-0.19345238095238093,134764445.27,54568408.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-01-03,2015-12-31,9,COMI,Commercial International Bank-Egypt (CIB),0.2111111111111111,-0.10330578512396704,-0.1784748512709572,71862563.2,4571752.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-02-01,2016-01-31,1,EGCH,Egyptian Chemical Industries (KIMA),1.0,-0.03448275862068961,-0.1457627118644068,1485809.2,640435.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,1,EGCH,Egyptian Chemical Industries (KIMA),0.95,0.19396551724137945,0.20960698689956336,2019542.4,861141.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,2,PHDC,Palm Hills Development Company,0.8833333333333333,0.09000000000000008,0.2823529411764707,27322263.22,13466266.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,3,ETEL,Telecom Egypt,0.6166666666666666,0.05797101449275366,0.012326656394453073,5951407.04,950704.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,4,RAYA,Raya Holding For Financial Investments,0.5499999999999999,0.0,0.11111111111111116,108276.0,1082760.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,5,EAST,Eastern Company,0.2833333333333333,-0.08049535603715163,-0.16338028169014074,2501711.19,918303.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-03-02,2016-02-28,6,ORWE,Oriental Weavers,0.21666666666666665,-0.12456747404844304,-0.1394557823129252,925524.3500000001,208485.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,1,BFTH,Beltone Holding,1.0,3.0569105691056917,4.606741573033708,162366.56,111037.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,2,EGCH,Egyptian Chemical Industries (KIMA),0.8818181818181818,0.3374485596707819,0.35416666666666674,4052456.46,1465961.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,3,ETEL,Telecom Egypt,0.7363636363636364,0.2906249999999999,0.1766381766381766,7630959.93,1158946.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,4,PHDC,Palm Hills Development Company,0.7181818181818181,0.15021459227467804,0.46448087431693996,29310559.680000003,14544370.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,5,EAST,Eastern Company,0.5909090909090909,0.16546762589928066,-0.04705882352941171,3558522.24,1373065.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,6,OIH,Orascom Investment Holding,0.5181818181818182,0.14615384615384608,0.11610486891385774,135978335.86,58016591.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,7,HRHO,EFG Holding,0.509090909090909,0.14578005115089532,0.23756906077348083,21636454.2,6734699.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,8,HELI,Heliopolis Housing,0.40909090909090906,0.03649635036496335,0.2678571428571428,2966305.92,844500.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,9,EFID,Edita Food Industries (EDITA),0.36363636363636365,0.05444646098003614,0.08937499999999998,976403.8200000001,58926.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-04-04,2016-03-30,10,AMOC,Alexandria Mineral Oils Company,0.15454545454545454,0.029940119760479167,-0.27118644067796605,1576825.6500000001,971160.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,1,BFTH,Beltone Holding,1.0,4.353448275862069,6.056818181818182,542475.12,201383.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,2,COMI,Commercial International Bank-Egypt (CIB),0.8272727272727272,0.42146803472770333,0.06947743467933498,70296657.24000001,4916021.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,3,HRHO,EFG Holding,0.790909090909091,0.41324921135646697,0.1200000000000001,28782287.75,7917875.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,4,EGCH,Egyptian Chemical Industries (KIMA),0.6545454545454545,0.23809523809523814,0.1954022988505748,2475468.16,919692.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,5,TMGH,T M G Holding,0.6454545454545455,0.30019493177387924,-0.0176730486008837,31007525.0,5535783.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,6,OIH,Orascom Investment Holding,0.5,0.2805429864253395,-0.08414239482200636,159310267.89,58016591.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,7,HELI,Heliopolis Housing,0.4363636363636364,0.2005649717514124,0.18055555555555558,4887052.56,1184496.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
