rebalance_date,warning,symbols
2020-11-16,selected_without_fundamentals,"FWRY,GBCO,MCQE,HELI,ORWE"
2020-12-16,selected_without_fundamentals,"FWRY,ABUK,ORWE,GBCO,TMGH,HELI,ORAS,ORHD,EGCH,MCQE"
2021-01-04,selected_without_fundamentals,"GBCO,FWRY,ORHD,AMOC,MCQE,ORAS,ADIB,ABUK,EAST,OIH"
2021-02-02,selected_without_fundamentals,"ABUK,ORHD,MCQE,AMOC,GBCO,ORAS,FWRY,EGAL,EAST,HRHO"
2021-03-01,selected_without_fundamentals,"FWRY,GBCO,EAST,ORHD,PHDC,ORAS,EGAL,HRHO,VLMR"
2021-04-01,selected_without_fundamentals,"VLMR,ORWE,ABUK"
2021-06-01,selected_without_fundamentals,EGAL
2021-07-04,selected_without_fundamentals,"EGAL,AMOC"
2021-08-01,selected_without_fundamentals,"EGAL,AMOC"
2021-09-01,selected_without_fundamentals,"EGAL,AMOC,EGCH"
2021-10-03,selected_without_fundamentals,EGAL
2021-11-01,selected_without_fundamentals,EGAL
2022-02-01,selected_without_fundamentals,ABUK
2022-03-01,selected_without_fundamentals,"EGAL,ABUK"
