family,number,value,param_core_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_cci_threshold,param_sleeve_ladder,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_tactical_overlay,0,-0.08464092845851967,0.75,28,2,26,11,45.0,100_50_0,30,4.4,1.2000000000000002,2.6881435109478153,0.6042367537693835,1.9909457224105211,5.0,0.2418672572581193,3.81182728650828,4.0,0.601214047268024,-0.0607661277095114,345117.47447591263,2.176054130315254,0.32232296561029283,1.7455925223371418,inf,0.11633953261105812,2.77053687922119,1.0,0.47736347730227013,-0.08464092845851967,0.5620044057607898,398123.8143334501
dca_tactical_overlay,1,-0.06384895999082518,0.8,26,3,31,28,5.0,100_25_0,25,1.8,2.3,2.6295688987375576,0.6318255938590536,1.9737966440676677,5.0,0.26213017812927064,3.6511732517820388,4.0,0.628630001405345,-0.033350173572190334,350699.21270191506,2.1761785236312803,0.3356195408975924,1.7443552153626911,inf,0.12162483351767395,2.7594655728661017,1.0,0.4981554457699646,-0.06384895999082518,0.5620044057607898,402855.80653416004
dca_tactical_overlay,2,-0.06239761918772446,0.8,15,2,58,39,40.0,100_25_0,17,1.5,2.2,2.664090336146003,0.6341346640134069,2.0078808375010193,5.0,0.25349770323074416,3.7229654735594164,4.0,0.6309310579215546,-0.031049117055980846,350004.53803695255,2.1829970010543094,0.3365457166961028,1.763951257584081,inf,0.1215696199137577,2.768337327490623,1.0,0.49960678657306534,-0.06239761918772446,0.5620044057607898,402249.80410485005
dca_tactical_overlay,3,-0.053734644453683034,0.75,30,3,41,26,10.0,100_60_20,28,3.4000000000000004,3.8000000000000003,2.6475714312033096,0.6399780002409277,1.984229621146632,5.0,0.2640193433357727,3.6861649219601555,4.0,0.6367343669682053,-0.025245808009330073,352228.124939095,2.182966818593997,0.3420687251615826,1.7608580938996936,inf,0.12373644359266955,2.7644945598052373,1.0,0.5082697613071068,-0.053734644453683034,0.5620044057607898,404638.74538798
dca_tactical_overlay,4,-0.06251915042194311,0.75,20,3,31,35,15.0,100_50_0,26,1.3,4.0,2.700402777075565,0.6318356833513623,1.9998158794291063,5.0,0.25695697256170946,3.818490669423865,4.0,0.6286500821913416,-0.03333009278619381,349559.71207867004,2.214163774057733,0.33646817108789717,1.7636185930005934,inf,0.11820632296949474,2.846448164830648,1.0,0.4994852553388467,-0.06251915042194311,0.5620044057607898,403105.1304767601
dca_tactical_overlay,5,-0.0750239687200922,0.7,35,4,49,33,0.0,100_25_0,21,2.3,0.7,2.716973612585688,0.6094525377725046,1.9427536593876396,5.0,0.24457108816981254,3.8980711273632314,4.0,0.6063962267550174,-0.055583948222518,345569.4975471676,2.189231827204673,0.3284796262657439,1.7483313055052851,inf,0.11744117713948765,2.796971507494351,1.0,0.4869804370406976,-0.0750239687200922,0.5620044057607898,400442.4699692101
dca_tactical_overlay,6,-0.08090144334387017,0.8,29,5,39,13,35.0,100_25_0,18,3.1,2.0,2.7089991805969413,0.6384045187695753,2.021146338865017,5.0,0.2592088635156832,3.827068399003819,4.0,0.6351698390949956,-0.026810335882539726,350833.1940943426,2.1291342323239473,0.32471828737925446,1.719634014537481,inf,0.12203605035560383,2.6608390425046524,1.0,0.48110296241691963,-0.08090144334387017,0.5620044057607898,398064.82186958013
dca_tactical_overlay,7,-0.054848618417854045,0.75,29,3,40,38,10.0,100_50_0,8,2.1,1.0,2.687707980067106,0.6223069537360421,1.965353520952779,5.0,0.24505511360245547,3.8068116632122795,4.0,0.6191691338982317,-0.042811041079303724,348168.8879298925,2.2771423340825416,0.341359026111022,1.8041178032145446,inf,0.11438325867699917,2.984344300549853,1.0,0.5071557873429358,-0.054848618417854045,0.5620044057607898,405088.78847119
dca_tactical_overlay,8,-0.08184267104072962,0.7,37,5,27,37,25.0,100_50_0,9,1.9,2.0,2.6671769424792284,0.6258129220229134,1.9738803025853056,5.0,0.25989925290633675,3.7496615555318784,4.0,0.6226570797185218,-0.03932309525901356,349283.97994377,2.119030058483089,0.3241155473028534,1.7005678952007521,inf,0.12261938834750363,2.643265079616196,1.0,0.4801617347200602,-0.08184267104072962,0.5620044057607898,398569.1239390902
dca_tactical_overlay,9,-0.06430390177485434,0.75,25,3,29,13,15.0,100_60_20,23,2.4000000000000004,3.9000000000000004,2.743544714482682,0.652352582901967,2.0349073332681895,5.0,0.26529991791369323,3.897830880483305,4.0,0.6490376321649143,-0.012942542812621138,353085.15451346507,2.189957460816136,0.335329166497238,1.7524849642856501,inf,0.12014129959734299,2.7911231826283163,1.0,0.49770050398593546,-0.06430390177485434,0.5620044057607898,403092.80892902
