family,symbols_evaluated,stock_pass_rate,stock_median_holdout_excess_return_vs_dca,stock_mean_holdout_excess_return_vs_dca,stock_median_holdout_cagr,stock_median_holdout_max_drawdown,stock_median_wf_excess_return_vs_dca
blackcat_cci_rsi,31,0.0967741935483871,-2.8366523646624544,-3.614572986446807,0.0019064703452504883,0.31767444846837756,-0.13209621089484486
blackcat_dynamic_momentum,31,0.12903225806451613,-2.374451083593703,-3.317823904804456,0.07678596877190369,0.2146636602528521,-0.15725418096884275
blackcat_ichimoku,31,0.12903225806451613,-1.8804241679547657,-2.6339902957432306,0.16540125382842907,0.33151310896613295,-0.08835315426318541
blackcat_multi_bbands,31,0.0967741935483871,-3.0074559249038963,-3.6461998785758842,-0.0033402645792736108,0.23556374878273478,-0.1824321878208117
blackcat_ravi,31,0.06451612903225806,-2.163905878946733,-2.9498015256760093,0.12190973325713883,0.39287494636868037,-0.0893897707592174
blackcat_superj,31,0.0967741935483871,-2.984471402485742,-3.6589408348059806,-0.0007915114863893402,0.0878419922617566,-0.18244047971797078
blackcat_zlema_band,31,0.0967741935483871,-2.3860809595243637,-3.1193797462366057,0.0882652092979046,0.3255755453472803,-0.05585758334177252
