symbol,family,bars,window_scheme,wf_score,wf_excess_return_vs_dca,wf_max_drawdown,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_final_equity,holdout_pass
ABUK,blackcat_dynamic_momentum,5805,primary,0.3991453631838967,-0.16843014644351778,0.22823990255447246,-2.047369399433645,0.2096852383427259,1.1376370879117186,0.30175858770182606,1061619.3757401514,0.0
ABUK,blackcat_multi_bbands,5805,primary,0.3981900843315908,0.1126603130263309,0.2656733366595724,-3.534429978453897,-0.019149581830161688,-0.08410286088451234,0.28223102555773694,760532.688514661,0.0
ABUK,blackcat_zlema_band,5805,primary,0.6710359904500014,0.26728854340379676,0.32256241939157027,-2.07126961998281,0.20706005575817943,0.8971184183740524,0.3593347047182135,1230530.656956843,0.0
ABUK,blackcat_ichimoku,5805,primary,0.15607519229365938,-0.2331854441118584,0.8888352107211588,-1.8804241679547657,0.22747352341768856,0.8761481605920041,0.32796973094224335,1369185.2667229609,0.0
ABUK,blackcat_ravi,5805,primary,0.21933947094640988,-0.15644925363102521,0.8862087307107084,-2.7511652364628834,0.12190973325713883,0.5403324004351955,0.6155324209024049,903609.7972107712,0.0
ABUK,blackcat_cci_rsi,5805,primary,0.40439196085343476,-0.1627806089467301,0.310606581702748,-2.8366523646624544,0.10939072243875692,0.6079104444499533,0.3103012648362308,867579.1709740136,0.0
ABUK,blackcat_superj,5805,primary,0.2826595252595989,-0.14615538386304577,0.13408678305391009,-3.437009136145032,0.0026513228858981996,0.08095957932251475,0.13308315749551924,708725.5266318701,0.0
ADIB,blackcat_dynamic_momentum,5936,primary,0.508239167911164,-0.21204604356282078,0.30033902238363297,-4.941448542727162,0.02498949983676524,0.22576638279712108,0.326889878646372,810947.5153057013,0.0
ADIB,blackcat_multi_bbands,5936,primary,0.184005377703713,-0.24651501399352144,0.2888835921954418,-4.720040490705577,0.06493351882271936,0.5101247221123772,0.16278116459929826,880260.5637492827,0.0
ADIB,blackcat_zlema_band,5936,primary,0.5049427886536095,-0.20902667442327788,0.3772155205341766,-3.26920093288759,0.24411589459407645,0.9769031785703614,0.3010361261964849,1286477.5550104927,0.0
ADIB,blackcat_ichimoku,5936,primary,0.6081850660032966,-0.11564850590589505,0.5140617490163825,-4.180815500820517,0.14403610076966067,0.578355750790237,0.4903850735240285,1035416.7057573709,0.0
ADIB,blackcat_ravi,5936,primary,0.30312630531414014,-0.1691502440717924,0.5168910218256222,-4.192937872788502,0.14246787462525057,0.5777605407664453,0.548791003890671,904664.7560725812,0.0
ADIB,blackcat_cci_rsi,5936,primary,0.3294138215267258,-0.23719187953006013,0.35842554186347253,-4.643063678715174,0.0776052336289812,0.4661514912678165,0.216922398322847,847211.0656505931,0.0
ADIB,blackcat_superj,5936,primary,0.44398177004357914,-0.18244047971797078,0.114726152933877,-5.071250582887015,-0.0014107519619814823,0.03530607490600127,0.19511009524722323,666262.7071590702,0.0
AMOC,blackcat_dynamic_momentum,4958,primary,-0.007451636597217555,-0.22494395266326336,0.17564555904539692,-0.741827842623014,0.11007138868362043,0.6086999410106613,0.22220095047870625,765445.0180533109,0.0
AMOC,blackcat_multi_bbands,4958,primary,0.8056201400709445,-0.1450495584728773,0.18501853987339445,-1.2062296271908206,0.010718861561491932,0.1461751624916203,0.3007295274263909,652854.8783451307,0.0
AMOC,blackcat_zlema_band,4958,primary,0.14810434556045013,-0.18424605722146592,0.2976674011280336,-1.5272547411026882,-0.0796499671551183,-0.2817099037607635,0.38023249347275134,570538.2296543915,0.0
AMOC,blackcat_ichimoku,4958,primary,0.1794291250836572,-0.17237986152491144,0.3112258814553106,-1.2813427189637032,-0.008332558797336187,0.08739808592527519,0.4738995800378438,528647.9000494814,0.0
AMOC,blackcat_ravi,4958,primary,0.42380458547511574,-0.12900836623478978,0.2513090252090743,-1.4662074365594158,-0.06043042245185004,-0.10613658895596835,0.5583573886774427,486459.54124535044,0.0
AMOC,blackcat_cci_rsi,4958,primary,0.1834699034049898,-0.21106357429508546,0.9168057440166877,-1.1850636338694154,0.015901895262120158,0.17740758530355324,0.2740539752013226,641496.2062881914,0.0
AMOC,blackcat_superj,4958,primary,0.23212025377866183,-0.18111955370788949,0.05117954367564714,-1.2521108469753037,-0.0007915114863893402,0.004844147825718976,0.06472397006632258,609600.47762937,0.0
ARCC,blackcat_dynamic_momentum,2871,primary,1.0612073305417353,0.013311683873230592,0.14600743060530708,-4.025501550783294,0.3778463952865285,1.42854198508329,0.2355996576822582,768426.2691396404,0.0
ARCC,blackcat_multi_bbands,2871,primary,-0.2114833660828462,-0.08880368058666861,0.19583655856234072,-4.741755737925412,0.14344606782497782,0.7532282139370644,0.20354440442123023,532335.8630346609,0.0
ARCC,blackcat_zlema_band,2871,primary,0.2818800426764819,-0.02238034501268343,0.21310530321218313,-3.757249571735067,0.4536084036008745,1.159408459523521,0.4105119873939026,770255.5354044511,0.0
ARCC,blackcat_ichimoku,2871,primary,0.40211577859128345,0.019736246935684622,0.38775082379413894,-3.196842279164202,0.5975019483090787,1.4229289076214269,0.3097611669483492,914429.3802569105,0.0
ARCC,blackcat_ravi,2871,primary,0.054398212879546555,-0.06128003701390738,0.27932535871171316,-4.210872526084166,0.32222499506419,0.9188289484142673,0.23715274019987043,628163.6354892404,0.0
ARCC,blackcat_cci_rsi,2871,primary,0.4014484418406666,-0.022582959128903058,0.21590618718630683,-4.587788781217515,0.19881538353071626,0.7522969704033671,0.46650235126932293,656482.0499384509,0.0
ARCC,blackcat_superj,2871,primary,-0.004872801841308171,-0.04872801841308169,0.0,-5.098104513787705,0.0,0.0,0.0,400000.0,0.0
BFTH,blackcat_dynamic_momentum,3304,primary,1.1122844473832545,0.33930570909051777,0.7120855039159258,0.1289059087493697,-0.0553134427186075,-0.27345290883661677,0.31217201744131484,377830.1520853502,1.0
BFTH,blackcat_multi_bbands,3304,primary,-0.13246454729554483,-0.24762773351232917,0.21376759930963485,-0.12351641902005162,-0.17258315756003229,-2.410728092614294,0.4073109971617421,347539.8633695106,0.0
BFTH,blackcat_zlema_band,3304,primary,1.683999725791322,0.38088624279212685,0.21677989512456353,0.13370162968838684,-0.053306492763844804,-0.2984684978608522,0.30120348810082254,435528.8170007706,1.0
BFTH,blackcat_ichimoku,3304,primary,1.0041867660235004,0.14800053120392367,0.433480966878932,0.03487312378191765,-0.0961450359747591,-0.23038445043960543,0.5032580760212813,490100.3583471102,1.0
BFTH,blackcat_ravi,3304,primary,0.7419959219737714,0.12092363335584912,0.6835823966347485,-0.18431016134212097,-0.20518043185320256,-0.7518126330647872,0.5821254152979914,406068.1289033302,0.0
BFTH,blackcat_cci_rsi,3304,primary,0.7868893847098541,-0.10382931122145503,0.18595715800901824,0.004727249721973692,-0.1098852847071774,-0.5320138539341084,0.31767444846837756,396468.7348102613,1.0
BFTH,blackcat_superj,3304,primary,0.36781345649849606,-0.19825994337429742,0.6783764996779837,0.6480735088560212,0.1313537557012152,0.8747459045232513,0.09826411889388709,481813.1144761299,1.0
CCAP,blackcat_dynamic_momentum,3930,primary,0.24050961659218514,-0.01899987925273393,0.17958684145651205,-0.8489370132004235,0.04799997008459567,0.34227882718529656,0.24598699293291948,597394.3567801403,0.0
CCAP,blackcat_multi_bbands,3930,primary,0.845190387462691,-0.0042872915690786864,0.12024881706841928,-0.8741038273149249,0.040628954640142156,0.3819661413410174,0.21710840872304427,621287.6721686409,0.0
