family,number,value,param_zlema_len,param_band_mult,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_zlema_band,0,1.6747115575059295,52,0.7,163,2.4000000000000004,1.7000000000000002
blackcat_zlema_band,1,1.8816561065103705,41,1.3,114,3.0,3.0
blackcat_zlema_band,2,1.9174059780929094,58,1.4,117,1.4,1.2000000000000002
blackcat_zlema_band,3,1.5908359735112807,58,2.4000000000000004,183,3.6,1.2000000000000002
blackcat_zlema_band,4,2.3173197394208027,42,0.7,121,4.5,1.4
blackcat_zlema_band,5,1.6535574969666185,43,2.3,76,3.3000000000000003,1.0
blackcat_zlema_band,6,2.1488059359986815,18,0.7,84,2.8,3.3000000000000003
blackcat_zlema_band,7,1.945390723631058,60,2.1,110,3.1,0.7
blackcat_zlema_band,8,1.7309759675590546,46,0.6,183,3.9000000000000004,3.5
blackcat_zlema_band,9,1.340034746304533,46,1.9000000000000001,190,4.6,0.8
blackcat_zlema_band,10,2.178064697506176,26,1.1,144,5.0,2.4000000000000004
blackcat_zlema_band,11,2.629033352900767,29,1.1,148,5.0,2.4000000000000004
blackcat_zlema_band,12,2.356662754391431,30,1.0,143,4.300000000000001,2.2
blackcat_zlema_band,13,1.9872981346299787,32,1.1,145,4.2,2.2
blackcat_zlema_band,14,0.6784182683698892,21,1.7000000000000002,153,5.0,2.6
blackcat_zlema_band,15,2.3464968566780495,32,1.0,57,4.1,1.9000000000000001
blackcat_zlema_band,16,2.4413415229201467,11,1.5,168,2.1,2.8000000000000003
blackcat_zlema_band,17,2.15846848467538,10,1.6,163,1.7000000000000002,4.0
blackcat_zlema_band,18,1.8869117853390456,10,1.8,173,2.3,2.8000000000000003
blackcat_zlema_band,19,2.2665100118447596,17,1.3,133,1.0,3.3000000000000003
blackcat_zlema_band,20,1.943173858039994,26,1.5,199,2.1,3.7
blackcat_zlema_band,21,2.070885952622095,36,0.9,132,4.7,2.1
blackcat_zlema_band,22,2.1027986141616335,26,1.2000000000000002,161,3.8000000000000003,2.9000000000000004
blackcat_zlema_band,23,1.5464823826207739,35,0.9,139,2.6,2.5
blackcat_zlema_band,24,1.2718188458853583,16,0.5,99,1.9,2.0
blackcat_zlema_band,25,1.530657674626287,22,1.4,150,4.300000000000001,1.7000000000000002
blackcat_zlema_band,26,2.6880243768184195,29,0.9,174,3.5,2.7
blackcat_zlema_band,27,1.8896250827846055,14,0.9,173,3.4000000000000004,2.7
blackcat_zlema_band,28,0.6532189899831907,37,2.0,174,1.5,3.1
blackcat_zlema_band,29,1.2219284827196066,23,1.6,156,2.5,2.4000000000000004
blackcat_zlema_band,30,1.9904009769778166,52,0.8,198,2.2,1.8
blackcat_zlema_band,31,2.327250365593275,31,1.1,165,4.800000000000001,2.3
blackcat_zlema_band,32,2.4875293171747597,30,1.2000000000000002,170,3.9000000000000004,3.1
blackcat_zlema_band,33,2.4486098898105313,27,1.3,178,3.6,3.0
blackcat_zlema_band,34,2.6738636360226593,28,1.3,182,3.6,3.1
blackcat_zlema_band,35,2.636962910579453,29,1.2000000000000002,189,3.1,3.2
blackcat_zlema_band,36,0.9168095290741115,39,1.3,189,3.1,3.4000000000000004
blackcat_zlema_band,37,1.753827995236787,34,0.8,189,3.4000000000000004,3.8000000000000003
blackcat_zlema_band,38,2.0568385092629384,20,1.2000000000000002,181,2.8,1.5
blackcat_zlema_band,39,2.0776721951429575,28,1.4,195,2.9000000000000004,3.6
blackcat_zlema_band,40,2.0844733450593766,23,0.7,160,3.6,3.2
blackcat_zlema_band,41,2.4776565282928362,28,1.2000000000000002,186,3.9000000000000004,3.1
blackcat_zlema_band,42,2.0930846115685537,30,1.0,169,3.2,2.6
blackcat_zlema_band,43,1.2039619770402925,33,1.2000000000000002,180,3.7,2.9000000000000004
blackcat_zlema_band,44,1.0535613303710505,39,1.1,192,3.4000000000000004,3.4000000000000004
blackcat_zlema_band,45,1.9679352880051433,24,2.5,151,4.0,3.2
blackcat_zlema_band,46,1.943096137271967,30,1.4,177,4.5,3.0
blackcat_zlema_band,47,2.2789639435846922,25,1.0,121,3.0,2.6
blackcat_zlema_band,48,2.113983790558992,30,0.8,183,4.4,3.5
blackcat_zlema_band,49,2.2235554456462348,20,0.6,167,2.7,2.8000000000000003
