family,number,value,param_fast_len,param_slow_len,param_bias_len,param_ravi_entry,param_atr_stop,param_atr_trail
blackcat_ravi,32,3.3559966324193957,9,38,134,1.7000000000000002,3.1,2.6
blackcat_ravi,33,3.237136552689589,11,37,121,1.3,3.7,3.2
blackcat_ravi,34,3.493481993920164,8,42,147,2.4000000000000004,2.9000000000000004,3.5
blackcat_ravi,35,3.346484894215557,10,32,145,2.0,3.1,2.7
blackcat_ravi,36,3.5044349464452935,7,44,166,1.8,2.7,2.0
blackcat_ravi,37,2.894379785018365,12,56,124,2.7,3.7,2.6
blackcat_ravi,38,1.6922410390853126,10,40,152,1.6,2.3,0.5
blackcat_ravi,39,2.473535191610486,9,33,126,0.8,3.3000000000000003,1.5
blackcat_ravi,40,1.979474395867312,11,37,187,4.300000000000001,3.3000000000000003,2.2
blackcat_ravi,41,3.34145625914946,14,36,239,1.4,1.2,2.5
blackcat_ravi,42,3.2545549247686285,13,31,142,1.3,1.8,2.1
blackcat_ravi,43,2.8518510336253113,12,39,164,1.9000000000000001,3.0,2.8000000000000003
blackcat_ravi,44,3.7573047341670787,7,41,227,1.6,1.3,2.4000000000000004
blackcat_ravi,45,3.5068775142348816,6,47,227,1.7000000000000002,3.7,3.0
blackcat_ravi,46,3.6460005955844528,7,41,213,1.2000000000000002,1.4,3.4000000000000004
blackcat_ravi,47,3.9764726706560847,7,45,174,0.7,1.2,2.8000000000000003
blackcat_ravi,48,3.669291085931126,6,30,179,0.9,1.0,3.0
blackcat_ravi,49,3.578490613462227,9,45,171,0.8,1.6,2.8000000000000003
blackcat_ravi,50,2.9365453182031183,5,52,194,0.7,2.6,3.2
blackcat_ravi,51,3.5238049948938555,7,49,133,1.1,1.2,2.6
blackcat_ravi,52,3.5879163789674626,8,41,160,1.5,1.3,2.3
blackcat_ravi,53,3.316961518415363,7,52,220,1.9000000000000001,1.8,2.9000000000000004
blackcat_ravi,54,3.5470519249392503,16,45,204,1.1,1.0,2.7
blackcat_ravi,55,3.888537978236365,5,43,116,1.6,1.5,1.8
blackcat_ravi,56,2.459137128552944,5,43,106,2.5,1.5,1.7000000000000002
blackcat_ravi,57,3.248780059660961,6,33,116,0.7,3.5,1.8
blackcat_ravi,58,2.8869450384013167,6,37,113,2.1,2.3,1.3
blackcat_ravi,59,2.5360361709504073,10,27,138,3.5,3.9000000000000004,2.1
blackcat_ravi,60,3.8955935591138307,5,46,152,1.2000000000000002,3.2,2.5
blackcat_ravi,61,3.8536649870426083,5,46,151,1.0,3.3000000000000003,2.5
blackcat_ravi,62,3.65803645572265,5,47,152,1.0,3.4000000000000004,2.5
blackcat_ravi,63,3.167982524662553,5,46,183,1.2000000000000002,2.8,1.0
blackcat_ravi,64,3.6559882716723,5,43,173,0.7,4.4,2.2
blackcat_ravi,65,2.2655640478516466,19,51,101,1.0,3.2,2.3
blackcat_ravi,66,3.5030749667289722,6,49,160,0.6,3.5,1.9000000000000001
blackcat_ravi,67,3.978585432490953,6,47,150,1.2000000000000002,1.7000000000000002,2.5
blackcat_ravi,68,3.1271454481750993,6,54,129,1.5,1.7000000000000002,2.8000000000000003
blackcat_ravi,69,3.6378478721355156,8,44,165,1.7000000000000002,1.9,3.1
blackcat_ravi,70,3.7115427266066847,7,48,176,1.3,1.5,2.1
blackcat_ravi,71,3.8262100717818157,5,46,154,0.9,2.9000000000000004,2.5
blackcat_ravi,72,3.9738478832616417,6,46,147,1.2000000000000002,1.6,2.6
blackcat_ravi,73,4.182408045799084,6,44,147,1.2000000000000002,2.0,2.6
blackcat_ravi,74,3.9895631576148287,7,44,146,1.2000000000000002,1.6,2.7
blackcat_ravi,75,3.9888715224129347,6,44,143,1.2000000000000002,1.6,2.9000000000000004
blackcat_ravi,76,3.8659167037013025,7,44,143,1.2000000000000002,1.6,2.9000000000000004
blackcat_ravi,77,3.917888687167647,6,47,148,0.6,1.7000000000000002,2.7
blackcat_ravi,78,3.5977165938390274,8,49,146,0.5,1.7000000000000002,2.7
blackcat_ravi,79,3.5077392291904914,6,42,140,0.9,2.0,3.1
