family,number,value,param_fast_len,param_slow_len,param_bias_len,param_ravi_entry,param_atr_stop,param_atr_trail
blackcat_ravi,0,2.2795572106702613,18,46,137,3.9000000000000004,2.2,3.8000000000000003
blackcat_ravi,1,2.799028624514488,5,38,237,2.5,3.0,0.8
blackcat_ravi,2,2.682871827213585,12,50,230,1.9000000000000001,1.4,3.3000000000000003
blackcat_ravi,3,1.6307731082589092,11,45,105,1.8,1.1,1.8
blackcat_ravi,4,2.727255293708643,9,60,159,1.9000000000000001,1.9,2.2
blackcat_ravi,5,3.1797267738175123,5,31,135,4.9,3.5,3.6
blackcat_ravi,6,2.3117811882699177,6,26,201,5.0,1.0,3.7
blackcat_ravi,7,2.6782664481613083,5,50,109,1.6,1.6,1.2000000000000002
blackcat_ravi,8,1.6263503673307482,6,41,100,4.1,1.5,0.8
blackcat_ravi,9,3.3069854408385675,12,28,226,0.5,1.6,3.0
blackcat_ravi,10,3.197460557145576,17,22,208,0.5,4.6,2.9000000000000004
blackcat_ravi,11,3.2957225326718955,17,20,205,0.5,4.4,2.9000000000000004
blackcat_ravi,12,2.802392770600237,15,20,198,0.5,4.800000000000001,2.8000000000000003
blackcat_ravi,13,2.088285651032991,21,32,178,1.1,4.0,2.7
blackcat_ravi,14,3.1993750269137107,14,28,245,1.1,2.6,2.2
blackcat_ravi,15,2.065255315295534,17,35,220,2.7,4.1,3.1
blackcat_ravi,16,2.522083349083208,10,25,169,1.0,3.3000000000000003,1.8
blackcat_ravi,17,-0.06619801749775353,21,20,217,3.4000000000000004,2.4000000000000004,2.5
blackcat_ravi,18,2.851939709792413,19,29,193,0.5,4.1,3.3000000000000003
blackcat_ravi,19,2.745382099304517,15,24,184,1.3,5.0,4.0
blackcat_ravi,20,2.5992719004808533,8,35,248,2.3,2.8,1.7000000000000002
blackcat_ravi,21,3.493614091675064,14,29,247,0.9,2.5,2.3
blackcat_ravi,22,3.541993876848731,13,24,225,0.8,2.1,2.4000000000000004
blackcat_ravi,23,3.854956500117696,13,33,229,1.4,2.0,2.4000000000000004
blackcat_ravi,24,3.7133241429793493,13,35,237,1.4,2.1,2.4000000000000004
blackcat_ravi,25,2.645011464974675,13,34,233,1.5,2.1,1.4
blackcat_ravi,26,3.107219468498977,11,39,213,2.2,2.0,2.4000000000000004
blackcat_ravi,27,2.277396624951978,15,43,235,3.1,1.8,2.0
blackcat_ravi,28,3.855725092528643,13,33,219,1.4,2.9000000000000004,2.5
blackcat_ravi,29,3.9583652348695404,8,38,155,1.5,3.3000000000000003,2.6
blackcat_ravi,30,3.0778377893525364,8,48,156,2.1,3.5,2.0
blackcat_ravi,31,3.790111910751466,10,37,138,1.4,3.1,2.7
