family,number,value,param_bb_len,param_inner_mult,param_outer_mult,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_multi_bbands,0,0.04152788314931388,17,1.6,2.2,90,2.3,3.5
blackcat_multi_bbands,1,-0.4345478183396538,31,1.5,2.0,162,2.6,3.3000000000000003
blackcat_multi_bbands,2,1.4880589730133689,20,1.0,3.4000000000000004,87,2.6,1.6
blackcat_multi_bbands,3,0.5000911645874127,16,1.9,3.4000000000000004,196,2.5,3.9000000000000004
blackcat_multi_bbands,4,0.15941157326421523,26,1.7000000000000002,2.1,185,2.2,1.4
blackcat_multi_bbands,5,0.3122817123463853,14,1.5,2.8,147,5.0,3.7
blackcat_multi_bbands,6,-0.16701791184139916,38,1.5,2.1,81,4.9,1.9000000000000001
blackcat_multi_bbands,7,-0.1556987111906793,37,1.7000000000000002,3.0,95,4.6,1.2000000000000002
blackcat_multi_bbands,8,1.1829353235436404,24,2.0,3.2,119,3.2,1.9000000000000001
blackcat_multi_bbands,9,-0.07984412698207831,33,1.4,3.1,157,3.4000000000000004,2.4000000000000004
blackcat_multi_bbands,10,1.1276549192628456,21,1.0,3.6,59,1.0,0.5
blackcat_multi_bbands,11,1.4816354323993606,23,1.0,3.3,120,3.4000000000000004,2.5
blackcat_multi_bbands,12,1.7336142152194887,21,1.0,2.6,121,3.9000000000000004,2.5
blackcat_multi_bbands,13,0.8167362584247766,19,1.2,2.6,107,4.1,2.9000000000000004
blackcat_multi_bbands,14,0.15826053819687252,28,1.2,2.6,65,1.6,1.3
blackcat_multi_bbands,15,0.5814237227763833,21,1.2,2.4,143,4.0,2.8000000000000003
blackcat_multi_bbands,16,0.17966410587829568,28,1.1,2.9,131,4.0,1.9000000000000001
blackcat_multi_bbands,17,0.5836823994350708,19,1.3,2.7,104,1.8,3.0
blackcat_multi_bbands,18,0.9573358008449041,14,1.0,3.6,73,3.0,0.8
blackcat_multi_bbands,19,0.82389628305313,24,1.1,2.4,110,3.6,2.1
blackcat_multi_bbands,20,0.3917962554532412,21,1.3,2.4,86,2.9000000000000004,1.7000000000000002
blackcat_multi_bbands,21,1.4816354323993606,23,1.0,3.3,126,3.7,2.5
blackcat_multi_bbands,22,1.2704513861162472,18,1.1,3.4000000000000004,136,4.5,2.5
blackcat_multi_bbands,23,0.533474990027399,26,1.0,3.4000000000000004,120,2.8,2.2
