family,title,source_url,passed_filters,rank_score,neighbor_pass_rate,wf_excess_return_vs_dca,wf_max_drawdown,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,params,symbols_evaluated,stock_pass_rate,stock_median_holdout_excess_return_vs_dca,stock_mean_holdout_excess_return_vs_dca,stock_median_holdout_cagr,stock_median_holdout_max_drawdown,stock_median_wf_excess_return_vs_dca,overall_score
blackcat_ichimoku,[blackcat] L1 Ichimoku Cloud with Entry Signals,https://tr.tradingview.com/scripts/blackcat1402/,False,4.222146715139818,1.0,-0.07550204786214226,0.11884193386269148,-0.20754877016885387,0.24260073771771973,1.612962830297473,0.06844543070548315,"{'tenkan_len': 7, 'kijun_len': 34, 'senkou_b_len': 72, 'atr_stop': 3.2, 'atr_trail': 2.3}",31,0.12903225806451613,-1.8804241679547657,-2.6339902957432306,0.16540125382842907,0.33151310896613295,-0.08835315426318541,-0.5447092170422845
blackcat_ravi,[blackcat] L2 Range Action Verification Index (RAVI) with 3 SMA,https://tr.tradingview.com/scripts/blackcat1402/,False,4.182408045799084,1.0,-0.0483364051799689,0.12545594732655518,-0.2873664553273947,0.18972722616327764,1.3123062615260754,0.0935748498475022,"{'fast_len': 6, 'slow_len': 44, 'bias_len': 147, 'ravi_entry': 1.2000000000000002, 'atr_stop': 2.0, 'atr_trail': 2.6}",31,0.06451612903225806,-2.163905878946733,-2.9498015256760093,0.12190973325713883,0.39287494636868037,-0.0893897707592174,-0.6712783521230266
blackcat_zlema_band,[blackcat] L1 Zero-Lag EMA Band,https://tr.tradingview.com/scripts/blackcat1402/,False,2.878540301798137,1.0,-0.2521587565247068,0.15021203210354517,-0.3847631180837392,0.12391442434617206,0.9455000782350969,0.09931894093900007,"{'zlema_len': 43, 'band_mult': 0.5, 'trend_ma': 55, 'atr_stop': 3.5, 'atr_trail': 3.9000000000000004}",31,0.0967741935483871,-2.3860809595243637,-3.1193797462366057,0.0882652092979046,0.3255755453472803,-0.05585758334177252,-0.7746377618069021
blackcat_dynamic_momentum,[blackcat] L1 Dynamic Momentum Indicator,https://tr.tradingview.com/scripts/blackcat1402/,False,4.253246089536434,0.9333333333333333,-0.31116699669494546,0.07332959676151252,-0.49714062164406325,0.046020181032513374,0.725942318281113,0.029412918858717663,"{'stoch_len': 121, 'kd_smooth': 7, 'mom_fast': 14, 'mom_slow': 22, 'mom_signal': 9, 'trend_len': 127, 'atr_stop': 3.5, 'atr_trail': 2.5}",31,0.12903225806451613,-2.374451083593703,-3.317823904804456,0.07678596877190369,0.2146636602528521,-0.15725418096884275,-0.796391438262809
blackcat_cci_rsi,[blackcat] L3 CCI-RSI Combo,https://tr.tradingview.com/scripts/blackcat1402/,False,3.333953940758741,0.9285714285714286,-0.20106931102598136,0.08501859168599768,-0.5685826928546021,-0.004713868560150769,0.005762122861263232,0.11941391989209438,"{'cci_len': 31, 'rsi_len': 16, 'rsi_signal': 6, 'cci_entry': -40.0, 'cci_exit': 200.0, 'trend_ma': 183, 'atr_stop': 5.0, 'atr_trail': 0.7}",31,0.0967741935483871,-2.8366523646624544,-3.614572986446807,0.0019064703452504883,0.31767444846837756,-0.13209621089484486,-0.9672036076323373
blackcat_multi_bbands,[blackcat] L1 Dynamic Multi-Layer Bollinger Bands,https://tr.tradingview.com/scripts/blackcat1402/,False,1.7336142152194887,0.9090909090909091,-0.5288694599303294,0.13139170108104903,-0.45289632185007744,0.07695412215354347,1.167846228779022,0.043286924499360446,"{'bb_len': 21, 'inner_mult': 1.0, 'outer_mult': 2.6, 'trend_ma': 121, 'atr_stop': 3.9000000000000004, 'atr_trail': 2.5}",31,0.0967741935483871,-3.0074559249038963,-3.6461998785758842,-0.0033402645792736108,0.23556374878273478,-0.1824321878208117,-1.0064494115036982
blackcat_superj,[blackcat] L3 SuperJ,https://tr.tradingview.com/scripts/blackcat1402/,False,2.062507212897801,1.0,-0.5933014931430105,0.021514448957045795,-0.5620044057607898,0.0,0.0,0.0,"{'stoch_len': 33, 'kd_smooth': 2, 'j_smooth': 9, 'trigger_len': 4, 'trend_ma': 174, 'oversold': 13.0, 'atr_stop': 4.7, 'atr_trail': 1.5}",31,0.0967741935483871,-2.984471402485742,-3.6589408348059806,-0.0007915114863893402,0.0878419922617566,-0.18244047971797078,-1.012702252304759
