family,number,value,param_cci_len,param_rsi_len,param_rsi_signal,param_cci_entry,param_cci_exit,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_cci_rsi,68,2.866139019701114,39,16,6,-20.0,180.0,181,4.5,0.8
blackcat_cci_rsi,69,0.08576442485794222,36,16,6,-35.0,40.0,174,5.0,2.7
blackcat_cci_rsi,70,2.8911465582007168,40,15,6,-25.0,190.0,165,4.4,0.5
blackcat_cci_rsi,71,2.9661259146153,38,17,6,-35.0,190.0,187,4.5,0.9
blackcat_cci_rsi,72,2.8722051813325886,37,17,6,-40.0,185.0,184,4.6,1.0
blackcat_cci_rsi,73,1.7524671855848672,38,16,5,-25.0,195.0,171,4.4,0.8
blackcat_cci_rsi,74,3.099341325957309,35,18,6,-15.0,180.0,190,4.9,0.6
blackcat_cci_rsi,75,2.8941944663613812,35,20,6,-15.0,180.0,162,4.9,0.6
blackcat_cci_rsi,76,2.90798018331229,33,18,7,-50.0,195.0,191,5.0,1.1
blackcat_cci_rsi,77,1.705022035160837,35,14,5,-10.0,180.0,174,4.6,0.6
blackcat_cci_rsi,78,2.809791694650436,36,15,6,-5.0,185.0,158,4.7,0.8
blackcat_cci_rsi,79,3.2161314165096195,31,16,6,-30.0,195.0,183,1.0,0.6
