date,symbol,action,shares,price,value
2025-01-02,ISPH,SELL,5699.0,7.0,39893.0
2025-02-02,RMDA,SELL,110803.0,3.6,398890.8
2025-02-02,EAST,SELL,12545.0,29.13,365435.85
2025-02-02,JUFO,SELL,252.0,35.03,8827.56
2025-02-02,GBCO,BUY,973.0,16.75,16297.75
2025-02-02,EGAL,BUY,2473.0,152.9,378121.7
2025-02-02,FWRY,BUY,689.0,8.6,5925.4
2025-02-02,OIH,BUY,27447.0,0.54,14821.380000000001
2025-02-02,PHDC,BUY,9134.0,6.55,59827.7
2025-02-02,ARCC,SELL,2927.0,20.07,58744.89
2025-02-02,ORHD,BUY,1122.0,17.9,20083.8
2025-02-02,ISPH,BUY,3073.0,6.76,20773.48
2025-02-02,CCAP,BUY,138526.0,2.73,378175.98
2025-03-02,ISPH,SELL,55943.0,6.64,371461.51999999996
2025-03-02,FWRY,SELL,43974.0,8.0,351792.0
2025-03-02,PHDC,SELL,57737.0,6.25,360856.25
2025-03-02,JUFO,BUY,158.0,35.78,5653.24
2025-03-02,HRHO,BUY,15075.0,26.0,391950.0
2025-03-02,GBCO,BUY,546.0,16.95,9254.699999999999
2025-03-02,EGAL,BUY,8.0,157.98,1263.84
2025-03-02,RMDA,BUY,94903.0,4.13,391949.39
2025-03-02,ARCC,SELL,1801.0,23.0,41423.0
2025-03-02,OIH,BUY,53422.0,0.52,27779.440000000002
2025-03-02,ORHD,SELL,3319.0,22.01,73051.19
2025-03-02,ETEL,BUY,10021.0,38.0,380798.0
2025-03-02,CCAP,SELL,3835.0,2.91,11159.85
2025-04-03,JUFO,SELL,10954.0,33.0,361482.0
2025-04-03,ETEL,SELL,10021.0,35.3,353741.3
2025-04-03,HRHO,BUY,96.0,27.5,2640.0
2025-04-03,GBCO,SELL,2520.0,20.25,51030.0
2025-04-03,EGAL,SELL,90.0,174.5,15705.0
2025-04-03,HELI,BUY,38170.0,10.93,417198.1
2025-04-03,RMDA,SELL,83.0,4.4,365.20000000000005
2025-04-03,ARCC,BUY,1361.0,22.67,30853.870000000003
2025-04-03,OIH,SELL,121623.0,0.66,80271.18000000001
2025-04-03,ORHD,SELL,54.0,23.5,1269.0
2025-04-03,ISPH,BUY,47035.0,8.87,417200.44999999995
2025-04-03,CCAP,BUY,5769.0,2.97,17133.93
2025-05-04,EGAL,SELL,2391.0,171.1,409100.1
2025-05-04,CCAP,SELL,140460.0,2.84,398906.39999999997
2025-05-04,HELI,SELL,38170.0,11.15,425595.5
2025-05-04,HRHO,SELL,124.0,28.51,3535.2400000000002
2025-05-04,EAST,BUY,12256.0,35.0,428960.0
2025-05-04,GBCO,SELL,1417.0,22.36,31684.12
2025-05-04,FWRY,BUY,40242.0,10.66,428979.72000000003
2025-05-04,RMDA,SELL,4124.0,4.73,19506.52
2025-05-04,ARCC,SELL,483.0,23.94,11563.02
2025-05-04,OIH,BUY,8153.0,0.67,5462.51
2025-05-04,ORHD,BUY,120.0,24.0,2880.0
2025-05-04,ISPH,BUY,1658.0,8.81,14606.980000000001
2025-05-04,EMFD,BUY,48092.0,8.92,428980.64
2025-06-01,ARCC,SELL,17920.0,29.0,519680.0
2025-06-01,ORHD,SELL,17874.0,23.8,425401.2
2025-06-01,GBCO,SELL,19186.0,22.45,430725.7
2025-06-01,OIH,SELL,640280.0,0.84,537835.2
2025-06-01,HRHO,SELL,15047.0,31.33,471422.50999999995
2025-06-01,RMDA,SELL,90696.0,4.51,409038.95999999996
2025-06-01,ISPH,SELL,48693.0,9.3,452844.9
2025-06-01,EAST,SELL,12256.0,33.35,408737.60000000003
2025-06-01,FWRY,SELL,40242.0,11.41,459161.22000000003
2025-06-01,EMFD,SELL,48092.0,9.67,465049.64
2025-07-01,BFTH,BUY,123653.0,3.72,459989.16000000003
2025-07-01,MCQE,BUY,8723.0,52.73,459963.79
2025-07-01,ORAS,BUY,1389.0,331.0,459759.0
2025-07-01,GBCO,BUY,20086.0,22.9,459969.39999999997
2025-07-01,FWRY,BUY,38173.0,12.05,459984.65
2025-07-01,OIH,BUY,474218.0,0.97,459991.45999999996
2025-07-01,ARCC,BUY,12432.0,37.0,459984.0
2025-07-01,PHDC,BUY,51110.0,9.0,459990.0
2025-07-01,RAYA,BUY,146029.0,3.15,459991.35
2025-07-01,ISPH,BUY,50327.0,9.14,459988.78
2025-08-03,RAYA,SELL,146029.0,3.17,462911.93
2025-08-03,ISPH,SELL,50327.0,10.0,503270.0
2025-08-03,COMI,BUY,5410.0,94.1,509080.99999999994
2025-08-03,BFTH,BUY,27418.0,3.37,92398.66
2025-08-03,MCQE,SELL,2278.0,79.0,179962.0
2025-08-03,ORAS,SELL,96.0,393.99,37823.04
2025-08-03,GBCO,SELL,113.0,25.49,2880.37
2025-08-03,FWRY,BUY,1446.0,12.85,18581.1
2025-08-03,OIH,SELL,35329.0,1.16,40981.64
2025-08-03,ARCC,BUY,612.0,39.03,23886.36
2025-08-03,PHDC,BUY,10302.0,8.29,85403.57999999999
2025-08-03,EGCH,BUY,50126.0,10.15,508778.9
2025-09-01,BFTH,SELL,151071.0,3.07,463787.97
2025-09-01,PHDC,SELL,61412.0,7.71,473486.52
2025-09-01,COMI,SELL,159.0,96.51,15345.09
2025-09-01,MCQE,BUY,135.0,77.0,10395.0
2025-09-01,ORAS,SELL,26.0,400.0,10400.0
2025-09-01,EAST,BUY,13338.0,37.99,506710.62000000005
2025-09-01,GBCO,BUY,320.0,24.97,7990.4
2025-09-01,FWRY,SELL,1577.0,13.32,21005.64
2025-09-01,OIH,BUY,9533.0,1.13,10772.289999999999
2025-09-01,ARCC,SELL,84.0,39.1,3284.4
2025-09-01,EGCH,SELL,4102.0,11.01,45163.02
2025-09-01,ETEL,BUY,11134.0,45.5,506597.0
2025-10-01,GBCO,SELL,20293.0,22.4,454563.19999999995
2025-10-01,OIH,SELL,448422.0,1.12,502232.6400000001
2025-10-01,ARCC,SELL,12960.0,38.67,501163.2
2025-10-01,COMI,SELL,53.0,101.0,5353.0
2025-10-01,MCQE,BUY,640.0,72.7,46528.0
2025-10-01,EAST,SELL,1015.0,42.6,43239.0
2025-10-01,ORAS,SELL,17.0,420.05,7140.85
2025-10-01,EFID,BUY,26837.0,19.56,524931.72
2025-10-01,FWRY,SELL,1074.0,14.2,15250.8
2025-10-01,ETEL,SELL,841.0,51.0,42891.0
2025-10-01,EGCH,SELL,3206.0,12.26,39305.56
2025-10-01,ISPH,BUY,47462.0,11.06,524929.72
2025-11-02,FWRY,SELL,36968.0,14.6,539732.7999999999
2025-11-02,COMI,SELL,5198.0,105.49,548337.02
2025-11-02,ISPH,SELL,47462.0,11.22,532523.64
2025-11-02,HRHO,BUY,19920.0,28.15,560748.0
2025-11-02,MCQE,SELL,1223.0,93.51,114362.73000000001
2025-11-02,ORAS,SELL,56.0,470.0,26320.0
2025-11-02,EAST,BUY,141.0,44.99,6343.59
2025-11-02,EFID,SELL,3165.0,23.69,74978.85
2025-11-02,EGAL,BUY,2722.0,206.0,560732.0
2025-11-02,EFIH,BUY,39105.0,14.34,560765.7
2025-11-02,ARCC,BUY,12075.0,46.44,560763.0
2025-11-02,ETEL,BUY,900.0,50.1,45090.0
2025-11-02,EGCH,BUY,6776.0,11.3,76568.8
2025-12-01,EGCH,SELL,49594.0,10.8,535615.2000000001
2025-12-01,HRHO,SELL,19920.0,26.7,531864.0
2025-12-01,EFIH,SELL,39105.0,16.2,633501.0
2025-12-01,MCQE,SELL,1556.0,137.8,214416.80000000002
2025-12-01,ORAS,BUY,86.0,478.0,41108.0
2025-12-01,EAST,BUY,841.0,45.99,38677.590000000004
2025-12-01,EFID,BUY,2991.0,22.95,68643.45
2025-12-01,EGAL,BUY,353.0,199.0,70247.0
2025-12-01,ARCC,SELL,261.0,51.8,13519.8
2025-12-01,ETEL,SELL,1778.0,65.0,115570.0
2025-12-01,TMGH,BUY,8005.0,76.44,611902.2
2025-12-01,ADIB,BUY,23562.0,25.97,611905.14
2025-12-01,CCAP,BUY,165834.0,3.69,611927.46
2026-01-04,ORAS,SELL,1280.0,430.0,550400.0
2026-01-04,EAST,SELL,13305.0,37.1,493615.5
2026-01-04,MCQE,SELL,663.0,170.98,113359.73999999999
2026-01-04,EFID,SELL,3177.0,27.5,87367.5
2026-01-04,GBCO,BUY,23920.0,27.0,645840.0
2026-01-04,EGAL,SELL,332.0,235.5,78186.0
2026-01-04,EFIH,BUY,34930.0,18.49,645855.7
2026-01-04,ARCC,BUY,813.0,50.8,41300.399999999994
2026-01-04,ADIB,SELL,1961.0,29.9,58633.899999999994
2026-01-04,CCAP,BUY,5938.0,3.76,22326.879999999997
2026-02-01,EFID,SELL,23486.0,28.85,677571.1
2026-02-01,ARCC,SELL,12627.0,46.4,585892.7999999999
2026-02-01,CCAP,SELL,171772.0,3.36,577153.9199999999
2026-02-01,COMI,BUY,5181.0,134.0,694254.0
2026-02-01,MCQE,BUY,370.0,167.35,61919.5
2026-02-01,GBCO,SELL,1544.0,31.03,47910.32
2026-02-01,EGAL,BUY,199.0,236.0,46964.0
2026-02-01,EFIH,SELL,2859.0,21.65,61897.35
2026-02-01,ETEL,SELL,570.0,78.5,44745.0
2026-02-01,RAYA,BUY,154636.0,4.49,694315.64
2026-02-01,TMGH,BUY,22.0,86.49,1902.78
2026-02-01,ADIB,SELL,3888.0,39.2,152409.6
2026-03-01,EGAL,SELL,2942.0,229.0,673718.0
2026-03-01,TMGH,SELL,8027.0,87.1,699151.7
2026-03-01,GBCO,SELL,22376.0,28.55,638834.8
2026-03-01,EFIH,SELL,32071.0,20.73,664831.83
2026-03-01,ABUK,BUY,10471.0,69.7,729828.7000000001
2026-03-01,COMI,BUY,286.0,133.5,38181.0
2026-03-01,MCQE,SELL,378.0,193.61,73184.58
