date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2018-02-06,0.0,0.0,0.0,407847.2123690201
2018-03-04,0.0,0.0,0.0,417847.2123690201
2018-04-11,0.0,0.0,0.0,427847.2123690201
2018-05-02,0.0,0.0,0.0,437847.2123690201
2018-06-14,0.0,0.0,0.0,447847.2123690201
2018-07-09,0.0,0.0,0.0,457847.2123690201
2018-08-07,0.0,0.0,0.0,467847.2123690201
2018-09-04,0.0,0.0,0.0,477847.2123690201
2018-10-03,0.0,0.0,0.0,487847.2123690201
2018-11-01,0.0,0.0,0.0,497847.2123690201
2018-12-03,0.0,0.0,0.0,507847.2123690201
2019-01-06,0.0,0.0,0.0,517847.2123690201
2019-02-05,0.0,0.0,0.0,527847.2123690201
2019-04-17,0.0,0.0,0.0,537847.2123690201
2019-05-21,0.0,0.0,0.0,547847.2123690201
2019-07-09,0.0,0.0,0.0,557847.2123690201
2019-08-21,0.0,0.0,0.0,567847.2123690201
2019-09-02,0.0,0.0,0.0,577847.2123690201
2019-10-24,0.0,0.0,0.0,587847.2123690201
2019-11-03,0.0,0.0,0.0,597847.2123690201
2019-12-03,0.0,0.0,0.0,607847.2123690201
2020-01-02,0.0,0.0,0.0,617847.2123690201
2020-02-05,0.0,0.0,0.0,627847.2123690201
2020-03-03,0.0,0.0,0.0,637847.2123690201
2020-04-02,0.0,0.0,0.0,647847.2123690201
2020-05-07,0.0,0.0,0.0,657847.2123690201
2020-06-04,0.0,0.0,0.0,667847.2123690201
2020-07-06,0.0,0.0,0.0,677847.2123690201
2020-09-03,0.0,0.0,0.0,687847.2123690201
2020-10-04,0.0,0.0,0.0,697847.2123690201
2020-11-16,0.0,0.0,0.0,707847.2123690201
2020-12-16,0.0,0.0,0.0,717847.2123690201
2021-01-04,0.0,0.0,0.0,727847.2123690201
2021-02-02,0.0,0.0,0.0,737847.2123690201
2021-03-01,0.0,0.0,0.0,747847.2123690201
2021-04-01,0.0,0.0,0.0,757847.2123690201
2021-05-05,0.0,0.0,0.0,767847.2123690201
2021-06-01,0.0,0.0,0.0,777847.2123690201
2021-07-04,0.0,0.0,0.0,787847.2123690201
2021-08-01,0.0,0.0,0.0,797847.2123690201
2021-09-01,0.0,0.0,0.0,807847.2123690201
2021-10-03,0.0,0.0,0.0,817847.2123690201
2021-11-01,826119.97356,0.9979135777916346,1692.23994712,34.99886190019606
2021-12-01,670934.211165,0.8087814407823875,1371.86842233,5.335414570115972
2022-01-02,940173.9419049999,1.023825351201515,1910.34788381,1.0924657601426588
2022-02-01,470110.66862499993,0.5216865045511827,965.22133725,3.567993510164797
2022-03-01,294498.62266999995,0.32384522501101476,608.9972453400001,1.9837481701833894
2022-04-03,779502.541185,0.8482108853293469,1589.0050823699999,0.8594008001673501
2022-05-08,719638.88537,0.7753024042110059,1469.27777074,1.0242300602403702
2022-06-01,423074.32115000003,0.5243392310333445,866.1486423,1.0406577602552716
2022-07-03,433455.125295,0.5704134845756328,901.9102505899999,51.81505217021913
2022-08-01,436602.81961999997,0.5435065833510794,908.20563924,6.070232930275779
2022-09-01,673299.5771999999,0.7736791376971008,1381.5991544,13.423358530300902
2022-10-02,230030.28657999996,0.2707322061537186,485.06057315999993,0.18999537032505032
2022-11-01,476621.74486,0.5372319287217137,983.24348972,8.91782565030735
2022-12-01,295199.06042999995,0.29284385557298354,620.39812086,0.062484790294547565
2023-01-02,995153.1972350001,0.8160845121558572,2025.30639447,22.711355320410803
2023-02-01,1062773.4175800001,0.7711985354399182,2155.5468351600002,20.619640160439303
2023-03-01,1475314.36704,1.0172258921163038,2985.62873408,3.2552960804152917
2023-04-02,869137.508505,0.5949422109562393,1768.27501701,3.4034740704919386
2023-05-01,1241647.3563549998,0.7616178349845683,2508.29471271,61.57678636049968
2023-06-01,1304772.29873,0.8169705448913799,2644.5445974599997,7.187728900579714
2023-07-04,570499.711715,0.345623065161088,1180.9994234300002,17.510580470623317
2023-08-01,1354496.545585,0.7992261424434752,2738.9930911700003,50.10085430059917
2023-09-03,978048.4552849999,0.5516399671092976,1981.0969105699999,9.411608730672015
2023-10-01,1635314.46401,0.8190852081162819,3295.62892802,8.10692071064841
2023-11-01,649446.990545,0.2919390839966667,1318.8939810899997,3.401534620756138
2023-12-03,1311986.9993099999,0.5732584668548766,2653.97399862,14.815706000837963
2024-01-02,1256991.717975,0.5474238734916426,2543.98343595,66.38810505107722
2024-02-01,1631583.8087199999,0.6119316123855809,3298.1676174399995,14.990067611215636
2024-03-03,2591583.1611249996,0.9115482186651975,5213.166322249999,3.7830403613043018
2024-04-01,2678388.9257150004,1.0525604517255858,5386.777851430001,6.38154393149307
2024-05-01,2479775.553905,1.045477198113071,4989.55110781,9.133601121488027
2024-06-02,2666257.90261,1.0185001165134926,5372.51580522,18.2696659018402
2024-07-01,1437351.85547,0.5325332927624954,2904.70371094,83.95160496188328
2024-08-01,2156255.826655,0.7721336407502993,4337.511653310001,16.47191314212978
2024-09-01,999962.36051,0.32808917829794587,2034.92472102,0.5478821220658574
2024-10-01,1645613.8193549998,0.5281181514880939,3321.22763871,37.804788412118796
2024-11-03,2915428.5224949997,0.8884275265251996,5870.85704499,124.24412842199672
2024-12-01,1733079.6561750001,0.5394401720846953,3496.1593123500006,101.33688828234153
2025-01-02,2663692.28417,0.8003441605202642,5362.3845683399995,137.37857858237112
2025-02-02,1211683.5225499999,0.347254967797118,2458.3670451000003,99.29972478244963
2025-03-02,1936198.7221249999,0.5411037416950282,3907.3974442500003,164.2635552927386
2025-04-03,3277157.342385,0.8401846876833697,6584.31468477,31.32275038253283
2025-05-04,2039499.36701,0.5262087979157668,4108.9987340200005,128.55552636279026
2025-06-01,4034515.1832750007,0.9970071511955582,8069.03036655,4036538.8263389836
2025-07-01,4038276.26907,0.9979581173878272,8116.55253814,146.0047308441135
2025-08-03,2232385.75133,0.5296765917647668,4479.77150266,214.01322492421605
2025-09-01,2243188.586515,0.5236584830007196,4511.3771730299995,224.14110324415378
2025-10-01,2393772.3245200003,0.5508138697784176,4812.54464904,69.13044790400454
2025-11-02,4134225.7681499994,0.8458372135625373,8303.4515363,242.26589160424192
2025-12-01,2893378.71139,0.5573301773926684,5821.75742278,159.25089231484526
2026-01-04,4279770.858805,0.8218378154539615,8584.54171761,347.10095470480155
2026-02-01,3085828.0308850007,0.5731132957122484,6196.656061770001,212.9452405246484
2026-03-01,3319038.5688799997,0.5778704129943308,6663.0771377599995,5.6073060248745605
2026-04-01,5172885.61656,0.8676822052020988,10385.771233119998,0.2725229052977056
