date,basket_immediate_equity,basket_pullback_equity,basket_buy_hold_norm,etf_dca_equity,etf_buy_hold_norm
2015-01-15,109505.36436027795,110000.0,1.0,107655.38877940002,1.0
2015-01-18,109026.48087706162,110000.0,0.99562582489747,105792.20877940001,0.9826923076923078
2015-01-19,109392.51710344486,110000.0,0.9989692405803748,105585.1887794,0.9807692307692306
2015-01-20,111817.19159097852,110000.0,1.0211164875555194,108793.9987794,1.010576923076923
2015-01-21,111215.5756420757,110000.0,1.0156212604340884,109518.56877940001,1.0173076923076922
2015-01-22,111380.31779470577,110000.0,1.0171260336150965,110243.13877940002,1.0240384615384615
2015-01-26,110935.93023458809,110000.0,1.0130669481183792,109104.5287794,1.0134615384615384
2015-01-27,103573.80889130659,110000.0,0.9458205113331712,110553.6687794,1.0269230769230768
2015-01-28,103440.51710597305,110000.0,0.9446030093118823,109415.05877940002,1.0163461538461538
2015-01-29,102958.10473118332,110000.0,0.9401966009204608,108793.9987794,1.010576923076923
2015-02-01,112039.72337161918,120000.0,0.9327543399911732,118279.42443465002,1.0067307692307692
2015-02-02,112375.9483456777,120000.0,0.9355548509396814,118618.30443465001,1.0096153846153846
2015-02-03,113419.12658860633,120000.0,0.9442437715017185,119296.06443465002,1.0153846153846153
2015-02-04,114790.52903443173,120000.0,0.9556665623729187,120651.58443465001,1.0269230769230768
2015-02-05,113857.31817953853,120000.0,0.9478935906485149,119973.82443465,1.021153846153846
2015-02-08,113375.44351213469,120000.0,0.9438799230568908,119860.86443465001,1.0201923076923076
2015-02-09,112598.9680729101,120000.0,0.9374124440277516,120651.58443465001,1.0269230769230768
2015-02-10,112225.10926403696,120000.0,0.9342984704439117,120199.74443465001,1.023076923076923
2015-02-11,110005.99413724875,120000.0,0.9158148458233046,117714.62443465,1.001923076923077
2015-02-12,110587.11033257749,120000.0,0.9206551235924701,117827.58443465001,1.0028846153846154
2015-02-15,111271.52058277887,120000.0,0.926355766158738,117827.58443465001,1.0028846153846154
2015-02-16,109081.34185389624,120000.0,0.9081131608121213,115794.30443465001,0.985576923076923
2015-02-17,107303.23270046862,120000.0,0.8933027971091849,115003.58443465001,0.9788461538461538
2015-02-18,108734.80857359554,120000.0,0.9052267891253598,115455.42443465002,0.9826923076923078
2015-02-19,107936.37407239969,120000.0,0.8985764069860586,114438.78443465002,0.9740384615384616
2015-02-22,108016.88099419684,120000.0,0.8992469714393831,113196.22443465001,0.9634615384615384
2015-02-23,109269.41707843082,120000.0,0.909679691457048,116359.10443465001,0.9903846153846154
2015-02-24,108933.28618872291,120000.0,0.9068799641631584,115229.50443465,0.9807692307692306
2015-02-25,107758.47263949213,120000.0,0.8970946166698929,115342.46443465001,0.9817307692307693
2015-02-26,106423.26090992687,120000.0,0.8859732682998175,113422.14443465,0.9653846153846153
2015-03-01,116191.12239621248,130000.0,0.8843960127840452,122723.70745585002,0.9605769230769231
2015-03-02,117512.26082328345,130000.0,0.8944552573933886,124320.62745585,0.973076923076923
2015-03-03,118170.14684262162,130000.0,0.8994644496611982,124443.46745585003,0.9740384615384616
2015-03-04,118210.78833528963,130000.0,0.8997738969588162,124934.82745585001,0.9778846153846154
2015-03-05,119480.22513646648,130000.0,0.9094394816072403,125671.86745585002,0.9836538461538462
2015-03-08,120000.74029058446,130000.0,0.9134027220602119,125794.70745585002,0.9846153846153846
2015-03-09,120437.65791457215,130000.0,0.9167294448046023,127268.78745585,0.9961538461538461
2015-03-10,120059.21253043263,130000.0,0.9138479339709675,127268.78745585,0.9961538461538461
2015-03-11,118823.64668670752,130000.0,0.9044402452698401,124689.14745585002,0.9759615384615384
