date,open,high,low,close,volume,selected_count,cash_weight
2015-01-15,100.0,101.8308649423532,97.41737608985524,99.79920151347123,83335399.0,10,0.0
2015-01-18,99.79920151347123,101.20872027773173,97.29581774510156,99.36266233095863,39874807.0,10,0.0
2015-01-19,99.36266233095863,101.87277864339694,97.38528616385645,99.69633254644015,58126875.0,10,0.0
2015-01-20,99.69633254644015,103.45098041105294,98.70246139637977,101.90661011028122,94932301.0,10,0.0
2015-01-21,101.90661011028122,103.11690733159016,99.18459554983782,101.35819083142724,100310978.0,10,0.0
2015-01-22,101.57819083142724,103.30921215777357,99.38287852125193,101.50836599335074,102185909.0,10,0.0
2015-01-26,101.50836599335074,102.94202992795593,99.60553101396566,101.10327250190343,59564010.0,10,0.0
2015-01-27,93.31459010474327,95.91187054147635,92.09202855962643,94.39213180611355,64025822.0,10,0.0
2015-01-28,94.39213180611355,95.82189903928958,92.72968892117571,94.27062607654788,60508194.0,10,0.0
2015-01-29,94.27062607654788,95.15576115587538,92.4433480619092,93.83087003754176,48440074.0,10,0.0
2015-02-01,93.83087003754176,94.37469356259533,91.245740730971,93.08813833934396,40587838.0,10,0.0
2015-02-02,93.08813833934396,94.31878829757882,91.90371426019354,93.3676270958348,53944098.0,10,0.0
2015-02-03,93.5276270958348,95.55894733967565,92.34789776772635,94.23477442994009,96643498.0,10,0.0
2015-02-04,94.23477442994009,96.77095654639285,92.94670088227213,95.37475983794124,65498046.0,10,0.0
2015-02-05,95.37475983794124,96.02148487053655,93.70102760883195,94.59902346645895,57755178.0,10,0.0
2015-02-08,94.59902346645895,96.04046722000007,92.98994191412928,94.19846264567437,35199878.0,10,0.0
2015-02-09,94.19846264567437,94.52552511899282,92.26304657933827,93.55301340276115,46269292.0,10,0.0
2015-02-10,93.55301340276115,94.33785942511874,91.60963394438653,93.24224132555989,81097080.0,10,0.0
2015-02-11,93.24224132555989,93.87619311575367,90.28254605286976,91.39759034734857,51034250.0,10,0.0
2015-02-12,91.39759034734857,92.9805371833076,90.13452276449729,91.88064620381469,50226534.0,10,0.0
2015-02-15,91.88064620381469,93.20597225636324,90.97005143376222,92.44956578004194,25683676.0,10,0.0
2015-02-16,92.44956578004194,92.72505067182549,88.98188527297518,90.6289683329242,51244181.0,10,0.0
2015-02-17,90.6289683329242,91.42463071070694,87.19276066465618,89.15090586124705,84697437.0,10,0.0
2015-02-18,89.15090586124705,91.2721190032422,88.26351942539732,90.34091074331431,54811918.0,10,0.0
2015-02-19,90.34091074331431,91.10464840702335,87.8991152457971,89.6772079160526,51675960.0,10,0.0
2015-02-22,89.6772079160526,90.57909597845638,88.74157481111844,89.7441297130577,23607133.0,10,0.0
2015-02-23,89.7441297130577,92.35015714202639,88.9841165806468,90.78530684043426,82054428.0,10,0.0
2015-02-24,90.78530684043426,91.27637727600012,89.53075457286221,90.50589629204862,41537575.0,10,0.0
2015-02-25,90.50589629204862,90.69437025678559,88.60931869651229,89.52932642568886,42507049.0,10,0.0
2015-02-26,89.52932642568886,89.89132685256178,87.44644740706597,88.4194247386022,56462612.0,10,0.0
2015-03-01,88.4194247386022,89.65821165768976,87.13132914821409,88.26201589754541,34204711.0,10,0.0
2015-03-02,88.26201589754541,90.12689239744563,87.9515070263632,89.26592047738657,37979152.0,10,0.0
2015-03-03,89.26592047738657,90.58035252848327,88.4086455581647,89.76583386594142,42400376.0,10,0.0
2015-03-04,89.76583386594142,90.58532398925857,88.85750760649739,89.7967164591542,31501763.0,10,0.0
2015-03-05,89.7967164591542,91.47307460960917,89.53849084493515,90.76133408922779,37210895.0,10,0.0
2015-03-08,90.76133408922779,92.05036019979813,90.2238739894787,91.15686232184024,39267586.0,10,0.0
2015-03-09,91.15686232184024,92.40926236923328,90.3289680309196,91.48886659538711,48365858.0,10,0.0
2015-03-10,91.48886659538711,92.64545100800937,89.88544980838194,91.20129411503794,51985605.0,10,0.0
2015-03-11,91.20129411503794,91.73926698868934,88.28160978075739,90.26241429457812,43302330.0,10,0.0
2015-03-12,90.26241429457812,91.59023065730946,89.53685458172984,90.60244697204496,40987046.0,10,0.0
2015-03-15,91.01061023735107,92.6629427642364,90.2037129577845,91.36448690859875,59357584.0,10,0.0
2015-03-16,91.36448690859875,91.4143164888271,88.39251853623065,89.65928210224389,43677762.0,10,0.0
2015-03-17,89.65928210224389,90.53227596441212,88.28197826521354,89.36225396502783,48499310.0,10,0.0
2015-03-18,89.36225396502783,89.45692852124084,86.88821929379367,88.17382540695847,41683716.0,10,0.0
2015-03-19,88.17382540695847,89.87548947323093,87.00257363981505,88.63800369237993,66815166.0,10,0.0
2015-03-22,88.63800369237993,88.78864834335877,85.05221571645743,86.68700504519326,33722100.0,10,0.0
2015-03-23,86.68700504519326,87.98477804718846,85.19561048099978,86.77562465728114,38504803.0,10,0.0
2015-03-24,86.77562465728114,88.36732207539967,85.60740203653361,87.01717950868421,44584017.0,10,0.0
2015-03-25,87.01717950868421,87.80665319289473,84.5651493425166,86.2005489204645,61701730.0,10,0.0
2015-03-26,86.2005489204645,86.45066560158249,82.89561167116058,84.85146251644753,54219469.0,10,0.0
2015-03-30,84.82239468097671,86.08354640256827,83.92083457971515,84.91572828070302,43183125.0,10,0.0
2015-03-31,84.91572828070302,86.22149375756642,83.63614400313317,85.01625284658749,41338070.0,10,0.0
2015-04-01,85.01625284658749,85.74163971945552,83.34140703077428,84.54126534326053,33055621.0,10,0.0
2015-04-02,84.54126534326053,85.29823831292882,81.73913043522127,83.67707992557787,51586324.0,10,0.0
2015-04-05,83.67707992557787,83.76360329232101,79.4688670251681,80.61067941881882,58094889.0,10,0.0
2015-04-06,80.61067941881882,81.88287832182685,78.04945086476427,79.94609189818034,77417650.0,10,0.0
2015-04-07,79.94609189818034,82.35875259994788,79.88501839376225,81.28895731515,62445840.0,10,0.0
2015-04-08,81.28895731515,83.23442133683793,78.95785188413194,81.80356203460967,86772743.0,10,0.0
2015-04-09,81.80356203460967,83.74763296392133,81.5149870263121,82.90288665828349,42277397.0,10,0.0
2015-04-14,82.90288665828349,83.97734325650556,81.61555281454099,82.70307414824168,68288306.0,10,0.0
2015-04-15,82.70307414824168,83.33576646202691,80.98785320004514,82.25458408954808,50159082.0,10,0.0
2015-04-16,82.25458408954808,82.69743917269088,81.19578564523293,82.1464598460796,55272010.0,10,0.0
2015-04-19,82.1464598460796,83.22560554270876,79.78005719689729,81.5944630874435,68354281.0,10,0.0
2015-04-20,80.2679324751986,80.39862658665407,77.59469436910119,78.75467227458395,56150072.0,10,0.0
2015-04-22,78.40717210784757,79.64104121208064,77.27007239313306,78.41567084782908,45726981.0,10,0.0
2015-04-23,78.57725733332302,80.01793543987125,77.9297087966131,79.11316693066304,43253453.0,10,0.0
2015-04-26,79.11316693066304,79.81856819165272,77.66245561679678,78.50509681987423,42519164.0,10,0.0
2015-04-27,78.50509681987423,79.24580750963841,75.76291840656363,77.15743559614029,78307638.0,10,0.0
2015-04-28,77.15743559614029,77.53125978218152,74.82641573935405,75.84037505990449,64831462.0,10,0.0
2015-04-29,75.84037505990449,78.90982091538612,75.35708883841907,77.28981933549082,82371826.0,10,0.0
2015-04-30,77.42139828285922,79.86234375688451,76.84851312432205,78.88799079869248,95573935.0,10,0.0
2015-05-03,78.88799079869248,79.14142561107664,77.06914168468867,77.97956585328689,53201312.0,10,0.0
2015-05-04,77.97956585328689,79.50194570504459,76.90882678839122,78.43610183389875,55502560.0,10,0.0
2015-05-05,78.43610183389875,80.78966410695713,78.37797676671447,80.22087710279642,66435181.0,10,0.0
2015-05-07,79.6480428397772,80.76283449488014,77.96466047294756,79.56853462628297,45830577.0,10,0.0
2015-05-11,78.60112764358165,79.42875070373645,77.24086327545109,78.3550066395141,49146881.0,10,0.0
2015-05-12,78.3550066395141,78.62703061102245,77.06764106263392,77.83800862246333,40515688.0,10,0.0
2015-05-13,77.83800862246333,78.56725069815703,75.41451518464461,76.80297418242343,54793894.0,10,0.0
2015-05-14,76.80297418242343,77.4954509083425,72.98083094644687,74.71893273007446,74735227.0,10,0.0
2015-05-17,74.71893273007446,75.76210037076076,72.60629794012716,74.1464326816043,67599888.0,10,0.0
2015-05-18,74.1464326816043,79.21682553623391,74.1464326816043,78.35634452658317,73343036.0,10,0.0
2015-05-19,78.89634452658318,81.68402117286796,77.98929168738458,79.96845541676855,125084534.0,10,0.0
2015-05-20,79.96845541676855,80.2220165170523,78.51861280202634,79.38144632789381,83714517.0,10,0.0
2015-05-21,79.38144632789381,81.89763815189004,79.35186052907724,80.77113066180586,111811152.0,10,0.0
2015-05-24,80.77113066180586,82.80491980735057,80.50224627801384,81.77571998156397,87217141.0,10,0.0
2015-05-25,81.77571998156397,82.97758841895995,80.48676924253154,81.65749907015561,73317439.0,10,0.0
2015-05-27,81.99685612342368,83.08916302307588,80.87824457384112,81.98918941874261,83445007.0,10,0.0
2015-05-28,81.98918941874261,82.41011378374408,80.37918941194138,81.3817251443087,65214459.0,10,0.0
2015-06-01,80.4384425922224,81.43214072893073,79.41747115322235,80.19488274751208,57088338.0,10,0.0
2015-06-02,80.19488274751208,81.41158504033635,79.55757988076645,80.75740276980949,56676275.0,10,0.0
2015-06-03,80.75740276980949,81.7352949985528,79.77148070515273,80.9559736318213,44030110.0,10,0.0
2015-06-04,80.9559736318213,81.22078500528606,79.34299351875949,80.09358243488226,40934743.0,10,0.0
2015-06-08,79.41304552150147,79.91945561692486,77.5705806672164,78.89786113156322,43258944.0,10,0.0
2015-06-09,78.89786113156322,79.52912786172008,77.1922494304078,78.43541154335153,45744238.0,10,0.0
2015-06-11,78.1907487777496,78.73815883965737,76.95989135312729,77.55764333267257,35137411.0,10,0.0
2015-06-15,77.00150284867162,77.54322012922344,76.04904397240183,76.64808938037845,50723952.0,10,0.0
2015-06-16,76.74357230362487,78.50238439815936,76.3659709972839,77.74391192017475,40655009.0,10,0.0
2015-06-17,77.74391192017475,78.35055449915568,76.8848694765345,77.80469763261205,41831116.0,10,0.0
2015-06-21,78.03016816956504,78.27049306504841,77.11093667338378,77.54363910022361,21569619.0,10,0.0
2015-06-23,77.16992472387152,77.37041725367219,75.71557055021982,76.62312098550873,34694630.0,10,0.0
2015-06-24,76.62312098550873,77.7766092657141,75.60601583683328,76.85875013029457,38287736.0,10,0.0
2015-06-25,76.85875013029457,77.9222886823449,74.90879016402074,76.87385216962721,67620117.0,10,0.0
2015-06-29,77.80076388653019,78.25258168536011,75.69616503510258,76.97392687292005,72074751.0,10,0.0
2015-07-02,76.84234792555162,77.46616020849373,75.20381180174806,76.38386152011903,70383565.0,10,0.0
2015-07-05,76.38386152011903,77.42651807935019,74.13164504082982,75.90396219964613,70132756.0,10,0.0
2015-07-06,75.90396219964613,76.07940079613738,71.70682895615562,73.49131266096309,46283163.0,10,0.0
2015-07-07,73.49131266096309,74.19592769374799,70.85494091291626,72.32165619619715,39890900.0,10,0.0
2015-07-08,72.32165619619715,72.78192778535659,69.87296434050448,71.28531396992734,51211310.0,10,0.0
2015-07-09,71.28531396992734,72.52401694761093,69.9370079714733,71.19894563992221,46541705.0,10,0.0
2015-07-12,71.19894563992221,72.44676553863542,70.34395687303373,71.39515124409684,33736933.0,10,0.0
2015-07-14,70.3379646564832,71.81160156971946,70.10150705208711,71.32638678183497,45477178.0,10,0.0
2015-07-15,71.32638678183497,73.57888856848277,71.12762621123704,72.6063024747923,76388433.0,10,0.0
2015-07-16,72.6063024747923,74.96531121495333,71.79187784410571,73.8734001314585,80126140.0,10,0.0
2015-07-22,73.88970226466867,74.46668983419389,72.78018154582095,73.88226721490028,60053990.0,10,0.0
2015-07-28,72.08060006651364,73.42095831271497,70.78371922092333,72.20780682378076,65037507.0,10,0.0
2015-07-30,73.99475682102991,76.06541613250019,73.40063132366078,75.14942846429993,107853427.0,10,0.0
2015-08-03,74.54042117021154,74.92627352277911,72.65029423009874,74.00542245144884,62263539.0,10,0.0
2015-08-04,74.00542245144884,75.43635427492636,73.3834478689098,74.66777816174665,76485734.0,10,0.0
2015-08-05,74.66777816174665,75.36776204464216,73.38572549242805,74.22988617816124,68629368.0,10,0.0
2015-08-10,72.98183147402311,73.95040618336813,71.95309991371361,73.19842882777887,49441011.0,10,0.0
2015-08-12,73.66074402192446,73.67118461495014,71.65265296236234,72.36789510626849,52369985.0,10,0.0
2015-08-17,70.11453681491145,71.00571640047988,68.31334292472403,69.73265923740534,71840633.0,10,0.0
2015-08-19,68.29477408045767,68.86199159251629,66.14596092254484,67.13833642250304,89130724.0,10,0.0
2015-08-20,67.13833642250304,67.66358051589047,65.62996187028472,66.95135733301035,94645706.0,10,0.0
2015-08-24,64.01996435421354,64.61956170500991,61.218682247445635,62.3859280224778,79460035.0,10,0.0
2015-08-25,62.3859280224778,64.68168876525769,61.76409536669729,63.38862174988093,82561273.0,10,0.0
2015-08-27,63.497316584828134,66.18770553997024,63.43314034761786,65.24125277655057,76759299.0,10,0.0
2015-08-30,65.24125277655057,65.86345721417544,63.7058117955456,65.04172139301676,59347546.0,10,0.0
2015-08-31,65.04172139301676,67.65424921476144,63.79196638971379,66.33810995292005,110267777.0,10,0.0
2015-09-01,66.33810995292005,67.24323972503949,65.07703421954338,66.05785419998854,78346113.0,10,0.0
2015-09-03,65.75956659131441,67.12910972039722,65.27248829308053,66.36354067878563,67452153.0,10,0.0
2015-09-09,63.24063937156631,64.69130971826432,63.17589853639214,64.24813445024938,57431365.0,10,0.0
2015-09-10,64.24813445024938,64.6638158230936,63.33485664955485,63.82412360834488,60077298.0,10,0.0
2015-09-14,64.21686187860523,65.24845710369799,63.50275886752249,64.77711015090001,66109236.0,10,0.0
2015-09-17,65.53855083836082,66.08976712015104,63.912662329383785,65.22192366136763,88596765.0,10,0.0
2015-09-21,65.14269144297549,66.54200819989742,64.34823002427324,65.82312992843366,34859297.0,10,0.0
2015-09-29,66.39915536942914,66.50466557351076,65.19910995641847,65.69214325006465,68592023.0,10,0.0
2015-09-30,65.69214325006465,66.53596807786617,64.87980737893591,66.03922695390139,69578740.0,10,0.0
2015-10-04,65.62949882541685,66.01049527544178,64.32805507124336,65.14494000364218,23573234.0,10,0.0
2015-10-08,66.31496859419342,68.2717967795886,65.63588017876289,67.42501957672398,155981267.0,10,0.0
2015-10-12,68.00386859470933,69.42887922415049,67.61894832786976,68.43309573027531,153321327.0,10,0.0
2015-10-18,68.19629495691281,68.47007015469386,67.09138583688443,67.91193791767336,57691636.0,10,0.0
2015-10-19,67.91193791767336,69.24217285312892,67.59087483146172,68.48868437401661,94217455.0,10,0.0
2015-10-20,68.78868437401661,69.66899981687537,68.14666944612729,68.85303337037112,118704815.0,10,0.0
2015-10-29,68.35002433858054,69.2978046468605,68.03126675443505,68.77511998613312,79243160.0,10,0.0
2015-11-01,68.90669893350153,69.24825639557123,67.17261513740692,68.01025033769218,88892499.0,10,0.0
2015-11-08,69.20620260647165,69.26916445234707,66.91144777619152,67.7945865161061,68220696.0,10,0.0
2015-11-09,67.7945865161061,67.9552828326125,65.36516225338494,66.5720999620991,75851601.0,10,0.0
2015-11-10,66.5720999620991,66.65209996209909,63.682729201884825,64.84278120243728,82471631.0,10,0.0
2015-11-11,64.84278120243728,65.63832352967086,63.473037636029495,64.6894177469912,101017986.0,10,0.0
2015-11-16,62.70858503913518,63.33465612199129,60.990235455857764,62.597786603964444,98107446.0,10,0.0
2015-11-17,62.597786603964444,63.47494696818643,59.95393335494753,61.80415040651439,127562132.0,10,0.0
2015-11-18,61.80415040651439,62.9243490645018,60.448504095677,61.904726830809345,92724811.0,10,0.0
2015-11-22,62.99763775474641,63.77675031469481,62.221263128731394,63.168426575400716,93897872.0,10,0.0
2015-11-23,63.168426575400716,63.55770085072564,60.98330797299586,62.19486536311833,157990083.0,10,0.0
2015-11-29,61.13743607536725,61.709492896797634,60.006664584728306,61.17160879065205,60338085.0,10,0.0
2015-12-02,60.74118063679812,63.90890740383766,60.697320987675305,62.41980387228121,93381274.0,10,0.0
2015-12-03,62.41980387228121,64.47818104970817,62.17120338798422,63.57848229800563,97354669.0,10,0.0
2015-12-07,63.96556351100625,64.6572745378551,62.32828688546531,63.505534914702544,73349852.0,10,0.0
