rebalance_date,selection_date,mode,selected_count,weights
2024-03-03,2024-02-29,walk_forward_ic,8,"{""score_growth"": 0.09858461230401078, ""score_liquidity"": 0.9014153876959893, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-04-01,2024-03-31,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-05-01,2024-04-30,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-06-02,2024-05-30,walk_forward_ic,8,"{""score_growth"": 0.2804324132198276, ""score_liquidity"": 0.5319567622894807, ""score_low_risk"": 0.0, ""score_momentum"": 0.1876108244906917, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-07-01,2024-06-27,walk_forward_ic,8,"{""score_growth"": 0.5231543043985799, ""score_liquidity"": 0.4768456956014201, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-08-01,2024-07-31,walk_forward_ic,8,"{""score_growth"": 0.4994921641939819, ""score_liquidity"": 0.5005078358060181, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-09-01,2024-08-29,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-10-01,2024-09-30,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-11-03,2024-10-31,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-12-01,2024-11-28,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-01-02,2024-12-31,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-02-02,2025-01-30,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-03-02,2025-02-27,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-04-03,2025-03-27,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-05-04,2025-04-30,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-07-01,2025-06-30,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-08-03,2025-07-31,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-09-01,2025-08-31,walk_forward_ic,8,"{""score_growth"": 0.8540831581629922, ""score_liquidity"": 0.0, ""score_low_risk"": 0.14591684183700773, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-10-01,2025-09-30,walk_forward_ic,8,"{""score_growth"": 0.7716324787005697, ""score_liquidity"": 0.0, ""score_low_risk"": 0.22836752129943028, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-11-02,2025-10-30,walk_forward_ic,8,"{""score_growth"": 0.808364871963876, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19163512803612406, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-12-01,2025-11-30,walk_forward_ic,8,"{""score_growth"": 0.8065517538505429, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19344824614945713, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2026-01-04,2025-12-31,walk_forward_ic,8,"{""score_growth"": 0.8047414079560687, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19525859204393117, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2026-02-01,2026-01-28,walk_forward_ic,8,"{""score_growth"": 0.8047414079560687, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19525859204393117, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2026-03-01,2026-02-26,walk_forward_ic,8,"{""score_growth"": 0.8047414079560687, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19525859204393117, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2026-04-01,2026-03-31,walk_forward_ic,8,"{""score_growth"": 0.8047414079560687, ""score_liquidity"": 0.0, ""score_low_risk"": 0.19525859204393117, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
