date,open,high,low,close,volume,symbol,holding_name,weight,sector,benchmark_close,kama,kama_rising,cash_dividend,cum_dividend,ret_3m,ret_6m,ret_1m,ret_6_1,ret_12_1,sma200,close_vs_sma200,vol_63,downside_vol_126,max_drawdown_252,beta_252,daily_value,median_daily_value,median_daily_volume,coverage_ratio,dividend_event_count_3y,dividend_yield_1y,dilutive_event_count_3y,fundamental_period_end,fundamental_filing_date,fiscal_period,currency,source_url,revenue,net_income,equity,assets,operating_cf,capex,debt,cash,shares_outstanding,revenue_ttm,net_income_ttm,operating_cf_ttm,earnings_yield,pe_ratio,book_to_price,pb_ratio,roe,roa,cash_conversion,leverage_inverse,revenue_growth,net_income_growth,positive_earnings_count_4p,margin_stability_4p,has_fundamentals,fundamental_row_age_days,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,score,rebalance_date,selection_date,rank,target_weight
2021-10-31,9.7,9.75,9.01,9.71,241220,MCQE,Misr Cement - Qena,0.0095594736152338,materials,12.23,11.257931414943329,False,0.0,0.0,-0.3403532608695652,0.5007727975270482,-0.1901584653878231,0.8531684698608966,0.9655737704918035,9.34145,0.03945318981528567,0.6048358352570689,0.33185949547498694,0.4239198497182217,0.4403052485776354,2342246.2,7864284.8,641424.0,1.0,0.0,0.0,0.0,2021-06-30,2021-08-29,Q2 2021,EGP,https://english.mubasher.info/markets/EGX/stocks/MCQE/financial-statements,,32467694.0,1822786881.0,4037049330.0,110389101.0,,2214262449.0,,96000000.0,,61415615.0,269940341.0,0.06588527184174389,15.177898975692095,1.955444216658084,0.5113927523378967,0.033693250505679936,0.01521299592343599,4.395304695719484,0.4515146415117003,,1.1215898371423632,3.0,,True,63.0,0.9285714285714287,0.95,1.0,0.6808333333333334,0.13888888888888892,0.75,0.8255436507936509,2021-11-01,2021-10-31,1,0.125
2021-10-31,4.2,4.25,4.15,4.16,318912,GBCO,GB Corp,0.0165017594161606,industrials,12.23,3.923161848690063,True,0.0,0.0,0.09473684210526323,0.10344827586206895,-0.030303030303030276,0.13793103448275867,0.4065573770491804,3.7684499999999996,0.10390213482997002,0.31192013205331615,0.16867339750327828,0.3419023136246787,0.130503595973421,1326673.9200000002,6630820.95,1642464.0,1.0,0.0,0.0,0.0,2021-06-30,2021-08-29,Q2 2021,EGP,https://english.mubasher.info/markets/EGX/stocks/GBCO/financial-statements,,374249000.0,6466417000.0,29668051000.0,512075000.0,,23201634000.0,,1085500000.0,,673099000.0,625789000.0,0.14905817064096658,6.708790237394499,1.4319918594763137,0.6983279921477381,0.10409149301692111,0.022687671664040215,0.9297131625511255,0.2179589417585941,,1.2522971390329598,3.0,,True,63.0,0.6190476190476191,1.0,1.0,0.5741666666666667,0.6111111111111112,0.5,0.7542420634920636,2021-11-01,2021-10-31,2,0.125
2021-10-31,13.57,13.75,13.26,13.4,348830,ETEL,Telecom Egypt,0.0536052766146507,telecom,12.23,13.866042007410089,False,0.0,0.0,-0.04897090134847404,0.17543859649122817,-0.06359189378057306,0.25526315789473686,0.15310233682514096,12.590900000000001,0.06426069621710906,0.21294161593232938,0.14635107534080943,0.297056810403833,0.027630423431195768,4674322.0,7722471.9,540033.0,1.0,0.0,0.0,,2021-06-30,2021-08-29,Q2 2021,EGP,https://english.mubasher.info/markets/EGX/stocks/ETEL/financial-statements,,1747414000.0,40012278000.0,86534130000.0,4918104000.0,,46521852000.0,,1707071600.0,,3871659000.0,8326096000.0,0.1692546323888248,5.908257788198806,1.7491890179195695,0.5716935046787388,0.09676177397347883,0.04474141012338138,2.1505241034915525,0.4623872453562542,,0.8226047372125156,2.0,,True,63.0,0.511904761904762,1.0,1.0,0.4033333333333333,0.8888888888888891,0.6666666666666666,0.7494603174603175,2021-11-01,2021-10-31,3,0.125
2021-10-31,10.17,10.22,9.95,10.04,602987,ADIB,Abu Dhabi Islamic Bank- Egypt,0.0260659704893287,banks,12.23,10.687654283654787,False,0.0,0.0,0.16880093131548302,0.4002789400278939,-0.05727699530516439,0.485355648535565,0.3279301745635912,8.7777,0.14380760335851073,0.6919769518124608,0.24827965509522648,0.41004184100418406,0.3927772343205637,6053989.4799999995,19188932.46,1786679.0,1.0,,,0.0,2021-06-30,2021-08-29,Q2 2021,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=C7CE40D2-030E-4BE8-B917-F6C5B8BA129C.pdf,,349335000.0,6062024000.0,77604353000.0,-3174069000.0,,71542329000.0,,1200000000.0,,677557000.0,-146023000.0,0.05623813081009297,17.78152981963141,0.50315604249668,1.9874550150246846,0.1117707551141335,0.008730914875354994,-0.2155139715182634,0.07811448411920918,,1.0643253651491977,2.0,,True,63.0,0.6904761904761906,0.9,0.925,0.5791666666666667,0.1388888888888889,1.0,0.7439484126984127,2021-11-01,2021-10-31,4,0.125
2021-10-31,4.2,4.2,4.05,4.15,1669301,AMOC,Alexandria Mineral Oils Company,0.0078246964812872,energy,12.23,3.612687618586002,True,0.0,0.0,0.16246498599439785,0.44599303135888513,0.22058823529411775,0.18466898954703814,0.3076923076923077,3.2859000000000003,0.26297209288170675,0.43682090401438384,0.1985518804561193,0.5235173824130879,0.21494819849271002,6927599.15,10904577.299999999,2767699.0,1.0,0.0,0.0,,2021-06-30,2021-09-28,FY 2020,EGP,https://english.mubasher.info/markets/EGX/stocks/AMOC/financial-statements,,-488281200.0,1882088673.0,2828909120.0,-2023547392.0,,946820447.0,,1291500000.0,,-488281200.0,-2023547392.0,-0.09110191287799281,,0.35115396274995453,2.847753709423658,-0.25943581033389496,-0.17260406018274635,,0.6653054563308135,,,0.0,,True,33.0,0.4642857142857144,1.0,0.9,0.5166666666666667,0.3888888888888889,0.9166666666666666,0.7015079365079365,2021-11-01,2021-10-31,5,0.125
2021-10-31,8.24,8.34,8.1,8.18,60979,ORWE,Oriental Weavers,0.0066526281113657,consumer,12.23,8.458315936040155,False,0.0,0.0,-0.00848484848484854,0.10840108401084003,-0.04550758459743298,0.1612466124661247,0.40722495894909705,7.72045,0.05952373242492337,0.183905197671716,0.2514409196568142,0.2449238578680203,-0.0047403219615233215,498808.22,3082992.5599999996,341039.0,1.0,0.0,0.0,,2021-06-30,2021-08-29,Q2 2021,EGP,https://english.mubasher.info/markets/EGX/stocks/ORWE/financial-statements,,299287234.0,7708936209.0,13186659718.0,-51735477.0,,5477723509.0,,665107268.0,,599009408.0,236579049.0,0.11010033645479586,9.082624378814431,1.4169334554415853,0.7057494451553841,0.07770325136439328,0.04542540876992091,0.3949504729648587,0.5846011328006879,,0.9985488561149967,2.0,,True,63.0,0.7023809523809526,0.95,0.6,0.49833333333333335,1.0000000000000002,0.08333333333333333,0.6788809523809525,2021-11-01,2021-10-31,6,0.125
2021-10-31,8.28,8.33,8.21,8.26,803379,HRHO,EFG Holding,0.0382172338955377,financials,12.23,8.025112461347709,True,0.0,0.0,0.06718346253229979,0.06169665809768632,0.0350877192982455,0.02570694087403602,0.09315068493150691,8.0288,0.02879633320047814,0.21055961393058542,0.11171832892966878,0.3816155988857939,0.18343861897134978,6635910.54,9660860.02,1218893.0,1.0,,,0.0,2021-06-30,2021-08-29,Q2 2021,EGP,https://english.mubasher.info/markets/EGX/stocks/HRHO/financial-statements,,406347373.0,14493944041.0,45429871196.0,-768981787.0,,30935927155.0,,1459681418.0,,698056702.0,-855971219.0,0.05789653520832139,17.27219075203435,1.2021217460887532,0.8318624991633498,0.0481619564712931,0.015365588403021102,-1.2262201860501585,0.31903995453714074,,1.3929872397053162,3.0,,True,63.0,0.28571428571428575,0.9,0.925,0.5525000000000001,0.638888888888889,0.8333333333333334,0.653186507936508,2021-11-01,2021-10-31,7,0.125
2021-10-31,26.06,26.06,24.57,24.93,93291,EGAL,Egypt Aluminum,0.0103499522067357,materials,12.23,22.43194026056605,True,0.0,0.0,0.13266696955929125,1.1271331058020477,0.04484492875104773,1.0358361774744025,1.0445586975149959,17.62975,0.41408698364979646,0.6382852988092985,0.25926750590906134,0.3083441981747067,0.26484900169795456,2325744.63,4104020.1,168076.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0.9166666666666669,0.55,0.5,0.675,0.22222222222222224,0.3333333333333333,0.6080555555555556,2021-11-01,2021-10-31,8,0.125
2021-11-30,3.42,3.56,3.4,3.48,4292950,AMOC,Alexandria Mineral Oils Company,0.0078246964812872,energy,11.97,3.7600945276345126,False,0.0,0.0,-0.05434782608695654,0.17966101694915237,-0.18117647058823527,0.44067796610169485,0.6865079365079365,3.3498499999999996,0.03885248593220614,0.4595164104986541,0.22703836312584413,0.4907975460122699,0.21789390843853235,14939466.0,9218569.0,2477097.0,1.0,0.0,0.0,,2021-06-30,2021-09-28,FY 2020,EGP,https://english.mubasher.info/markets/EGX/stocks/AMOC/financial-statements,,-488281200.0,1882088673.0,2828909120.0,-2023547392.0,,946820447.0,,1291500000.0,,-488281200.0,-2023547392.0,-0.10864164897806614,,0.41876119121043426,2.387995881637188,-0.25943581033389496,-0.17260406018274635,,0.6653054563308135,,,0.0,,True,63.0,0.9387755102040817,1.0,0.9,0.65,0.42857142857142866,0.9285714285714286,0.8623469387755104,2021-12-01,2021-11-30,1,0.125
2021-11-30,10.13,10.25,9.98,10.04,765139,MCQE,Misr Cement - Qena,0.0095594736152338,materials,11.97,10.433406941070459,False,0.0,0.0,-0.258493353028065,0.34045393858477957,0.04583333333333339,0.28170894526034695,0.4837712519319939,9.566699999999999,0.04947369521360545,0.5622359443216166,0.34047175687892317,0.4239198497182217,0.4107699530180383,7681995.56,4277920.26,386287.0,1.0,0.0,0.0,0.0,2021-09-30,2021-11-16,Q3 2021,EGP,https://english.mubasher.info/news/3878788/Misr-Cement-logs-211-jump-in-9M-profits-unveils-new-identity/,,45993568.0,1875748746.0,4091908492.0,-45279545.0,,2216159746.0,,96000000.0,,107409183.0,224660796.0,0.11143881038346615,8.973534413719541,1.9461204619023906,0.5138428065354548,0.05726203108441263,0.026249165446879694,2.09163490239005,0.4584043728414834,,0.7488904572558623,4.0,,True,14.0,0.7755102040816328,0.95,1.0,0.7130952380952382,0.11904761904761904,0.5,0.7558673469387756,2021-12-01,2021-11-30,2,0.125
