family,number,value,param_core_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trim_mild,param_trim_hard,param_trend_buffer_atr,param_trim_buffer_atr,param_zone_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_zone_overlay,0,-0.16884368920547677,0.75,28,2,26,11,-10.0,-110.0,120.0,100.0,2.0,2.5,100_75_50_25_0,14,3.1,2.0,2.473593969114164,0.5241763918673557,1.9294247232627089,5.0,0.22221328256440687,3.3584526779388972,4.0,0.5216192857348114,-0.14036088924272394,330717.13251216506,1.970862015080288,0.2679197959399726,1.6240408476433323,inf,0.11394099283784331,2.3513907441658537,1.0,0.39316071655531304,-0.16884368920547677,0.5620044057607898,378948.22024997015
dca_zone_overlay,1,-0.16454862013868987,0.75,19,3,38,34,-45.0,-125.0,110.0,105.0,1.2000000000000002,0.5,100_50_25_10_0,26,2.2,0.8,2.3234651091015555,0.4718465487941479,1.9252163391049621,5.0,0.2213037004369811,3.023884156397815,4.0,0.4695770341560878,-0.19240314082144755,321684.55896293256,2.08647465895293,0.2707170287509326,1.7697255344255858,inf,0.10479430192810846,2.5833182126319363,1.0,0.39745578562209993,-0.16454862013868987,0.5620044057607898,378481.53814342
dca_zone_overlay,2,-0.1814333335374696,0.7,25,2,57,18,-20.0,-155.0,100.0,180.0,0.30000000000000004,3.0,100_60_40_20_0,21,4.7,0.8,2.4965067553775735,0.4973921604432643,1.9835373017349474,5.0,0.21027251187565976,3.415493711195154,4.0,0.49498261048370357,-0.1669975644938318,325605.38526932255,2.0572387900788365,0.2597064298431002,1.6905890298646529,inf,0.10186039027258298,2.549631207460664,1.0,0.3805710722233202,-0.1814333335374696,0.5620044057607898,375697.5711964301
dca_zone_overlay,3,-0.12027044376464557,0.8,22,3,53,21,-40.0,-120.0,60.0,220.0,0.1,3.0,100_75_50_25_0,26,3.8000000000000003,3.1,2.2493192805450253,0.514443204502079,1.8547550418464431,5.0,0.24702569759342885,2.8330549680091464,4.0,0.5119341366173744,-0.1500460383601609,330258.02212653006,2.107303703938961,0.2994133018427698,1.731567501216198,inf,0.11409339980112598,2.6242824069111044,1.0,0.44173396199614423,-0.12027044376464557,0.5620044057607898,390113.41447348
dca_zone_overlay,4,-0.20050586787317792,0.7,13,5,45,20,-50.0,-155.0,80.0,210.0,1.3,2.7,100_50_25_10_0,25,3.3000000000000003,3.2,2.070166772713939,0.44146535091184097,1.8175562695631164,5.0,0.22753024691278856,2.4537553375142442,4.0,0.439361445891592,-0.22261872908594338,317082.769551305,1.9247411069364317,0.2472230170143912,1.6532184442637734,inf,0.1101996192584056,2.243410809203263,1.0,0.3614985378876119,-0.20050586787317792,0.5620044057607898,370066.1690784601
dca_zone_overlay,5,-0.15042107743028477,0.75,10,2,21,29,-35.0,-125.0,145.0,135.0,0.8,2.3000000000000003,100_50_25_10_0,10,4.800000000000001,3.4000000000000004,2.4199515736718604,0.5000707123995636,1.95692237393869,5.0,0.23528513621066682,3.2320824302575772,4.0,0.49764120495866726,-0.1643389700188681,326713.84241178754,2.112939400926195,0.27990064800390435,1.7806269153472727,inf,0.1061327898373462,2.637268354415879,1.0,0.41158332833050504,-0.15042107743028477,0.5620044057607898,381666.5421780501
dca_zone_overlay,6,-0.16897306388006195,0.75,15,5,42,35,-10.0,-155.0,60.0,135.0,0.8,2.5,100_75_50_25_0,17,1.9,0.9,2.141475231442701,0.4665209578204153,1.7829445194328,5.0,0.23987093803442328,2.62624893600239,4.0,0.4642780506049512,-0.19770212437258416,321539.4543372876,1.945575982209598,0.2678355006247264,1.6416314857890448,inf,0.117386571349272,2.281653664010755,1.0,0.39303134188072786,-0.16897306388006195,0.5620044057607898,377715.2164437301
dca_zone_overlay,7,-0.17898753452576077,0.75,26,4,34,40,-5.0,-165.0,100.0,145.0,0.5,0.1,100_75_50_25_0,13,4.7,1.3,2.203681556826859,0.4660985772777743,1.8072108922784893,5.0,0.25290491532650283,2.7729826934654485,4.0,0.46385147641104507,-0.1981286985664903,321620.35277395503,1.8865623647584675,0.26130370596813846,1.6205150216995945,inf,0.12166065549430216,2.1478078094061916,1.0,0.38301687123502903,-0.17898753452576077,0.5620044057607898,374490.7026382101
dca_zone_overlay,8,-0.14589726059246866,0.8,17,4,51,17,-15.0,-145.0,115.0,195.0,1.1,0.2,100_75_50_25_0,7,3.4000000000000004,2.9000000000000004,2.271972628963426,0.5163570589055329,1.8472294499642095,5.0,0.2519125456780781,2.8910784807479346,4.0,0.5138342488626779,-0.14814592611485744,330543.95367092756,1.930896560481319,0.2828358307967671,1.647745218189628,inf,0.12686672432266433,2.2293933441319207,1.0,0.41610714516832115,-0.14589726059246866,0.5620044057607898,382217.3845379301
dca_zone_overlay,9,-0.17024585708256934,0.75,30,2,48,21,-5.0,-180.0,85.0,115.0,1.9000000000000001,2.7,100_50_25_10_0,20,3.1,1.3,2.30304019070222,0.4725628643328524,1.872077715095889,5.0,0.23968517947296963,2.992212954759188,4.0,0.47028796165344394,-0.19169221332409142,322643.51602878247,2.047444661965014,0.2670060813409898,1.7054687760207448,inf,0.10624488963517575,2.5131192875049018,1.0,0.39175854867822046,-0.17024585708256934,0.5620044057607898,377619.67608583
