family,number,value,param_core_weight,param_reserve_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trend_buffer_atr,param_topup_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_topup,0,-0.12220337978980456,0.75,0.2,11,5,44,31,-100.0,-55.0,1.7000000000000002,25_50_100,14,3.1,2.0,2.1823420606834283,0.48791918780067844,1.8508201271134699,5.0,0.2531463788609577,2.6869432230753385,4.0,0.48555932323889933,-0.17642085173863603,325156.4501782001,2.165234117501539,0.298165860067791,1.8056663697486017,inf,0.10872330113135698,2.7424283200116775,1.0,0.43980102597098525,-0.12220337978980456,0.5620044057607898,387988.0613301201
dca_pullback_topup,1,-0.11841129589135657,0.75,0.3,34,2,41,28,-100.0,-130.0,0.30000000000000004,50_75_100,26,2.2,0.8,2.5595320922081637,0.5672793232660795,2.0085403390364713,5.0,0.23698847316694616,3.511366383976145,4.0,0.5644664060677262,-0.09751376890980917,338883.060680065,2.153085627782343,0.3006126754210412,1.7615715424217324,inf,0.11025907237291988,2.726421227310026,1.0,0.44359310986943323,-0.11841129589135657,0.5620044057607898,389927.73266539
dca_pullback_topup,2,-0.14101117617299508,0.7,0.3,18,4,32,26,-50.0,-215.0,2.0,33_66_100,21,4.7,0.8,2.110075275845976,0.474875602246012,1.802077205674627,5.0,0.24985471149853034,2.534319613152125,4.0,0.47258746782483213,-0.18939270715270323,323172.58602218505,2.056310369007608,0.2860030726041838,1.7425080043171144,inf,0.1141917247437173,2.504586678641259,1.0,0.4209932295877947,-0.14101117617299508,0.5620044057607898,384180.0284355001
dca_pullback_topup,3,-0.10734537494420548,0.8,0.3,21,3,42,14,-20.0,-235.0,2.0,25_50_100,26,3.8000000000000003,3.1,2.304545977333252,0.5331470675040032,1.8946193043913586,5.0,0.25774826503370885,2.9421717843726998,4.0,0.5305297192242149,-0.13145045575332043,333463.5799427725,2.090609093805239,0.307742470166136,1.7593624530684042,inf,0.11999034570679201,2.56472692326543,1.0,0.4546590308165843,-0.10734537494420548,0.5620044057607898,390893.4006343101
dca_pullback_topup,4,-0.1352976507585879,0.7,0.25,20,2,32,20,-30.0,-120.0,1.8,50_75_100,25,3.3000000000000003,3.2,2.198179505731922,0.4977058776669678,1.846277371055193,5.0,0.25212508535331946,2.72091442172132,4.0,0.49528973349474903,-0.16669044148278633,327025.3740171001,2.0273107232364556,0.28970275422789515,1.7171797482720295,inf,0.11881305437751477,2.438307438064828,1.0,0.4267067550022019,-0.1352976507585879,0.5620044057607898,385644.9064066401
dca_pullback_topup,5,-0.10449975658791355,0.75,0.25,29,3,40,38,-80.0,-170.0,1.5,50_75_100,10,4.800000000000001,3.4000000000000004,2.2781255779972285,0.5416178901009325,1.8710539991915487,5.0,0.27492610128499817,2.8786174583603064,4.0,0.5389493425194036,-0.12303083245813168,334679.89144709,2.084913310445804,0.30957341373022307,1.7403385956362836,inf,0.1211166180080483,2.5559945350327706,1.0,0.45750464917287625,-0.10449975658791355,0.5620044057607898,391182.89860928006
dca_pullback_topup,6,-0.14522212019597514,0.75,0.25,35,5,33,13,-80.0,-165.0,1.7000000000000002,25_50_100,17,1.9,0.9,2.2074585090518277,0.48822006804200513,1.8458580894050591,5.0,0.2338416937546871,2.751369141642973,4.0,0.4858614287323228,-0.17611874624521257,325333.950584915,2.0642661157503555,0.2832736527491997,1.724892846096333,inf,0.11181122751451389,2.533499175764158,1.0,0.41678228556481467,-0.14522212019597514,0.5620044057607898,383540.12527235004
dca_pullback_topup,7,-0.13224042839963213,0.75,0.25,40,5,30,25,-70.0,-195.0,0.0,25_50_100,13,4.7,1.3,2.2751185753735075,0.49528764529169567,1.894649612587286,5.0,0.2397589713242534,2.8969325568400315,4.0,0.49288599188816296,-0.1690941830893724,326516.28330803,2.0918130919711664,0.291680669681351,1.7648047580533446,inf,0.11305668269385849,2.579950717917144,1.0,0.4297639773611577,-0.13224042839963213,0.5620044057607898,385441.86828108004
dca_pullback_topup,8,-0.13544063233078307,0.8,0.3,17,4,35,29,-40.0,-145.0,0.1,25_50_100,7,3.4000000000000004,2.9000000000000004,2.311604042335408,0.5241003566206737,1.8932977713483723,5.0,0.24369831768817596,2.9670843701321066,4.0,0.5215357475392808,-0.14044442743825458,331660.70819771255,1.9854768239281302,0.28961022071754017,1.6970717102898092,inf,0.12369394257432986,2.3413452161855726,1.0,0.42656377343000673,-0.13544063233078307,0.5620044057607898,384534.29636625
dca_pullback_topup,9,-0.0750088558356794,0.75,0.3,21,5,25,20,-90.0,-65.0,1.8,50_75_100,20,3.1,1.3,2.297905966552877,0.5531973865258546,1.8849222436667612,5.0,0.25967635691732693,2.9141993702883413,4.0,0.5504642208010893,-0.11151595417644605,336752.4865393975,2.2014260235056873,0.3284892924318652,1.8070704565963596,inf,0.11709089951027929,2.805421205283571,1.0,0.4869955499251104,-0.0750088558356794,0.5620044057607898,398826.46804348007
dca_pullback_topup,10,-0.17957361113842207,0.7,0.2,26,4,20,19,-5.0,-50.0,1.1,33_66_100,30,1.1,2.0,2.25145903489186,0.4535289102595647,1.8374195829567288,5.0,0.23670759123442242,2.8905067925446053,4.0,0.45135615876349394,-0.21062401621404142,319203.8307552,1.984104151707667,0.26092103051227666,1.678279244284052,inf,0.11007753744343363,2.370338550191115,1.0,0.38243079462236773,-0.17957361113842207,0.5620044057607898,375879.3840261801
dca_pullback_topup,11,-0.1139126969568105,0.75,0.25,29,3,59,38,-75.0,-90.0,1.1,50_75_100,8,4.1,3.9000000000000004,2.264026139616336,0.5388300348002448,1.8564943730649306,5.0,0.2678469663207559,2.850915631517587,4.0,0.5361774158726614,-0.12580275910487393,334324.4852256,2.054913750541589,0.3035129980320357,1.7091789704320344,inf,0.12149929129344827,2.4980639376651435,1.0,0.4480917088039793,-0.1139126969568105,0.5620044057607898,389239.78993015015
dca_pullback_topup,12,-0.11816257024236876,0.75,0.3,28,3,20,39,-85.0,-180.0,1.4000000000000001,50_75_100,20,2.4000000000000004,2.5,2.3962317803625104,0.5584579709545692,1.944364204260638,5.0,0.2405666924272094,3.133784249638264,4.0,0.555698731749483,-0.10628144322805227,337485.42239885754,2.04798132640634,0.30077310003521185,1.7107985844297575,inf,0.12115451376260167,2.4825579393976764,1.0,0.44384183551842105,-0.11816257024236876,0.5620044057607898,388399.4809656201
dca_pullback_topup,13,-0.13499500466445413,0.75,0.25,12,3,51,35,-60.0,-90.0,0.6000000000000001,50_75_100,12,5.0,4.0,2.347469651159567,0.5360163079678674,1.87084950323443,5.0,0.27646649025670833,3.056248199587894,4.0,0.5333770174342489,-0.12860315754328638,334250.99222363,1.9773665009486596,0.28989860927848365,1.6822221052344337,inf,0.12461348061379751,2.326382409435608,1.0,0.4270094010963357,-0.13499500466445413,0.5620044057607898,385186.87607666006
