family,number,value,param_hierarchy,param_trend_indicator,param_atr_stop,param_atr_trail,param_st_len,param_st_mult,param_momentum_indicator,param_mom_rsi_len,param_mom_rsi_threshold,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,param_macd_fast,param_macd_slow,param_macd_signal,param_kama_len,param_kama_fast,param_kama_slow,param_aroon_len,param_aroon_threshold,param_volume_indicator,param_mfi_len,param_mfi_threshold,param_cmf_len,param_cmf_threshold,param_obv_ema_len,param_cci_len,param_cci_threshold
hierarchy_combo,207,3.926898328146385,trend_momentum,kama,3.8000000000000003,2.7,,,cci,,,3.926898328146385,0.6137070083636682,2.1470196613100607,21.236682136514222,0.12841640029741708,6.843093736781984,26.0,0.6106450006210212,-0.051335174356514135,342292.30184891005,,,,10.0,4.0,31.0,,,,,,,,,32.0,35.0
hierarchy_combo,208,3.6680304526228533,trend_momentum,kama,3.4000000000000004,2.9000000000000004,,,cci,,,3.6680304526228533,0.6163863767429718,2.096940342338562,9.205161892601735,0.13431080656731254,6.516364394095871,27.0,0.6133025127301257,-0.04867766224740966,342503.08432565274,,,,13.0,4.0,34.0,,,,,,,,,34.0,20.0
hierarchy_combo,209,3.4329064042746156,trend_momentum,kama,3.7,2.8000000000000003,,,cci,,,3.4329064042746156,0.5839758469095491,1.990416210395229,7.158746985578249,0.12867918987016902,6.076831488212107,29.0,0.581081644077142,-0.08089853090039328,338307.87191128527,,,,12.0,4.0,30.0,,,,,,,,,33.0,25.0
hierarchy_combo,210,4.225921625422762,trend_momentum,kama,3.6,2.6,,,cci,,,4.225921625422762,0.6616807493782382,2.170621641717039,18.453576481613872,0.12891846290953468,7.87333325702992,30.0,0.6583290786604289,-0.0036510963171064725,350730.6090276476,,,,10.0,4.0,33.0,,,,,,,,,33.0,30.0
hierarchy_combo,211,4.225921625422762,trend_momentum,kama,3.5,2.8000000000000003,,,cci,,,4.225921625422762,0.6616807493782382,2.170621641717039,18.453576481613872,0.12891846290953468,7.87333325702992,30.0,0.6583290786604289,-0.0036510963171064725,350730.6090276476,,,,13.0,4.0,32.0,,,,,,,,,33.0,30.0
hierarchy_combo,212,3.8284844844710477,trend_momentum,kama,3.4000000000000004,2.7,,,cci,,,3.8284844844710477,0.608670569099599,2.0887386404900044,20.512518863374503,0.12841640029741708,6.622684528084562,27.0,0.6056378084155549,-0.05634236656198044,341737.15583407506,,,,14.0,4.0,31.0,,,,,,,,,32.0,35.0
hierarchy_combo,213,3.8432633619100707,trend_momentum,kama,3.5,2.8000000000000003,,,cci,,,3.8432633619100707,0.6000810145297975,2.0514799792808738,12.930983451174878,0.1287767744336148,6.680034739712985,29.0,0.5970928372453961,-0.06488733773213928,340956.9076854527,,,,15.0,4.0,31.0,,,,,,,,,34.0,30.0
hierarchy_combo,214,4.03449843419145,trend_momentum,kama,3.7,3.0,,,cci,,,4.03449843419145,0.6305663101292083,2.07317462874334,10.82719503456869,0.1381387171194275,7.127167922998046,32.0,0.627398261526418,-0.03458191345111733,345597.45103266,,,,11.0,4.0,30.0,,,,,,,,,32.0,25.0
hierarchy_combo,215,4.177705307541158,trend_momentum,kama,3.6,2.6,,,cci,,,4.177705307541158,0.6331752242430033,2.170977275345348,16.13867498511315,0.12841640029741708,7.533886730873316,27.0,0.629996923710908,-0.03198325126662738,346368.39150836266,,,,12.0,4.0,32.0,,,,,,,,,33.0,35.0
hierarchy_combo,216,4.2003217890958,trend_momentum,kama,3.5,2.9000000000000004,,,cci,,,4.2003217890958,0.6380122759240247,2.182132311402804,18.281957234438615,0.12903253351604782,7.56527326550175,28.0,0.634805754259421,-0.027174420718114434,347297.5834228701,,,,11.0,4.0,31.0,,,,,,,,,32.0,30.0
