hierarchy,trend_indicator,momentum_indicator,volume_indicator,wf_score,wf_twr,wf_excess_vs_dca,holdout_twr,holdout_cagr,holdout_excess_vs_dca,holdout_profit_factor,params
trend_momentum_volume,kama,cci,obv,3.6763724778225813,0.6040269096381325,-0.057953265339402815,0.33206714831201434,0.22786149333680505,-0.22993725744877547,3.875510225641296,"{""atr_stop"": 1.4, ""atr_trail"": 2.0, ""cci_len"": 34, ""cci_threshold"": 0.0, ""hierarchy"": ""trend_momentum_volume"", ""kama_fast"": 2, ""kama_len"": 32, ""kama_slow"": 25, ""momentum_indicator"": ""cci"", ""obv_ema_len"": 53, ""trend_indicator"": ""kama"", ""volume_indicator"": ""obv""}"
trend_momentum_volume,kama,cci,obv,3.6456973140933027,0.5758482844551043,-0.08613189052243109,0.3313646889004347,0.227397902425863,-0.23063971686035512,3.651753974474866,"{""atr_stop"": 1.0, ""atr_trail"": 1.8, ""cci_len"": 39, ""cci_threshold"": 0.0, ""hierarchy"": ""trend_momentum_volume"", ""kama_fast"": 2, ""kama_len"": 26, ""kama_slow"": 20, ""momentum_indicator"": ""cci"", ""obv_ema_len"": 55, ""trend_indicator"": ""kama"", ""volume_indicator"": ""obv""}"
trend_only,kama,,,3.670427713197208,0.6810413067113283,0.01906113173379298,0.3296890639427512,0.22629178631957436,-0.2323153418180386,3.500061168535699,"{""atr_stop"": 3.8, ""atr_trail"": 1.3, ""hierarchy"": ""trend_only"", ""kama_fast"": 2, ""kama_len"": 27, ""kama_slow"": 27, ""trend_indicator"": ""kama""}"
trend_momentum_volume,kama,cci,mfi,3.9638456660290844,0.5922011506249161,-0.06977902435261929,0.32309684225009727,0.22193626859033544,-0.23890756351069253,6.134838828175203,"{""atr_stop"": 3.3000000000000003, ""atr_trail"": 2.7, ""cci_len"": 33, ""cci_threshold"": 30.0, ""hierarchy"": ""trend_momentum_volume"", ""kama_fast"": 4, ""kama_len"": 10, ""kama_slow"": 28, ""mfi_len"": 24, ""mfi_threshold"": 49.0, ""momentum_indicator"": ""cci"", ""trend_indicator"": ""kama"", ""volume_indicator"": ""mfi""}"
trend_only,kama,,,3.3385044863012405,0.5814990875554343,-0.08048108742210103,0.3186359682422937,0.218985446699405,-0.24336843751849613,3.178108310120578,"{""atr_stop"": 3.7, ""atr_trail"": 2.0, ""hierarchy"": ""trend_only"", ""kama_fast"": 2, ""kama_len"": 23, ""kama_slow"": 22, ""trend_indicator"": ""kama""}"
trend_only,kama,,,3.5746373130557876,0.691382820009041,0.029402645031505692,0.3169796896339556,0.2178891139354986,-0.24502471612683419,3.1223253747443973,"{""atr_stop"": 4.2, ""atr_trail"": 0.8, ""hierarchy"": ""trend_only"", ""kama_fast"": 2, ""kama_len"": 27, ""kama_slow"": 27, ""trend_indicator"": ""kama""}"
trend_volume,kama,,mfi,2.918776060898262,0.5331615350983205,-0.12881863987921488,0.31502818188276427,0.21659685873254397,-0.24697622387802554,4.52729099644759,"{""atr_stop"": 3.0, ""atr_trail"": 2.4000000000000004, ""hierarchy"": ""trend_volume"", ""kama_fast"": 2, ""kama_len"": 18, ""kama_slow"": 58, ""mfi_len"": 15, ""mfi_threshold"": 40.0, ""trend_indicator"": ""kama"", ""volume_indicator"": ""mfi""}"
trend_only,kama,,,3.640242604012021,0.6926478689235758,0.03066769394604041,0.3146720972434234,0.21636100679218173,-0.24733230851736643,3.2064769282084784,"{""atr_stop"": 4.6, ""atr_trail"": 1.5, ""hierarchy"": ""trend_only"", ""kama_fast"": 2, ""kama_len"": 24, ""kama_slow"": 42, ""trend_indicator"": ""kama""}"
trend_volume,kama,,cmf,1.773498950440256,0.26580434390065505,-0.3961758310768803,0.30574242648102623,0.21044050655627866,-0.2562619792797636,3.3454551400378447,"{""atr_stop"": 3.2, ""atr_trail"": 2.6, ""cmf_len"": 14, ""cmf_threshold"": -0.06, ""hierarchy"": ""trend_volume"", ""kama_fast"": 4, ""kama_len"": 12, ""kama_slow"": 20, ""trend_indicator"": ""kama"", ""volume_indicator"": ""cmf""}"
trend_momentum,kama,cci,,4.587882816399485,0.6512504759988451,-0.01072969897869025,0.293935449263768,0.20259461748613883,-0.2680689564970218,5.328252347885368,"{""atr_stop"": 2.8, ""atr_trail"": 2.8000000000000003, ""cci_len"": 26, ""cci_threshold"": 10.0, ""hierarchy"": ""trend_momentum"", ""kama_fast"": 4, ""kama_len"": 15, ""kama_slow"": 21, ""momentum_indicator"": ""cci"", ""trend_indicator"": ""kama""}"
