rebalance_date,selection_date,rank,symbol,holding_name,score,rel_mom_126,ratio_vs_sma200,residual_strength_126_126b,median_daily_value,max_drawdown_252,vol_63,beta_252
2019-02-05,2019-01-08,1,CCAP,QALA For Financial Investments,0.907051282051282,2.5735815602836882,1.5022913328812155,1.5243480717291231,74562820.66,0.276595744680851,0.3493470044714253,0.6120720456688649
2019-02-05,2019-01-08,2,ORHD,Orascom Development Egypt,0.7987179487179488,4.914893617021277,1.4728709451003765,1.996360055341549,19100056.05,0.4832214765100671,0.5394236103554797,0.633193033217193
2019-02-05,2019-01-08,3,ABUK,Abou Kir Fertilizers,0.7942307692307692,1.6336306968164611,0.45310824222706514,1.115895502054897,2365349.56,0.35997764114030195,0.30760671153134017,0.27104489402131987
2019-02-05,2019-01-08,4,GBCO,GB Corp,0.7237179487179487,0.8385101206191439,0.41816748564929673,0.7178890274152655,1555582.6800000002,0.31610044313146235,0.3644943567613968,0.5997060011567948
2019-02-05,2019-01-08,5,EAST,Eastern Company,0.7057692307692308,0.8240147637900881,0.33638825739875267,0.7442724128020665,12454546.0,0.4617202268431002,0.3172192603063166,0.3105130211812056
2019-02-05,2019-01-08,6,JUFO,Juhayna Food Industries,0.6557692307692308,0.43371877890841803,0.32114944033400294,0.5190402557363467,5460524.0,0.3840579710144928,0.33720413715843256,0.6402468573445911
2019-02-05,2019-01-08,7,VLMR,Egyptian Kuwaiti Holding,0.6480769230769232,0.5679162445119892,0.435148282454183,0.7126655282127706,280315.89999999997,0.4308510638297872,1.298394895599057,0.24146883944643427
2019-02-05,2019-01-08,8,EGAL,Egypt Aluminum,0.6192307692307693,1.3620440011261716,0.2755373099199181,1.2896367691358201,4223840.4,0.5745580322828594,0.33527707421505426,0.30613718103797416
2019-02-05,2019-01-08,9,TMGH,T M G Holding,0.6192307692307693,0.12190101757631844,0.1390386605716709,0.1749592314563354,9864140.0,0.363314447592068,0.3036333735719846,0.7351703653108123
2019-02-05,2019-01-08,10,EGCH,Egyptian Chemical Industries (KIMA),0.5788461538461538,0.18458494027242156,0.26128231315172035,0.37754070261657946,9935361.959999999,0.4544159544159544,0.41523650257781236,0.5097302066080242
2019-07-09,2019-05-21,1,CCAP,QALA For Financial Investments,0.891025641025641,1.8020820575627678,1.1081290227760423,1.2781862638560701,44336939.160000004,0.276595744680851,0.28557613840531876,0.6012995038934549
2019-07-09,2019-05-21,2,ORHD,Orascom Development Egypt,0.7737179487179487,3.0750517088545264,0.9007030710168793,1.6197412812125926,8998267.96,0.4832214765100671,0.29088643700688976,0.647134870258393
2019-07-09,2019-05-21,3,ABUK,Abou Kir Fertilizers,0.7461538461538462,1.3335530423922846,0.4512366419486584,1.0056557654678742,688271.99,0.3686416992733371,0.27783331385541854,0.3555181253110698
2019-07-09,2019-05-21,4,EAST,Eastern Company,0.7320512820512819,0.7463729746902468,0.24132798562603508,0.7023310629064481,15215276.6,0.4617202268431002,0.25026135443785086,0.3926422569536758
2019-07-09,2019-05-21,5,VLMR,Egyptian Kuwaiti Holding,0.7282051282051284,1.0138793928620262,0.792826928632975,1.0023907580888654,765495.9600000001,0.4308510638297872,0.3545286995492901,0.2752492341645637
2019-07-09,2019-05-21,6,JUFO,Juhayna Food Industries,0.7147435897435899,0.3520953092165817,0.3355218967520086,0.45427217857491037,5002667.3,0.3840579710144928,0.2744832676375569,0.6755584529543699
2019-07-09,2019-05-21,7,TMGH,T M G Holding,0.6935897435897436,0.09872903363783547,0.1280470267658087,0.16854462996260194,17227410.3,0.363314447592068,0.21896384487352943,0.7759752163142158
2019-07-09,2019-05-21,8,GBCO,GB Corp,0.6378205128205129,0.49002120833106755,0.09270652803673118,0.5252750942091794,1841912.0,0.410958904109589,0.2620072495002031,0.6407617884351043
2019-07-09,2019-05-21,9,RAYA,Raya Holding For Financial Investments,0.5346153846153846,0.014084507042253724,0.07047502929561089,0.3405028599073161,294626.8,0.4242424242424243,0.2672953461242486,0.4622519847723511
2019-07-09,2019-05-21,10,ADIB,Abu Dhabi Islamic Bank- Egypt,0.5288461538461537,0.020571523754881582,0.09370597951992998,0.18120152726580283,2961685.56,0.4318541996830427,0.2658833191421116,0.5246295352839113
2020-01-02,2019-12-31,1,ORHD,Orascom Development Egypt,0.8446666666666668,1.862316233781807,0.7247046558178065,1.233570071919489,3767476.74,0.23974358974358978,0.27250854227801413,0.7314615809869095
2020-01-02,2019-12-31,2,COMI,Commercial International Bank-Egypt (CIB),0.8379999999999999,1.3331928134096156,1.5180836046214847,1.2098478067475176,75406268.34,0.2412882787750793,2.0081164200189097,0.714959078598005
2020-01-02,2019-12-31,3,VLMR,Egyptian Kuwaiti Holding,0.8026666666666668,1.1159057744423597,0.48013703174186295,1.0737062579050032,289809.9,0.4308510638297872,0.15705286330912216,0.3022645288523515
2020-01-02,2019-12-31,4,CCAP,QALA For Financial Investments,0.7426666666666668,1.225349176568689,0.34645467752155534,1.0992506926520016,17755012.0,0.5305164319248826,0.3176185037273419,0.659182180876335
2020-01-02,2019-12-31,5,EAST,Eastern Company,0.6900000000000002,0.49739149739149724,0.45526221867826355,0.5957043668491298,11627181.61,0.4546313799621928,0.7559928416795494,0.382180306481844
2020-01-02,2019-12-31,6,ADIB,Abu Dhabi Islamic Bank- Egypt,0.6566666666666667,0.19722975007527865,0.03815520371630532,0.3512139171985086,2223098.04,0.4310618066561014,0.20611348829932166,0.5295205606563765
2020-01-02,2019-12-31,7,ABUK,Abou Kir Fertilizers,0.6066666666666667,0.15444315095071803,0.11273636465625336,0.2761869422719954,1827220.5,0.4310548025928108,0.28386331415885546,0.38984489897952446
2020-07-06,2020-06-29,1,COMI,Commercial International Bank-Egypt (CIB),0.8573333333333333,0.452788276545121,0.18303653139909448,0.8488443403181571,158652184.32,0.663454589255601,0.3361569299810161,0.71316892638149
