variant,symbols_evaluated,stock_pass_rate,stock_median_holdout_excess_return_vs_dca,stock_mean_holdout_excess_return_vs_dca,stock_median_holdout_cagr,stock_median_holdout_max_drawdown,stock_median_gate_on_ratio
overlay_base,31,0.0967741935483871,-0.30864625420022396,-0.49925705472874926,0.3680314176828492,0.40305904698794515,1.0
overlay_gate_ichimoku,31,0.16129032258064516,-0.4066600384771162,-0.7894998706530864,0.3545408394723557,0.3900353788062718,0.3305168986083499
overlay_gate_ravi,31,0.12903225806451613,-0.4879445576699548,-0.9881540182925997,0.34116726714035694,0.3833433823673853,0.1783235451147891
overlay_gate_zlema_band,31,0.16129032258064516,-0.45781946506216276,-0.7554726840253582,0.33788235053845805,0.3833317059167347,0.29554390563564875
pullback_base,31,0.3870967741935484,-0.04669129328092447,-0.15142296910556782,0.41496858474930653,0.41739281677615747,1.0
pullback_gate_ichimoku,31,0.0967741935483871,-1.2734203189149107,-1.9613818197209378,0.22444875764058247,0.35398713127987136,0.3305168986083499
pullback_gate_ravi,31,0.0967741935483871,-2.6231613836776013,-3.2813026921109008,0.0,0.0,0.1783235451147891
pullback_gate_zlema_band,31,0.12903225806451613,-2.3107481556338176,-3.5067061816189162,0.0,0.0,0.29554390563564875
