symbol,variant,base_family,gate_family,bars,window_scheme,gate_on_ratio,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,wf_excess_return_vs_dca,holdout_pass
ABUK,pullback_base,dca_pullback_only,none,5805,primary,1.0,-0.40743933226537354,0.35448411028348614,0.9724491032925758,0.5719652924970564,-0.12193007369135209,0.0
ABUK,overlay_base,dca_tactical_overlay,none,5805,primary,1.0,-0.21797049800992863,0.3680314176828492,1.018392412050528,0.5469402861780706,0.37218789993842616,0.0
ABUK,pullback_gate_ichimoku,dca_pullback_only,blackcat_ichimoku,5805,primary,0.2997416020671835,-2.0243462050621286,0.21219482403945134,0.8505557672020139,0.44462823069417035,-0.13886141237114802,0.0
ABUK,overlay_gate_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5805,primary,0.2997416020671835,-0.4066600384771162,0.3545408394723557,1.0175139300870475,0.526562917472357,0.40444938663843577,0.0
ABUK,pullback_gate_ravi,dca_pullback_only,blackcat_ravi,5805,primary,0.1781223083548665,-3.4492720684761036,0.0,0.0,0.0,-0.19452203069673082,0.0
ABUK,overlay_gate_ravi,dca_tactical_overlay,blackcat_ravi,5805,primary,0.1781223083548665,-0.4573459765743393,0.3508331621869809,1.0355655545092717,0.5038061293357146,0.4243730402824049,0.0
ABUK,pullback_gate_zlema_band,dca_pullback_only,blackcat_zlema_band,5805,primary,0.30921619293712316,-3.4492720684761036,0.0,0.0,0.0,-0.17610267529471144,0.0
ABUK,overlay_gate_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5805,primary,0.30921619293712316,-0.25590861896925166,0.3653573651685156,1.050756089238787,0.5248863974908817,0.4185950769200573,0.0
ADIB,pullback_base,dca_pullback_only,none,5936,primary,1.0,-0.605492053711262,0.4342448527916243,1.0218354407631285,0.5731344455750031,-0.15587008416164105,0.0
ADIB,overlay_base,dca_tactical_overlay,none,5936,primary,1.0,-1.1426214605348273,0.4030257208783763,0.9877331916967482,0.5612252593883703,-0.024896959267510642,0.0
ADIB,pullback_gate_ichimoku,dca_pullback_only,blackcat_ichimoku,5936,primary,0.3318733153638814,-2.9429826973632753,0.27363826006480796,0.8266999760940663,0.5313958397424856,-0.1830427124382324,0.0
ADIB,overlay_gate_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5936,primary,0.3318733153638814,-1.479800684581754,0.3820291465674621,0.9757984223216493,0.5568312880614865,-0.054115858932929646,0.0
ADIB,pullback_gate_ravi,dca_pullback_only,blackcat_ravi,5936,primary,0.18008760107816713,-2.6898664956426654,0.2949128261764098,0.9398677550231601,0.462797375278834,-0.2968741037455422,0.0
ADIB,overlay_gate_ravi,dca_tactical_overlay,blackcat_ravi,5936,primary,0.18008760107816713,-2.0837468465250484,0.34116726714035694,0.9221154633212166,0.563594027758771,-0.036640316964420924,0.0
ADIB,pullback_gate_zlema_band,dca_pullback_only,blackcat_zlema_band,5936,primary,0.28504043126684636,-5.064628427517824,0.0,0.0,0.0,-0.26143416249725704,0.0
ADIB,overlay_gate_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5936,primary,0.28504043126684636,-1.4805452132253878,0.3819814574579492,0.9833213717088419,0.5491390608201523,-0.01073985870698344,0.0
AMOC,pullback_base,dca_pullback_only,none,4958,primary,1.0,-0.013852022743144676,0.22719780642026177,0.7061368610069839,0.45521913869563735,0.012046622345552788,0.0
AMOC,overlay_base,dca_tactical_overlay,none,4958,primary,1.0,-0.19477048486345216,0.2011123672356665,0.6679727367426266,0.4514291292668402,0.36372061500851105,0.0
AMOC,pullback_gate_ichimoku,dca_pullback_only,blackcat_ichimoku,4958,primary,0.29245663574021785,-1.2567390950374653,-0.0019743949877299993,0.13038281977876756,0.38508263044685465,-0.08762775970482872,0.0
