family,number,value,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_cci_threshold,param_allocation_ladder,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
kama_cci_atr_allocation,0,-0.36497737166347277,21,5,50,28,15.0,100_60_20,21,3.9000000000000004,0.5,1.827299446180156,0.3865932583450949,1.3393607043336542,2.805674408610031,0.22531970412011437,2.8898724400124824,62.0,0.3847456906234471,-0.27723448435408826,305946.35180526035,0.8569383280765221,0.1374055265762837,0.8812324194754155,1.8599630506698785,0.1208556612713989,1.1369390985145467,35.0,0.19702703409731703,-0.36497737166347277,0.5620044057607898,345726.0290222709
kama_cci_atr_allocation,1,-0.2448577793803315,40,5,28,15,15.0,100_25_0,13,3.5,1.0,2.8416618582404247,0.5640790930930973,1.8464940642754097,36.79051032559832,0.1985599534861835,5.633914426352301,29.0,0.5612173082831181,-0.10076286669441725,332408.61290480284,1.6694969212752446,0.21799963133933908,1.3936955978626224,3.2018919683557563,0.0907344457132152,2.4026115950316327,16.0,0.3171466263804583,-0.2448577793803315,0.5620044057607898,366341.5803505104
kama_cci_atr_allocation,2,-0.25437334317039073,19,3,38,34,20.0,100_25_0,21,1.6,0.7,3.2542956712391113,0.5480060976627759,1.7324781773970461,4.523930639407736,0.165832304468567,6.052786848263294,64.0,0.5452687970081392,-0.11671137796939612,329066.24928448536,1.898782636077699,0.21169365614814373,1.3326699209163957,3.1263703796757074,0.06980684562264061,3.032562985190734,27.0,0.3076310625903991,-0.25437334317039073,0.5620044057607898,370589.9997479704
kama_cci_atr_allocation,3,-0.20683271935593162,39,5,53,19,10.0,100_50_0,18,1.1,3.7,2.947544492277421,0.5409085471468099,1.8026592875202367,13.60559693201248,0.23752282307195138,4.824745560687402,41.0,0.5382302340742788,-0.12374994090325658,329811.7271669477,1.8228188944141999,0.24307099543909438,1.441650343687465,4.576160815966143,0.1089740222233615,2.2305407332848324,12.0,0.3551716864048582,-0.20683271935593162,0.5620044057607898,375305.36564225017
kama_cci_atr_allocation,4,-0.3092544778996895,18,4,32,26,55.0,100_25_0,29,4.6,2.6,2.853835422558416,0.5268183866970029,1.8874380676970344,11.771346266555938,0.18830387160346862,5.295794187060713,25.0,0.524235507281723,-0.1377446676958124,328736.66772209265,1.2630887110303333,0.17506530617517013,1.195857515503061,3.440524226081842,0.12426029343861644,1.4088595908688317,14.0,0.2527499278611003,-0.3092544778996895,0.5620044057607898,358211.4003140503
kama_cci_atr_allocation,5,-0.28035721092725274,38,2,28,11,30.0,100_60_20,15,2.1,2.4000000000000004,2.819734242876949,0.5878266309712814,2.034168881923055,1.1115974652323488,0.17238444276003306,5.595029302656261,5.0,0.5849026104463153,-0.07707756453122011,340105.8944022128,1.8706574706169146,0.19440728236827498,1.2879734143990522,8.466095660498814,0.08483698347039115,2.291539307690317,6.0,0.28164719483353706,-0.28035721092725274,0.5620044057607898,360372.39605368034
kama_cci_atr_allocation,6,-0.27075687210805777,14,5,23,40,80.0,100_60_20,23,3.9000000000000004,3.2,2.848867740296951,0.5742946126003212,2.0118607686066947,1.25,0.19218145764781236,5.793036783050608,1.0,0.5714331121564922,-0.09054706282104319,337124.6479056802,0.8863245357198752,0.2008056254986479,1.3005838392598137,0.0,0.11844292551234781,1.6953788048549483,2.0,0.29124753365273204,-0.27075687210805777,0.5620044057607898,361456.12232722016
kama_cci_atr_allocation,7,-0.27586241312802073,12,3,24,36,65.0,100_50_0,14,3.9000000000000004,2.7,3.8985837042855045,0.6089568791103424,2.1085645218266107,22.09787946295721,0.15931270828417565,6.790287616166593,37.0,0.6059062122056085,-0.05607396277192689,339927.8757791402,1.8574822519558671,0.19740462168417805,1.2884229647143342,4.600000900839249,0.08205328929565392,2.40580997274699,15.0,0.28614199263276907,-0.27586241312802073,0.5620044057607898,363122.54718305013
kama_cci_atr_allocation,8,-0.4285082400708218,37,3,24,32,75.0,100_25_0,19,2.7,0.5,2.0992533734133922,0.3822486815002689,1.4407820527949786,5.957049067368907,0.1944901711798267,3.306644017539254,72.0,0.3804150357023883,-0.28156513927514704,301908.6803742704,0.6100501948000356,0.09385514120749017,0.7200281743564183,1.6757018969645554,0.1366306034807786,0.6869261996686844,38.0,0.13349616568996803,-0.4285082400708218,0.5620044057607898,332943.4054385007
kama_cci_atr_allocation,9,-0.32565375884358905,13,2,46,19,50.0,100_50_0,25,1.9,0.7,3.631175379541985,0.6078328676388054,1.9442028030119085,11.105168440580066,0.20858734637438348,7.59785739661494,70.0,0.6047007743399764,-0.057279400637558986,336837.8594083479,1.0887180864082922,0.16403235601291044,1.1255789162370746,2.458190341610807,0.11909885745334114,1.3772790060322173,31.0,0.23635064691720076,-0.32565375884358905,0.5620044057607898,359547.39770854055
