symbol,pullback_money_multiple,dca_money_multiple,pullback_cagr,dca_cagr,excess_twr_pullback_minus_dca,winner
ABUK,12.258861565008194,12.580537325409098,0.1740748728346028,0.1756967348125939,-1.3016171298752113,DCA
ADIB,8.8014767746777,9.17329053733861,0.1215916674781625,0.1248605289589157,-1.058293992136896,DCA
AMOC,1.9387466242475373,1.9339596620498136,0.0169005585986778,0.0187509845140121,-0.0506264957068955,DCA
ARCC,8.549117324722403,8.621696577997728,0.1538467452510616,0.1630136870520619,-0.481230786411829,DCA
BFTH,3.6146826491199953,3.869108091000351,0.1871807491282313,0.2206102906367855,-4.161141217419948,DCA
CCAP,1.8206103704078496,1.7962946362340777,-0.0429769856334909,-0.0798067589385201,0.2307264951064214,Pullback
COMI,49.73818543761384,49.9610833595781,0.2516865296400481,0.2494395093492145,9.134904431306182,Pullback
EAST,26.268713117642175,26.802916530864422,0.2372189616931868,0.2331480543074309,7.93111151247642,Pullback
EFID,1.94796895836907,2.0090949266500773,0.0708572449415414,0.1004283829694543,-0.5934205584841934,DCA
EFIH,1.3790474871631078,1.4127402293291846,0.0964876769746314,0.0480563518116687,0.2596447594474584,Pullback
EGAL,72.3826705493717,69.24466018987592,0.331501243717482,0.2780020272686523,273.4228643653145,Pullback
EGCH,7.044437849374996,11.733904330062094,0.1527660471672218,0.1986064544845784,-26.42022871144692,DCA
EMFD,2.897042582659214,2.810705665657407,0.1281357824345965,0.0851690944513585,1.150664716264565,Pullback
ETEL,6.168349717393437,6.509070161713284,0.0865171976671264,0.121569467292349,-4.308327265134391,DCA
FWRY,4.068923571671626,4.306265087481242,0.3958061197600728,0.4250387619212517,-1.1897089553442832,DCA
GBCO,3.8445100454635703,3.893916220554029,-0.0309613258242087,-0.0195431927276292,-0.1310016151378913,DCA
HELI,4.632957931654198,4.60247232635511,0.1410049651972589,0.1484099277853161,-2.833460197376656,DCA
HRHO,7.246002797200672,7.242084302203001,0.1442876307312701,0.1422026247284467,1.0187401185733904,Pullback
ISPH,2.660382807547243,2.705310108062946,0.0774255393242588,0.113470019869722,-0.5445324356417969,DCA
JUFO,3.66029597261105,5.30308999835234,0.1327851685041372,0.2710248004993976,-28.927554211712167,DCA
MCQE,22.549789996978067,383.80633297312,0.3028529947509923,0.3441785045619145,-209.1997060434685,DCA
OIH,1.2768879726653442,1.2173050650357304,-0.0376714286242273,-0.0483668689884723,0.0936772730296218,Pullback
ORAS,5.379911076704611,5.401740525806417,0.1708118993421887,0.167900826831713,0.1390913854737299,Pullback
ORHD,23.605742249865745,22.513797325722088,0.2624088444027161,0.2510350460607349,9.43245039747086,Pullback
ORWE,2.0531820681757864,2.145588872425318,0.0660833221344185,0.0673995585314983,-0.1300105305014582,DCA
PHDC,3.263988005326796,3.2816448873535,0.0032806712186608,0.0063341671701977,-0.0566354134685409,DCA
RAYA,30.614293177199,30.828822919852,0.1692847016375211,0.1668115559232741,0.9085436906962556,Pullback
RMDA,2.1859316457147586,2.1729957791083447,0.1114371455940881,0.1176046063546025,-0.0645442012638377,DCA
TMGH,10.875206667048063,11.107020563343816,0.1209809591119837,0.1083776789021842,1.342147391770017,Pullback
VLMR,0.7643299031502299,0.7684255408687476,0.0376050469762041,-0.0136843550995267,1.6927260487624909,Pullback
VLMRA,1.060579608286318,1.0956635550043183,0.0323981030192712,0.0707668836532928,-0.1977965394080154,DCA
