family,number,value,param_regime_ma,param_rsi_len,param_rsi_entry,param_rsi_exit,param_bb_len,param_bb_std,param_atr_stop,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
mean_reversion,0,-0.06619801749775353,117,13,18.0,51.0,20,2.8,3.0,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,1,-0.3375511150343353,181,2,33.5,55.0,34,1.9,1.1,-0.3375511150343353,-0.06852154152564352,-0.39211054708532084,0.16611057888200553,0.13799826770114798,-0.5429149445369875,10.0,-0.06826593634961661,-0.7302461113271519,224265.36731068502
mean_reversion,2,-0.06619801749775353,230,6,25.0,53.0,12,2.8,3.6,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,3,0.07098285258796683,246,9,39.0,56.0,30,1.6,3.7,0.07098285258796683,-0.03702770785335044,-0.39528683754008753,5.869268214025784,0.16110731486949015,0.05017371258402653,9.0,-0.036900477462070036,-0.6988806524396054,231265.6899056
mean_reversion,4,-0.08811526871668789,144,6,15.0,58.5,24,2.5,4.0,-0.08811526871668789,-0.003368172083926757,-0.028188348121311206,0.0,0.08077404561091628,-0.04169969864421588,2.0,-0.003354851262659553,-0.6653350262401949,234496.7747392475
mean_reversion,5,-0.06619801749775353,237,19,28.0,47.5,15,3.0,2.2,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,6,0.45763518317177054,230,14,31.0,52.0,37,1.8,2.2,0.45763518317177054,0.021679797510931242,0.24243210640622292,2.5,0.08183319852208337,0.26493307921043474,2.0,0.021591935222305514,-0.6403882397552298,238238.77463437
mean_reversion,7,-0.06619801749775353,250,15,26.0,59.0,22,2.6,2.2,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,8,-0.09636690764988165,201,15,30.5,58.5,16,1.8,3.4000000000000004,-0.09636690764988165,-0.005088294545923383,-0.029316910004788588,0.0,0.08394348433641652,-0.06061718545942915,2.0,-0.005068205584534746,-0.6670483805620702,234239.7728440925
mean_reversion,9,-0.06619801749775353,143,14,22.5,48.5,22,1.9,1.7000000000000002,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
