family,number,value,param_fast_ma,param_slow_ma,param_ma_type,param_adx_len,param_adx_threshold,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
trend,0,1.6951513191977683,36,241,SMA,10,18.0,1.7,3.6,1.6951513191977683,0.4247464002950956,1.5849166425966716,2.1034983312532374,0.21554533592487368,2.7021725591813,7.0,0.42268786886496396,-0.2392923061125714,312223.8614532525
trend,1,2.1372269410342044,52,192,EMA,25,19.0,2.1,1.5,2.1372269410342044,0.4307458806816928,1.619492252986532,3.5896438254009344,0.32654616018169647,3.5180955468723254,20.0,0.4286850538444788,-0.23329512113305656,311431.4513644226
trend,2,1.831322524809324,31,155,SMA,20,17.5,2.5,2.1,1.831322524809324,0.4653395107171295,1.6202502091028785,4.424891011047994,0.30506971185677056,2.7032946499487354,14.0,0.46308456360792666,-0.1988956113696087,318960.9683940576
trend,3,1.8900355010022811,42,207,EMA,20,15.5,3.6,1.5,1.8900355010022811,0.43937570038189827,1.5265213287340096,3.6140668916709244,0.30512419256863543,2.927067665432208,21.0,0.4372640512401096,-0.22471612373742578,314222.2402884752
trend,4,2.1226917447366453,14,240,SMA,13,17.0,3.9000000000000004,2.3,2.1226917447366453,0.5602996729263423,1.8323448241396436,4.1799789967237,0.25782811153996865,3.150653833447344,13.0,0.5575323655863875,-0.10444780939114778,337410.9422674676
trend,5,2.0922664503264436,18,149,EMA,12,28.5,2.6,2.6,2.0922664503264436,0.4914794957965329,1.815229893248943,2.787429345088637,0.20381172348862409,3.302146074537739,8.0,0.48911253099157814,-0.17286764398595722,323137.7903355526
trend,6,1.7400656140577189,48,87,SMA,27,33.0,3.6,3.8000000000000003,1.7400656140577189,0.31668259035667384,1.5142638928635943,2.5,0.15081012643914082,2.773158131276724,3.0,0.3152427704390875,-0.34673740453844787,292991.59890059254
trend,7,2.0987884726607455,16,89,EMA,15,20.5,4.4,2.1,2.0987884726607455,0.5206794839441693,1.7451985946316728,7.374844868832264,0.28347882354973997,3.286419469315091,16.0,0.5181242105545352,-0.1438559644230002,327879.712754125
trend,8,2.3294800366125052,29,159,EMA,8,35.0,4.2,1.6,2.3294800366125052,0.454837705408388,1.6411950379141618,4.876954886352307,0.16579926525147437,3.7181299372300654,18.0,0.4526549429770155,-0.2093252320005199,317199.4680599375
trend,9,1.932012971020794,10,213,EMA,23,16.5,2.7,1.3,1.932012971020794,0.44023189136191104,1.558473227067179,3.692255011462004,0.25072299379743257,2.971410595674469,25.0,0.4381418098162335,-0.22383836516130184,314615.5067296751
trend,10,2.544333617339527,77,51,EMA,7,35.0,4.7,3.0,2.544333617339527,0.591451377335904,1.9742243386979133,4.125513935537522,0.18943937923849263,3.969131244590886,11.0,0.58850926422902,-0.07347091074851536,341518.58353569254
trend,11,2.0029955347692026,78,135,EMA,7,34.5,4.9,3.0,2.0029955347692026,0.5180057674063057,1.748053606576384,3.2011101112817766,0.18943937923849263,3.093285372577617,11.0,0.5154693707751414,-0.14651080420239387,330775.54316059005
trend,12,2.0147836693351073,78,54,EMA,7,30.0,4.9,3.1,2.0147836693351073,0.4834274785838713,1.8196845446726717,2.194713175901799,0.1742139561235847,3.335066972748892,7.0,0.48109743930359156,-0.1808827356739438,322183.3544516276
trend,13,2.1408350448911686,66,115,EMA,10,24.5,4.300000000000001,2.9000000000000004,2.1408350448911686,0.5729941743280261,1.9388328412976978,2.4523827332686485,0.24972570682212925,3.4418411663933908,9.0,0.5701542478100888,-0.09182592716744653,339221.7707697851
trend,14,2.2224387840597046,63,182,EMA,16,31.5,4.300000000000001,1.8,2.2224387840597046,0.3725313214021796,1.4986405835532182,5.780889946637757,0.2634466868652042,3.8157551042008593,13.0,0.3707806443770167,-0.2911995306005187,300231.8489072376
trend,15,1.7655940715482337,25,52,EMA,9,35.0,5.0,1.1,1.7655940715482337,0.30887706708215107,1.2532208233223754,4.783951550812018,0.18054648278807361,2.370041525578713,26.0,0.3074696895276542,-0.3545104854498812,289457.2754597451
trend,16,1.8620357091599844,56,109,EMA,13,27.0,3.3,3.3000000000000003,1.8620357091599844,0.4928624786238344,1.7818563247121177,2.2721739955992084,0.24972570682212925,2.9312709647097663,7.0,0.4904829700236547,-0.17149720495388066,322608.31706261006
trend,17,2.3582711970124803,40,163,EMA,7,31.5,4.5,2.6,2.3582711970124803,0.5790543596804962,1.9552883280299083,6.4267042405631525,0.1960476096824536,3.4881199703650463,11.0,0.5761710522362969,-0.08580912274123842,340720.64550121006
trend,18,1.7889880210883313,69,175,SMA,18,25.5,4.6,2.7,1.7889880210883313,0.4286865794552702,1.5729319549911296,2.6184880384582825,0.19833250471393338,2.745180259048757,8.0,0.4266362005811612,-0.23534397439637417,312715.6406161951
trend,19,2.0070243463387314,40,79,EMA,11,31.5,3.8000000000000003,3.4000000000000004,2.0070243463387314,0.4607378129615878,1.8044877974794677,2.5,0.18943937923849263,3.2238716796563454,5.0,0.45852959759708856,-0.2034505773804468,318569.61909531
