family,number,value,param_entry_lookback,param_exit_lookback,param_regime_ma,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
breakout,0,2.463700473170618,104,10,212,2.7,2.1,2.463700473170618,0.29551984137508147,1.5233287290692565,7.382203405235365,0.1063084600913844,4.394940755574569,8.0,0.29414463213769493,-0.36783554283984043,287828.0324183951
breakout,1,2.8813450934511433,81,27,161,3.3,3.2,2.8813450934511433,0.4103715693453126,1.8775149644868434,3.75,0.16745289907069494,4.951242527449091,4.0,0.4084454142717147,-0.25353476070582065,307626.5688552926
breakout,2,2.347203380719804,117,30,164,1.9,1.6,2.347203380719804,0.30085820246956674,1.5554300397997407,8.287527458312745,0.10630963016841244,4.052172227599241,8.0,0.2994655327580003,-0.36251464221953505,288840.94629840256
breakout,3,2.347203380719804,116,57,233,3.8000000000000003,1.6,2.347203380719804,0.30085820246956674,1.5554300397997407,8.287527458312745,0.10630963016841244,4.052172227599241,8.0,0.2994655327580003,-0.36251464221953505,288840.94629840256
breakout,4,2.4667751013293153,84,12,169,4.6,1.8,2.4667751013293153,0.29664005846985914,1.527018555698842,7.404072316713034,0.11309847792321148,4.392203844867343,9.0,0.295260015203141,-0.36672015977439437,288013.5415538551
breakout,5,2.629135824942495,87,53,122,3.5,1.4,2.629135824942495,0.3180089104709132,1.6526489098280075,3.310484455039903,0.11310670611190443,4.639022062857725,9.0,0.3165323047278927,-0.3454478702496427,292046.58514225506
breakout,6,2.424545238928557,37,10,130,3.1,3.4000000000000004,2.424545238928557,0.32794550993789795,1.6211828171275668,3.5263996685598444,0.18503311885654417,4.145522641024854,9.0,0.3264248604355396,-0.3355553145419958,295386.33136982005
breakout,7,2.0023993555496227,120,50,156,3.3,1.1,2.0023993555496227,0.2143768898029218,1.2556188747252246,8.32886800269949,0.10630908314371268,2.994034803225526,12.0,0.21341193770121408,-0.4485682372763213,273312.5112015901
breakout,8,2.7413480227198166,91,9,233,4.1,3.5,2.7413480227198166,0.33688617483752065,1.680920329656122,3.75,0.16616657575179172,4.729996440962099,7.0,0.3353217941680764,-0.32665838080945897,295810.2063614201
breakout,9,2.06278412045265,91,44,240,4.6,1.2,2.06278412045265,0.2220349759636729,1.2880723304531647,8.498038832031032,0.11311056834194111,3.101339766935976,13.0,0.2210372490227796,-0.44094292595475576,274602.60309945256
breakout,10,3.3251409597874377,50,29,202,2.2,2.8,3.3251409597874377,0.48051375856740597,2.126170005714986,3.75,0.13081040295526492,5.9149750629241735,4.0,0.47820699544792833,-0.18377317952960703,320233.9315470076
breakout,11,3.2209405856619155,58,26,200,1.5,2.8,3.2209405856619155,0.46376663221291736,2.056367079302818,3.75,0.13081040295526492,5.693187189112706,4.0,0.461553391765801,-0.20042678321173435,317322.33064885007
breakout,12,3.5566855883277584,50,22,200,1.5,2.8,3.5566855883277584,0.48616378735855403,2.157558499032754,3.75,0.13081040295526492,6.477836475888963,4.0,0.4838248314330211,-0.1781553435445143,321188.3895546476
breakout,13,3.572937081598361,45,21,196,2.3,2.6,3.572937081598361,0.4881068958518684,2.1653910096598197,3.75,0.13081040295526492,6.5140734727850385,4.0,0.4857567936275226,-0.17622338135001275,321516.6536850451
breakout,14,3.0351647307647336,31,20,187,2.3,3.9000000000000004,3.0351647307647336,0.46614753612463483,1.9739916386976666,7.171391616143116,0.18648773495339277,5.257855738090531,6.0,0.463921999966977,-0.1980581750105584,318628.83910279255
breakout,15,3.1269623540870137,63,40,217,1.6,2.3,3.1269623540870137,0.45662291852373416,2.0377384045954217,3.75,0.1057302129366976,5.470575044231281,4.0,0.45445009498194816,-0.2075300799955872,316089.72585905506
breakout,16,3.63336327057643,22,18,102,2.5,2.7,3.63336327057643,0.5098829366992421,2.1718566122276104,5.6839098894842905,0.15062169295893846,6.64641306744573,7.0,0.5074098192190172,-0.15457035575851819,324658.23921478004
breakout,17,3.1797825391781886,20,17,139,2.7,2.5,3.1797825391781886,0.48503578809613124,2.0846582624521255,19.36896206049495,0.15062169295893846,5.563760620814987,9.0,0.4827041136290245,-0.17927606134851087,320610.2247212051
breakout,18,2.4771827248690803,21,34,103,2.7,2.1,2.4771827248690803,0.34816923325764343,1.6558275864922645,12.849719573153038,0.1331778582778066,4.372673994277362,13.0,0.3465264334381385,-0.31545374153939687,297398.8666939751
breakout,19,2.8017471752665997,37,17,183,2.3,3.1,2.8017471752665997,0.40311106537228686,1.8755072442380682,5.276629789759662,0.1862820594790885,4.869583292080623,7.0,0.4012211580450611,-0.2607590169324743,307305.3727268451
breakout,20,3.09625924731987,47,37,113,1.9,2.5,3.09625924731987,0.46250426003404654,2.066912497609492,3.75,0.13081040295526492,5.378474370030278,4.0,0.4602979015727884,-0.20168227340474698,317191.1405695326
