entry_lookback,exit_lookback,score
48,16,3.7658078403310427
48,17,3.771598422751647
48,18,3.771598422751647
49,16,3.7658078403310427
49,17,3.771598422751647
49,18,3.771598422751647
50,16,3.7658078403310427
50,17,3.771598422751647
50,18,3.771598422751647
