date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2018-03-04,0.0,0.0,0.0,435250.2383342902
2018-04-11,0.0,0.0,0.0,445250.2383342902
2018-05-02,0.0,0.0,0.0,455250.2383342902
2018-06-14,0.0,0.0,0.0,465250.2383342902
2018-07-09,0.0,0.0,0.0,475250.2383342902
2018-08-07,0.0,0.0,0.0,485250.2383342902
2018-09-04,0.0,0.0,0.0,495250.2383342902
2018-10-03,0.0,0.0,0.0,505250.2383342902
2018-11-01,0.0,0.0,0.0,515250.2383342902
2018-12-03,0.0,0.0,0.0,525250.2383342902
2019-01-06,0.0,0.0,0.0,535250.2383342902
2019-02-05,0.0,0.0,0.0,545250.2383342902
2019-04-17,0.0,0.0,0.0,555250.2383342902
2019-05-21,0.0,0.0,0.0,565250.2383342902
2019-07-09,0.0,0.0,0.0,575250.2383342902
2019-08-21,0.0,0.0,0.0,585250.2383342902
2019-09-02,0.0,0.0,0.0,595250.2383342902
2019-10-24,0.0,0.0,0.0,605250.2383342902
2019-11-03,0.0,0.0,0.0,615250.2383342902
2019-12-03,0.0,0.0,0.0,625250.2383342902
2020-01-02,0.0,0.0,0.0,635250.2383342902
2020-02-05,0.0,0.0,0.0,645250.2383342902
2020-03-03,0.0,0.0,0.0,655250.2383342902
2020-04-02,0.0,0.0,0.0,665250.2383342902
2020-05-07,0.0,0.0,0.0,675250.2383342902
2020-06-04,0.0,0.0,0.0,685250.2383342902
2020-07-06,0.0,0.0,0.0,695250.2383342902
2020-09-03,0.0,0.0,0.0,705250.2383342902
2020-10-04,0.0,0.0,0.0,715250.2383342902
2020-11-16,0.0,0.0,0.0,725250.2383342902
2020-12-16,0.0,0.0,0.0,735250.2383342902
2021-01-04,0.0,0.0,0.0,745250.2383342902
2021-02-02,0.0,0.0,0.0,755250.2383342902
2021-03-01,0.0,0.0,0.0,765250.2383342902
2021-04-01,0.0,0.0,0.0,775250.2383342902
2021-05-05,0.0,0.0,0.0,785250.2383342902
2021-06-01,0.0,0.0,0.0,795250.2383342902
2021-07-04,0.0,0.0,0.0,805250.2383342902
2021-08-01,0.0,0.0,0.0,815250.2383342902
2021-09-01,0.0,0.0,0.0,825250.2383342902
2021-10-03,0.0,0.0,0.0,835250.2383342902
2021-11-01,0.0,0.0,0.0,845250.2383342902
2021-12-01,335903.88404000003,0.39047866286835964,671.8077680800002,345239.61373210035
2022-01-02,120668.39562000001,0.12790597718862648,241.33679124000003,130429.35800478036
2022-02-01,0.0,0.0,0.0,10001.283657080348
2022-03-01,336303.55410500005,0.3935946163478521,672.6071082100001,345642.2954737704
2022-04-03,203277.040635,0.22203816434903198,406.55408127000004,212880.00594197045
2022-05-08,103461.75324500001,0.11982695088819527,206.92350649000002,113258.72321543047
2022-06-01,0.0,0.0,0.0,10004.618758830467
2022-07-03,0.0,0.0,0.0,10006.678765820467
2022-08-01,276540.2607,0.36730692461023695,553.0805214,285987.6031530904
2022-09-01,202558.51008,0.25075722558228847,405.11702016000004,212159.9544503304
2022-10-02,493062.91521500004,0.5862761577228751,986.1258304300001,502081.21906364046
2022-11-01,537208.6413100001,0.6051905884306408,1074.4172826200002,546145.4961885806
2022-12-01,0.0,0.0,0.0,10001.690612260601
2023-01-02,1034528.287095,0.9819534656836376,2069.05657419,1042459.4623615507
2023-02-01,0.0,0.0,0.0,10008.409016150632
2023-03-01,1137253.8686099998,0.9829633001417066,2274.5077372199994,1144989.0103250905
2023-04-02,744524.03176,0.5754277733190468,1489.0480635200001,753054.2635932405
2023-05-01,0.0,0.0,0.0,763054.2635932405
2023-06-01,792481.8508550001,0.5252585423853064,1584.9637017100001,800905.5671595505
2023-07-04,0.0,0.0,0.0,10015.39026734056
2023-08-01,987996.204775,0.6447108049781081,1975.9924095499998,996022.2163692606
2023-09-03,541232.00862,0.3287639060011195,1082.46401724,550151.7143467806
2023-10-01,571497.62824,0.33139434600584633,1142.99525648,580363.7004450406
2023-11-01,257436.787215,0.126257709159295,514.87357443,266925.0332678406
2023-12-03,0.0,0.0,0.0,10009.555523240648
2024-01-02,432753.51499999996,0.21845557572864713,865.5070299999999,441889.8740204306
2024-02-01,1010825.23455,0.4243600352694817,2021.6504691,1018807.5734477707
2024-03-03,1409360.3872900002,0.5755974592708801,2818.7207745800006,1416556.794127351
2024-04-01,2353898.991735,0.9952738308973479,4707.79798347,2359191.408121171
2024-05-01,1146717.604375,0.5221544080994021,2293.4352087499997,1154437.5024547812
2024-06-02,15.972010000000001,6.7298234624999766e-06,0.031944020000000004,10056.237643401211
2024-07-01,0.0,0.0,0.0,10012.220119391213
2024-08-01,0.0,0.0,0.0,10059.843796831212
2024-09-01,0.0,0.0,0.0,10008.693320631211
2024-10-01,0.0,0.0,0.0,10011.805953671214
2024-11-03,1141462.10344,0.4196257050737969,2282.92420688,1149190.0477157913
2024-12-01,1041743.5676500001,0.3831230586100321,2083.4871353000003,1049671.3696535716
2025-01-02,1485598.8389949999,0.4975600990316233,2971.1976779899996,1492633.4439835914
2025-02-02,952686.77832,0.3266865087079457,1905.37355664,960787.4982583115
2025-03-02,2069004.4702550003,0.6692995144108433,4138.008940510001,2074869.569950302
2025-04-03,827451.6672,0.24549884419576648,1654.9033344000002,835818.3948141617
2025-05-04,615949.2713,0.19014394415358776,1231.8985426000002,624746.2627371018
2025-06-01,3469655.5044,0.9966237743430546,6939.311008800001,3472734.521963902
2025-07-01,0.0,0.0,0.0,3482734.521963902
2025-08-03,3151697.213075,0.9963399931918497,6303.39442615,3155394.789102762
2025-09-01,0.0,0.0,0.0,10003.81648872234
2025-10-01,2810145.44439,0.9959559089893473,5620.2908887799995,2814530.0074459123
2025-11-02,3665254.6159200007,0.9967736635892961,7330.509231840001,3667954.1830606335
2025-12-01,0.0,0.0,0.0,10005.441517533734
2026-01-04,4053065.4435050003,0.9970401422029413,8106.130887010001,4054963.8768145842
2026-02-01,2629894.4449750003,0.5803211380423081,5259.788889950001,2634657.212464385
2026-03-01,2341299.00488,0.46508535550433977,4682.5980097599995,2346635.224683985
2026-04-01,2195619.4411000004,0.40067334484050715,4391.2388822,2201236.5167990355
