family,number,value,param_per,param_speed,param_mult,param_adapt,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
fdi_supertrend,0,1.403992622437375,29,39,4.7,True,1.403992622437375,0.22852212212253425,1.1450726969212592,1.25,0.1409041507952098,2.606204668658077,1.0,0.22743443509201988,-0.4345457398855155,277819.56526092754
fdi_supertrend,1,0.807147285446573,17,7,5.4,False,0.807147285446573,0.015462201915704687,0.30858192329319933,3.75,0.028894179973000034,0.6498139448237159,3.0,0.015399961377192295,-0.6465802136003431,237733.50862781002
fdi_supertrend,2,1.2948873785132526,11,39,5.2,True,1.2948873785132526,0.25686450943434747,1.1379720537000506,0.0,0.14172326564235083,2.783636886141318,0.0,0.25561931612601946,-0.4063608588515159,282698.1148646075
fdi_supertrend,3,1.0912712011621193,19,15,3.6,True,1.0912712011621193,0.22055164633555457,0.7428865844227759,4.529095217364783,0.16642786014933986,1.9811896100769424,5.0,0.21950057698568476,-0.4424795979918506,272187.88189269253
fdi_supertrend,4,2.0020282731373467,41,10,2.4000000000000004,False,2.0020282731373467,0.266913114568638,1.239680818735498,2.681828300869493,0.10188103075206512,3.5001393020977325,7.0,0.26561578941531055,-0.3963643855622248,283294.50475146
fdi_supertrend,5,0.6387826449749952,50,12,3.6,True,0.6387826449749952,0.02318745637861455,0.091857925117109,2.993753986585051,0.02576974750000005,0.7731380386178036,6.0,0.023092669823380874,-0.6388875051541545,238338.17784902002
fdi_supertrend,6,0.1512704574988818,40,11,1.3,False,0.1512704574988818,0.006715587106218501,0.07683265707220627,0.8957854344261457,0.10908030145132819,0.17391079837261808,23.0,0.00668324501591655,-0.6552969299616188,236950.33124870266
fdi_supertrend,7,0.5324990408175454,51,15,1.4,True,0.5324990408175454,0.04145114769459385,0.47217708597501773,1.4779520821864436,0.08279010986775981,0.734399245174265,18.0,0.04127755482455006,-0.6207026201529853,243480.13567021006
fdi_supertrend,8,0.680565467202683,16,22,1.1,True,0.680565467202683,0.08244856114755811,0.6071301128708363,1.7578243308378383,0.17572258795346807,0.9183005053906339,29.0,0.08210403758370088,-0.5798761373938345,251112.1395639501
fdi_supertrend,9,-0.16557019625235714,43,16,3.6,True,-0.16557019625235714,-0.0026513295545864124,-0.16556254351753683,0.0,0.02965594715979969,-0.1843586102970936,3.0,-0.002640871972183323,-0.6646210469497187,234598.004896625
