date,turnover_value,turnover_pct,cash_balance
2015-02-01,0.0,0.0,110000.0
2015-03-01,0.0,0.0,120000.0
2015-04-01,0.0,0.0,130000.0
2015-05-03,41997.14,0.2999795714285714,98002.86
2015-06-01,41287.71,0.27655939688622,149290.56999999998
2015-07-02,15933.849999999999,0.1000300896656971,143356.71999999997
2015-08-03,102748.87999999999,0.6088926075364957,50607.83999999997
2015-09-01,102524.1,0.628473492070284,163131.93999999994
2015-10-04,51940.31,0.300004204885592,121191.62999999993
2015-11-01,145296.26,0.7883056699463128,55277.82999999993
2015-12-02,92667.58,0.5315215662463121,122028.84999999993
2016-01-03,117463.4,0.6229356176543946,18834.68999999992
2016-02-01,160129.01,0.9321620180137223,154601.0599999999
2016-03-02,92001.99,0.5019835560291561,73295.02999999991
2016-04-04,171013.77000000002,0.814949109096459,0.7399999999033753
2016-05-03,174560.64,0.8057442114003621,0.9399999998970543
2016-06-01,220315.32,1.0562736059895905,62569.89999999991
2016-07-10,76765.81000000001,0.36346644229031505,147838.00999999992
2016-08-02,70820.95999999999,0.3097230779968965,228658.9699999999
2016-09-01,0.0,0.0,238658.9699999999
2016-10-03,99455.63999999998,0.3999680365441875,149203.32999999993
2016-11-02,94711.37999999999,0.35345332036025673,80344.94999999994
2016-12-01,161032.77,0.46994319484610503,102860.83999999998
2017-01-02,231586.93000000005,0.6135492622289576,37788.58999999999
2017-02-07,496458.0200000001,1.1858003390027665,41838.390000000036
2017-03-01,319649.82,0.8052789750950615,277861.13000000006
2017-04-05,216624.18000000002,0.5152755486417916,336323.77
2017-05-02,136006.7,0.3233276286251622,210317.06999999998
2017-06-01,148781.39,0.3325838307737717,178995.46000000002
2017-07-09,174261.57000000004,0.34902441584652716,149850.73
2017-08-14,152938.82,0.28438083219726085,268859.15
2017-09-07,326729.1,0.5972475755132827,382938.79000000004
2017-10-02,408448.94000000006,0.7039583502379144,15513.15000000006
2017-11-09,393011.16,0.6627755482768863,14.170000000100117
2017-12-03,390296.27,0.6219370562132734,2.9000000001069566
2018-01-02,607179.12,0.9003856042846541,67454.8600000001
2018-02-06,319932.7100000001,0.429210110635807,223608.33000000013
2018-03-04,271262.60000000003,0.3380072149880477,160500.7300000001
2018-04-11,594563.71,0.7180758860266957,248386.76000000004
2018-05-02,593891.9500000001,0.6968161558411327,511354.39000000013
2018-06-14,309779.45999999996,0.3727188571754321,664907.9100000001
2018-07-09,183137.17,0.21343612720887192,686428.0800000002
2018-08-07,88343.78,0.10197523606072365,779691.3000000002
2018-09-04,3046.8,0.003485824422703233,786644.5000000001
2018-10-03,91915.46,0.10434048927776433,704729.0400000002
2018-11-01,176840.6,0.19834772108394122,713253.0800000001
2018-12-03,274531.76,0.30265688998463364,634939.24
2019-01-06,659464.2999999999,0.7090644502545598,185999.44
2019-02-05,603697.08,0.6216106046767255,4726.56000000006
2019-04-17,577650.55,0.5932951071497748,1.7100000000646105
2019-05-21,852796.8999999999,0.962089660019992,88653.63000000006
2019-07-09,753981.8200000001,0.801055485107366,852635.4500000001
2019-08-21,577686.35,0.6081791447316854,284949.1
2019-09-02,1054901.1300000001,1.0940709260042947,1.40999999975611
2019-10-24,1033013.7699999999,1.1884351295176845,695428.4999999999
2019-11-03,890509.97,1.0043098904052479,5.309999999779393
2019-12-03,652118.9099999999,0.7878837052130826,662124.2199999997
2020-01-02,817240.6799999999,0.9875614417345822,2.7599999999511056
2020-02-05,908970.63,1.0971524124541854,82827.7899999999
2020-03-03,693124.89,0.9700855587257036,643044.76
2020-04-02,77180.16,0.10569368133862098,730224.92
2020-05-07,518171.3499999999,0.7000187861819079,222053.57000000012
2020-06-04,363873.68,0.4884782415530344,595927.2500000001
2020-07-06,660592.3,0.8369869582962903,4.149999999959391
2020-09-03,580268.13,0.6483711052313148,3.039999999969041
2020-10-04,521416.05000000005,0.6175051787004268,0.5899999999674037
2020-11-16,625586.4299999999,0.6935482955448111,450992.54
2020-12-16,480805.60000000003,0.5185936804897202,59.71999999990294
2021-01-04,755704.1900000001,0.8147797115046755,30.150000000023283
2021-02-02,453213.84000000014,0.4348265513832,10.850000000034925
2021-03-01,753979.4,0.7133552319819852,105747.05000000002
2021-04-01,876320.01,0.8849186047974681,396117.42000000004
2021-05-05,581941.77,0.588974007747443,592835.87
2021-06-01,635316.26,0.6202154344641431,20235.830000000078
2021-07-04,394872.44999999995,0.3840212536020671,25905.900000000052
2021-08-01,388278.22000000003,0.3332228163861003,0.0200000000277214
2021-09-01,774895.0,0.6332216018361044,2.5400000000809086
2021-10-03,793979.71,0.6912728447462072,344535.3700000001
2021-11-01,889502.1000000001,0.7865012998903809,791669.2100000001
2021-12-01,635194.4199999999,0.5746888035505511,552624.75
2022-01-02,596011.56,0.5172431416256545,3.870000000068103
2022-02-01,773639.6600000001,0.6955801965774661,333640.7100000001
2022-03-01,598318.7699999999,0.5173357641039523,231292.34000000014
2022-04-03,1100041.54,0.9837201095747701,508.06000000020146
2022-05-08,1107894.18,0.9951020584062316,0.44000000022060703
2022-06-01,743505.01,0.6983417805350585,745279.4500000002
2022-07-03,491600.41,0.47312100836361937,831237.1600000001
2022-08-01,871664.41,0.8142063940089448,8.91000000029453
2022-09-01,1046269.4,0.8263355494958825,3.9100000003309106
2022-10-02,1048771.2600000002,0.8075934934826081,1.6500000003288733
2022-11-01,1096543.6700000002,0.8187206135150121,0.5800000003364403
2022-12-01,1123772.8400000003,0.7145587448916765,157297.78000000044
