strategy,period,start_date,end_date,twr,cagr,max_drawdown,sharpe,return_dd,money_multiple,closed_trades,excess_twr_vs_etf_dca,excess_cagr_vs_etf_dca,start_idx
rebound_max5_v3,start_date_sensitivity,2015-01-15,2026-04-05,4.199105206350094,0.2653701015288048,0.3363866032115934,1.453763591165908,0.788884274805326,3.239943303916393,301.0,0.09047665849807096,0.003167697781632395,0
rebound_max5_v3,start_date_sensitivity,2015-09-01,2026-04-05,4.191838951211418,0.2887953249397006,0.3363957787599766,1.5094769767558405,0.858498658943519,3.122282618249509,301.0,-1.8614093159480412,-0.06228438681184478,129
rebound_max5_v3,start_date_sensitivity,2015-10-04,2026-04-05,4.190380463823564,0.29054915981120844,0.3363958933394462,1.5134830604017007,0.8637119702232057,3.1065188050752686,301.0,-1.5470742144240512,-0.05321375940864015,138
rebound_max5_v3,start_date_sensitivity,2016-09-01,2026-04-05,3.9344941936527444,0.3061731764728284,0.33637645271847405,1.5476947755517763,0.9102098972697,2.898087834614574,291.0,-1.1498442747786246,-0.04659367794887803,259
rebound_max5_v3,start_date_sensitivity,2018-07-09,2026-04-05,1.477843245885674,0.18743684898226554,0.31006703124489166,1.1253381937147637,0.6045042848629317,2.5084870510410533,237.0,-0.6120741139920174,-0.05068187476485253,434
rebound_max5_v3,start_date_sensitivity,2019-09-02,2026-04-05,1.823863880947981,0.22424252523721844,0.2433785841421222,1.3318941776609776,0.9213732836339898,2.5170869502283635,229.0,-0.4759308669737865,-0.03773266325378466,472
rebound_max5_v3,start_date_sensitivity,2020-05-07,2026-04-05,1.8210362483347784,0.2323378946631176,0.243998043989616,1.3533720667355655,0.9522121196717682,2.485583905551239,229.0,-1.9102574488883746,-0.13528756086122162,514
rebound_max5_v3,start_date_sensitivity,2021-02-02,2026-04-05,1.8163080808496859,0.24199287247755397,0.24511739075284822,1.3782539177269695,0.9872529718691209,2.447295756049114,229.0,-1.5240017504956627,-0.11768043556930707,561
rebound_max5_v3,start_date_sensitivity,2021-05-05,2026-04-05,1.8993621918445682,0.26093191150906714,0.24572655035763125,1.445955233543799,1.0618791951024664,2.4416474755649173,228.0,-1.7882920676378125,-0.13909780908731628,608
rebound_max5_v3,start_date_sensitivity,2022-05-08,2026-04-05,2.3782002422727127,0.3849425551477339,0.23739051181099635,1.9600213115103629,1.621558301598062,2.398971806431089,194.0,-0.9811451588614082,-0.09776456948167933,823
rebound_max5_v3,start_date_sensitivity,2023-05-01,2026-04-05,1.760541598114978,0.43391008446957,0.23731938758019377,2.1213303662775305,1.8283802638035433,2.047474945498524,154.0,0.016749088984550742,0.003093947140506037,1055
rebound_max5_v3,start_date_sensitivity,2023-07-04,2026-04-05,2.021275880615899,0.5156848875772526,0.2373270122160661,2.3890729072286176,2.1728874550013937,2.0788430928056845,146.0,0.28431907484698726,0.05530797709173996,1095
rebound_max5_v3,start_date_sensitivity,2023-10-01,2026-04-05,1.9939182071794619,0.5730471569910434,0.23729176573768185,2.576735956488169,2.4149475023272737,2.0040869520973685,131.0,0.5921104141496571,0.13687677714804347,1155
