strategy,period,start_date,end_date,twr,cagr,max_drawdown,sharpe,return_dd,money_multiple,closed_trades,excess_twr_vs_etf_dca,excess_cagr_vs_etf_dca,year
etf_dca,2015,2015-01-15,2015-12-31,-0.275545718792227,-0.38696318966482746,0.34963209868245715,-1.4383163252007636,-1.1067724934954417,0.7855744898904091,0.0,0.0,0.0,2015
rebound_max5_v1,2015,2015-01-15,2015-12-31,-0.06603270152628682,-0.09850913389706095,0.06764221225818456,-2.3476653116704296,-1.4563263176706873,0.9370252167196819,10.0,0.20951301726594018,0.2884540557677665,2015
rebound_max5_v2,2015,2015-01-15,2015-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.275545718792227,0.38696318966482746,2015
rebound_max5_v3,2015,2015-01-15,2015-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.275545718792227,0.38696318966482746,2015
etf_dca,2016,2016-01-03,2016-12-29,0.756665274245377,1.680438075472099,0.17108530065375038,2.916853437548221,9.822223587010786,1.6849601362944093,0.0,0.0,0.0,2016
rebound_max5_v1,2016,2016-01-03,2016-12-29,0.4346700617310224,0.8806850073985759,0.056682450438393484,3.2197928362691077,15.537172450858789,3.7404797316383376,46.0,-0.3219952125143546,-0.799753068073523,2016
rebound_max5_v2,2016,2016-01-03,2016-12-29,0.3036182021910736,0.5904251240001825,0.05670503579732167,2.662344186656313,10.412216758146723,3.634686302544504,41.0,-0.4530470720543034,-1.0900129514719163,2016
rebound_max5_v3,2016,2016-01-03,2016-12-29,0.25177731681913684,0.4814001547556126,0.058392177675527845,3.0385867112733216,8.24425760297286,3.5142978669705016,20.0,-0.5048879574262402,-1.1990379207164863,2016
etf_dca,2017,2017-01-02,2017-12-26,0.20082106641194275,0.7315494343933049,0.10926073686125737,1.7813959629754423,6.695446648160984,1.1705179831831818,0.0,0.0,0.0,2017
rebound_max5_v1,2017,2017-01-02,2017-12-26,0.6098035865448708,3.1717538163742267,0.10629715670883433,3.9043594199517972,29.838557441966113,7.318972580579843,34.0,0.408982520132928,2.440204381980922,2017
