strategy,period,start_date,end_date,twr,cagr,max_drawdown,sharpe,return_dd,money_multiple,closed_trades,excess_twr_vs_etf_dca,excess_cagr_vs_etf_dca,monthly_contribution_day_offset
rebound_max5_v3,full,2015-01-15,2026-04-05,4.199105206350094,0.2653701015288048,0.3363866032115934,1.453763591165908,0.788884274805326,3.239943303916393,301.0,0.09047665849807096,0.003167697781632395,0
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.2447217796922785,0.4533572945799349,0.23747388970519956,2.30899868518285,1.9090827001769892,16.546853302144434,108.0,0.3095288383642958,0.09636589793584105,0
rebound_max5_v3,full,2015-01-15,2026-04-05,4.215683974408379,0.2659454146035669,0.33706009040215335,1.4562329334990962,0.789014843870308,3.2415908859736082,301.0,0.15429280825302083,0.005416003368992062,1
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.2448245364169521,0.4533880568812505,0.23750537590121357,2.3092941687012276,1.9089591347600896,16.5552677390795,108.0,0.30098774525247496,0.09359739849424864,1
rebound_max5_v3,full,2015-01-15,2026-04-05,4.180342710606432,0.26471710911101476,0.33702013575976375,1.4548304414562412,0.7854637780447387,3.2313559981733775,301.0,0.05727030305980829,0.0020057987705170977,2
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.2447521813529363,0.4533663960100536,0.23761143035932586,2.3089649336632943,1.9080159372992036,16.502996704956892,108.0,0.30446987256379177,0.09472602480266068,2
rebound_max5_v3,full,2015-01-15,2026-04-05,4.179150906817434,0.2646755622398298,0.33811289162791913,1.4538353687911647,0.7828023384896414,3.2286327803644324,301.0,0.037057080612186155,0.0012959353486179381,4
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.2428002674308698,0.4527819115648426,0.23759550492803383,2.3073558893611725,1.9056838289175015,16.489088842575494,108.0,0.3114491679614686,0.09703683123762152,4
rebound_max5_v3,full,2015-01-15,2026-04-05,4.201435909684449,0.26545107604471685,0.3350754345246201,1.4570873705489669,0.7922128831118848,3.2308658110955952,301.0,0.04396269546072151,0.0015326428142663495,9
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.2464096581598327,0.4538624992180025,0.23737456500355048,2.310293852026107,1.91200981963343,16.50049324952393,108.0,0.3196958381364412,0.09962355655720967,9
rebound_max5_v3,full,2015-01-15,2026-04-05,4.17623306599448,0.2645738102566797,0.3355243460413868,1.4532598675696229,0.7885383382106186,3.218483207024607,301.0,0.07222621696664966,0.002534505251839514,14
rebound_max5_v3,oos,2024-01-02,2026-04-05,1.243157989985991,0.4528890490797044,0.2375442371542853,2.3069756200389944,1.906546142752991,16.43725352158996,108.0,0.31408597413933115,0.09788394695472635,14
